 date ,Condition,region/,season,TEMPERATURE UNIT,forecast_provider,alertLevel/, time_of_day ,Cloud Cover, wind_direction /,uvIndexCategory,precip_type,humidity category, visibility band ,stormName/, day/Night , Temperature °C ?,temperature °f,humidity_%,wind speed kph,rainfallMm, Pressure Hpa ,visibility_km, DEWPOINT °C ,feelslike_°c,snowfall_cm
2023-04-19,Sunny,NA,autumn,NA,weather.com,None,morning,Mostly Cloudy,nw,missing,RAIN,, excellent ,missing,night,£1550,12276,3907," 3,667",NaN,3760,205,7706,£4942,17447
2021-06-16,SNOWY,WEST,summer,missing,NaN,amber, night ,mostlyCloudy,w,low,SNOW,dry,poor,arwen,Day,5949,"18,475",7312,16744,1597,,15599,6600,7350,£19249
2022-05-18,Windy,INLAND,spring,NaN,noaa,AMBER,morning,overcast,missing, very_high ,SLEET,HUMID,good,FRANKLIN,day,15709,15970,NaN,9908,15084,"12,996",8645,"14,356",£16626,£787
2024-10-12, SUNNY ,COASTAL,summer,Fahrenheit,bbc,yellow,EVENING,overcast,Se,low,hail,dry,Very Poor,arwen,day,14628,17001,4044,"10,112",8843,4251,   498,8712,15601," 5,935"
2021-10-02,sunny,north,summer,celsius,Noaa, AMBER ,,missing,ne,high,sleet,Dry,GOOD,franklin,Night,9089,£15316,279,£3358,19075,"14,849",-999,19611,£11358,8437
2023-07-20,windy,inland,WINTER,celsius,NOAA,amber,afternoon,overcast,e,low,Sleet,comfortable,good,Franklin,day," 6,233",£8392,17854,£11281,13980,7611,7223,17986,missing,1008
2023-09-28,Foggy,INLAND, Spring ,fahrenheit,Met Office,,MORNING,mostly_cloudy,sw, Extreme ,HAIL,oppressive,Very Poor,dudley,Night," 7,166",19140,11011,1121,14021,7665,£13612,7714,15436,14531
"Aug 11, 2024",FOGGY,INLAND,NA,kelvin,weather.com,none,morning,partly cloudy, ne , MODERATE ,hail,oppressive,moderate, barra ,NA,-999,NaN,12118,"19,166",10270,7918,10822,18412,-999,17828
29/12/2023, SNOWY ,East,winter,fahrenheit,accuweather,yellow,night,partly_cloudy,NW,moderate,NaN,humid,MODERATE,eunice,,1972,4309,NA,5278,17839," 6,482",278,13980,"13,747",12449
2021-04-05,sleet,midlands,summer,fahrenheit,metOffice,yellow,AFTERNOON,overcast,Sw,Moderate,hail,oppressive,POOR,Franklin,night,17061,NA,£14913,3170,5540,"17,527",£9847,NaN,17092,"10,490"
NA,stormy,EAST,Summer,kelvin,Bbc,-999,morning,Clear,N, Extreme ,sleet,dry,MODERATE,BARRA,Night,6757,16625,"17,583",£11914,8126,8488," 4,778",-999,2327,16315
04/12/2024,foggy,inland,summer,fahrenheit,met office,None,AFTERNOON,NA,E,low,snow,dry, poor ,Eunice,night,£5471,NaN,£15718,£6194,£13354,17056,"18,903",10569,£3777,13619
2021-12-20,Foggy,west,summer,celsius,weather.com,RED,Evening,mostly cloudy,sw,high,SNOW,humid,moderate,franklin,DAY," 7,257",£4628,£17554,11073,16682,7265,4425,£10728,£16395,"14,955"
30/05/2022,snowy,North,missing,celsius,NOAA,red, night ,-999,w,high,Hail,missing,excellent,Arwen,Day,£15757,£18626,2950,"13,844",7268,1963," 9,767","17,763","11,992",7346
16/08/2024,FOGGY,inland,Spring,,MET OFFICE,red,night,clear,NA,low,-999, Dry ,NA,Barra,night,3378,£13604,14288,"18,100",3814,14810,16125,7173,,
NA,Cloudy,EAST,Autumn,NaN,ACCUWEATHER,red,evening,Overcast,nw,extreme,hail,Dry,veryPoor,ARWEN,day," 2,106",£12787,15574,-999,-999,5836,£11538,£16690,19699,   114
11/01/2021,Cloudy,, spring ,kelvin,NOAA,red,NA,overcast,SE,moderate,,Comfortable,NaN,-999,day,£5512,14539,NaN,7741,£19935,3199,4294,17188,9956," 2,139"
16/06/2023,cloudy, north ,Spring,kelvin,NOAA,yellow,night,mostly_cloudy,nw,Extreme,Hail,HUMID,poor,corrie,NA,NA,3482,9473,13261,£190,,£9008,17312,7389,9604
30/06/2021,sleet,east,autumn,celsius,met_office,NA,morning,partlyCloudy,,Very High,NaN,comfortable,VERY POOR,BARRA,Day,1551,£3662,£14586,130,8718,£1371,18022,14984,   297,missing
11/08/2022,foggy,COASTAL,Spring,celsius,Met Office,,missing,overcast,nw,Very High,hail,comfortable,poor,franklin,NIGHT,167,3234,10366,9512,2194,15560,19906,13484,£8782,6071
2024-09-25,SNOWY,east,,CELSIUS,MET OFFICE,YELLOW,afternoon,overcast,Se,very high,rain,humid,poor,eunice,Day,16261,6050,"16,486","12,867",16938,5029,9220,"18,802","12,829",
,windy,South,winter,Celsius,NaN,missing,morning,MOSTLY CLOUDY,NaN,moderate,none,Dry,moderate,dudley,day," 7,113",2872,£14597,18056,£12462,"14,756",5045,"16,357","18,863",NaN
"Oct 16, 2022", sleet ,Inland,Winter,kelvin,weather.com,none,Evening,partly_cloudy,SE,missing,rain,OPPRESSIVE, very poor ,NaN,NIGHT,12990,13820,£6713,6920,3944,5185,£2207,-999,1400,8302
2021-09-05, FOGGY ,SOUTH,summer, fahrenheit ,met office,YELLOW,missing,OVERCAST, ne ,Extreme,Snow,Humid,excellent,Corrie,night,2369,16150,NaN,13620,£1667,£2790," 1,640",£4931,2814,NA
2021-04-16,windy,south,summer,kelvin,noaa,RED,evening, Partly Cloudy ,w,low,sleet,dry,missing,NA,Night," 4,029",16287,9640," 9,239",18187,2492,£13223," 4,650",17560,455
2023-04-10,windy,east,spring, CELSIUS ,noaa,Yellow,Morning,clear,sw,Extreme,None,humid,Poor,arwen,day,£7952," 2,551",£4565,"10,516"," 8,042",5167,11525,8832,2335,13592
2023-01-30,FOGGY,WEST,winter,fahrenheit,NA,Red,NaN,overcast,Ne,moderate,snow,oppressive,poor,dudley,NaN,," 7,703",13141,£18532,10001,"14,585",£17792," 7,917",4502,£9587
NA, sleet ,missing,spring,celsius,weather.com,none,EVENING,Overcast,missing,extreme,Rain,oppressive,GOOD,corrie,night,13191,14582,4381,869,11463,,£11316,NaN,2072,missing
2021-02-12,RAINY,east,Winter,Kelvin,Accuweather,None,night,Partly Cloudy,W,-999,snow,comfortable,excellent,Barra, DAY ," 2,641",£17848,NA,7046,11189,7337,19469,£10111," 9,124",3233
"Apr 08, 2021",foggy,Coastal,spring,NaN,accuweather,Red,AFTERNOON,partly_cloudy,NE,Very High,snow,HUMID,VERY POOR,,night,5474,NaN,-999,,383,1140,"15,247",18785,14527,5147
28/06/2023,rainy, west ,Autumn,KELVIN,NaN,NONE, morning , mostlyCloudy ,SE,very_high,sleet,Dry,very_poor,DUDLEY,Night,5300,14908,15373,4569,19646," 7,017",2004,361,NaN,£5855
10/01/2024,Foggy,north,AUTUMN,Kelvin,met_office,yellow,NaN, mostly_cloudy ,E,Very High,snow,oppressive,Poor,arwen, NIGHT ,15461,1201,6918,426,17667,17925,"11,522",313,£14859,£6052
21/09/2022,missing,west,WINTER,kelvin, weather.com ,none,NaN,PARTLY CLOUDY,s,low,NONE,comfortable,moderate, franklin ,day,3235,£3566,1685,6635," 2,628",14734,3898,18632,18923,12792
2024-01-20,foggy,south,Winter, fahrenheit ,Accuweather,none,night, Clear ,s,high,Sleet,COMFORTABLE,poor,eunice,Day,17246,£16632,"19,485",missing,14208,£15335,NaN,19977,15369,16177
16/10/2022,WINDY,inland,Autumn,-999,noaa,, Night , mostly cloudy , e ,VERY HIGH,snow,Oppressive,excellent,Dudley,Night," 3,151","18,018"," 7,072",19303,£6905,15901,£3272,17065,600,1502
2024-10-19,cloudy,inland,Winter,Celsius,weather.com,Yellow,night,mostlyCloudy, nw ,low,Snow,comfortable,Poor,eunice,night,£3951,14019,£15704,9983,£3699,19215,£1007,"17,749",£6805,   596
17/04/2023,sleet,north,Spring,CELSIUS,weather.com,AMBER,night, Partly Cloudy ,NaN,veryHigh, NONE ,oppressive,Very Poor,eunice,day,10984,11532,10224,missing,£13589,,13914,,£8831,4146
2021-07-06,RAINY,south,winter,celsius,bbc,NaN, afternoon ,Overcast,ne,HIGH,none,dry,-999,CORRIE,Night,6931,17252,NaN,14828,15839,"16,428",11374,-999,3179,4566
2023-12-22,missing,east,winter,celsius,MET OFFICE,none,night,partly_cloudy, Nw ,Moderate,none,Humid,Excellent,franklin,NaN,NA," 3,517",8819,15591,," 8,113",-999,£11950,£6340," 3,524"
25/02/2022,sunny,Inland,autumn,fahrenheit,weather.com,NaN,NaN,overcast,n,LOW,rain,HUMID,Excellent,ARWEN,NIGHT,3096,4422,11096,,£280,883,7355,3679,4859,10243
11/10/2021,-999,Coastal,autumn,FAHRENHEIT, bbc ,red,Evening,Clear,S,extreme,rain, HUMID ,Poor,corrie,Night,£13664,11696,14896," 6,174",6645,£10522,£5495,£7029,140,£13043
03/05/2021,RAINY,coastal, winter ,celsius, weather.com ,-999, AFTERNOON ,partly_cloudy,se, Moderate ,hail,dry,excellent,missing,NA,9555,15654,2827,2427,£2230," 1,578",£7758,5600,10213,
NA,cloudy,NaN,spring,kelvin,accuweather, red ,evening,PARTLY CLOUDY,,Extreme,Hail,OPPRESSIVE, moderate ,barra,-999,12296,5230,-999,15163,"18,390",,missing,2936,3861,9032
2021-07-15,sleet,EAST,summer,kelvin,accuweather,NaN,NA,mostly_cloudy,sw,moderate,NaN,dry,veryPoor,arwen,night,10495," 6,087",NA,11098,£3361,£11476,10256,missing,missing,£8268
missing,stormy,coastal,summer,KELVIN,Weather.com,-999,NaN,PARTLY CLOUDY,nw,low,snow,Oppressive,missing,eunice,day," 1,500",10050,19224,£18701," 8,341",10805,£6708,8993,"17,992",17547
"Jan 07, 2021",sunny,South, winter ,NaN,accuweather,Yellow,Night,clear, nw ,moderate,rain,oppressive,excellent,missing,Day,16309,"17,558",7376,10918,1741,19914,NA,5943,951,18356
14/12/2023,missing,east, SPRING ,celsius,Bbc,RED,evening,missing,W,moderate,none,-999,,Eunice,day,"11,336",7048,"14,112",1069,£5867,4971,"11,238",£10227,£377,13006
01/04/2021,sunny,inland,autumn,kelvin,WEATHER.COM,AMBER,morning,Clear,NW,Moderate,none,dry,Very Poor,franklin,NA,18660,£15766," 3,074",5937,-999,9394,2658,3702,17013," 2,087"
2024-05-18,sunny,East,SUMMER,FAHRENHEIT,weather.com,amber,Evening,clear,E, High ,SLEET,dry,very poor,arwen,night,£12284,"14,946",17736,NaN,£1371,7895,"15,121",£9606," 6,835",575
-999,CLOUDY,inland,spring,kelvin,Met Office,NONE,Morning,mostly cloudy,E,Low,sleet,HUMID,Moderate,Franklin,day," 5,808",8310,10914,"15,159",5776," 9,318",13311,"15,533",£9130,9291
18/05/2021,CLOUDY,midlands,summer,FAHRENHEIT,NOAA,RED,MORNING,OVERCAST,NE,LOW,Snow,oppressive,Moderate,FRANKLIN,night,£12075,£19684,£7321,,13853,£14488,"16,954",NA," 3,545",11810
"Feb 09, 2021",rainy,south,winter,NA,metOffice,Yellow,NIGHT,clear,se,moderate,sleet,Humid,good,corrie,day,8770,"13,419","13,645",£17800,19123,10324,"12,867",£364,,12475
17/07/2024,Cloudy, east ,summer,Fahrenheit,Bbc,yellow,Evening,overcast,S,moderate,SNOW,missing,poor,Corrie, day ,-999,5357,£13085,17888,6219,15703,491,missing,£11577,£12063
2024-02-27,RAINY,INLAND,Autumn,celsius,bbc, amber ,NIGHT,NA,n,veryHigh,hail,COMFORTABLE,NA, franklin ,Day,,15607,18419,13383,140,3868,18861,15475,13592,£2682
02/11/2021,windy,west,Spring,FAHRENHEIT,accuweather,none,morning,mostlyCloudy,w,low, HAIL ,comfortable,Moderate,NaN,day,1377,13486,8153," 3,797","12,257",1156,-999,6062,6497,12330
21/02/2023,sleet,missing,spring,NA,WEATHER.COM,red,morning,overcast,-999,MODERATE,rain,OPPRESSIVE,good,arwen,NIGHT,3824,£904,2807,2624,5846,£8915,14057,"17,055",15624,"13,775"
2023-06-07, rainy ,MIDLANDS,spring,kelvin,,RED,evening,NaN,w,high,snow,oppressive,poor,NA,NA,15101,"10,695",£10655,9348,6758,8340,3830,16730,1940,
05/02/2023,cloudy, south ,Winter,,bbc,NaN,afternoon,clear,-999,Very High,SNOW, Oppressive ,,CORRIE,DAY,2655,8277,8356,"15,762",,   380," 4,594",NA," 5,489",£18316
"Sep 24, 2023",sleet,Midlands,autumn,celsius,noaa,RED,night,clear,sw,low,none,humid,VERY POOR,franklin, Day ,764,NA,NaN,11949,11746,"10,529",2209,"17,469",£8209,9601
16/11/2024,,inland,SUMMER,-999,NaN,Amber,NaN,PARTLY CLOUDY,ne,very high,hail,comfortable,NaN,FRANKLIN,day,,,"16,111","17,341",2709,"15,166",1667,1167,1040,7216
2024-02-16,windy,SOUTH,summer,NA,,amber,evening,OVERCAST,e,high,rain, Comfortable ,Good,barra,day,995,19228,£3933," 7,546"," 7,745",NA," 9,951",9005,4546,-999
"Apr 11, 2023",Sunny,West,AUTUMN,FAHRENHEIT,Noaa,none,evening,Mostly Cloudy,e,High,Sleet,dry,Moderate,BARRA,day,19446,£6165,"19,698",19707,848,5655,NaN,-999,£17954,11414
missing,windy,North,missing,CELSIUS,NaN,yellow,morning,CLEAR,se,moderate,,humid,-999,dudley,DAY,2809," 5,535"," 5,142",9777,4143,15807,£11927,"12,095",16769,£10706
2021-08-20,SNOWY,-999,SPRING,celsius,Bbc,Amber,missing,Partly Cloudy,n,extreme,none, Dry ,good, eunice ,night," 4,200","12,583",8864,,£14973,10665,5524,£1690,£8939,missing
2024-12-25,Snowy, coastal ,winter,CELSIUS,MET OFFICE, Yellow , afternoon ,overcast,w,-999, hail ,dry, Poor ,Dudley,night,11885,missing,£5445,15852," 6,196",17565,"16,029",16182,NaN,NA
21/08/2022,snowy,east,spring,Celsius,Noaa,Amber,MORNING,overcast,n,LOW, sleet ,DRY, good ,arwen,night,£1666,-999,7362,-999,"19,863",14548,10420,-999,8883,4916
2023-02-19, snowy ,INLAND,winter,Celsius,missing,red,night,Partly Cloudy,SE,high,-999,dry,,eunice,Day,12779,£11398,18351,18066,3592,NA,6994,-999,3400,17341
2022-09-04,Windy,south,winter,Kelvin,Weather.com,yellow,AFTERNOON,Clear,nw,VERY HIGH,Hail,comfortable,moderate,BARRA,missing,11840,NaN,£13210,17063,NaN,missing," 5,198",10303,"11,390",4821
"Mar 14, 2023",NaN,South,spring,kelvin,weather.com,Yellow,morning,Clear,nw,High,sleet,dry,moderate, barra ,DAY,7518,13047,439,8221,11928,9147,£887,11264,18343,£13135
2021-06-04,Sunny,missing, spring ,NA, metOffice ,amber, morning ,-999,s,High,None,dry,excellent,,Night," 8,751",1139,17674,1618,£16190,16883,13345," 8,766",17214,£18816
10/05/2024,Stormy,NORTH,SPRING,kelvin,missing,none,morning,overcast,E,moderate,Rain,HUMID,EXCELLENT,DUDLEY, night ,,12953,10949,19468,£17498,13044,£19035,-999,94,8190
08/12/2021,sunny,COASTAL,SUMMER,celsius,NaN,none,Afternoon,PARTLY CLOUDY,nw,extreme,none,humid,EXCELLENT,eunice,night," 8,624",missing," 8,426",£17089,16624,£18244,12884,5371,2331,866
07/05/2023, Sleet ,south,spring,celsius,Weather.com,yellow,MORNING,overcast, W ,missing,snow,dry,MODERATE,eunice,Night,7459,£19721,15330," 4,432",6710," 8,213","18,947",7911,£17440,4696
2022-09-15,cloudy,south,summer,kelvin, accuweather ,amber,afternoon,mostlyCloudy,ne,Moderate,hail,oppressive,Excellent,arwen,Night,£16690,17782,4233,13694,12834,12271,NA,£9080,3546,13105
05/12/2021,stormy, coastal ,summer, CELSIUS ,Accuweather,red,evening,mostlyCloudy,nw,Extreme,hail,dry,moderate,Corrie,Day,,11668,6270,10929,£9563,2011,6274,£4102,15625,517
2021-01-17,sunny,east,spring, Celsius ,WEATHER.COM,RED, morning ,NA,nw, EXTREME ,SNOW,NaN,good,Franklin,DAY,"16,345",£14948,3780,"15,986"," 9,153",£14297,missing,8709,£6038,9167
missing,NA,INLAND,Spring, Celsius ,Bbc,YELLOW,Afternoon,missing,w,missing,snow,COMFORTABLE,moderate,DUDLEY,DAY,"16,051",-999,14175,£14370,17803,"11,387",£13608,8363,18014,£11244
2024-08-20,-999,south, Winter ,fahrenheit,ACCUWEATHER,red,night,missing,W,moderate,missing,humid,very_poor,dudley,day,missing,,-999,"18,072",£10201,£19609,11546,4119,6410,18680
2024-07-01,stormy,COASTAL,SUMMER, Fahrenheit ,missing, yellow ,afternoon,NA,E,EXTREME,Rain, humid ,Very Poor,FRANKLIN,day," 9,436",£16096,19541,NaN,£11658,-999,"12,989",2857,NaN,10261
19/02/2023,rainy,South,spring,Kelvin,NA, yellow ,afternoon,overcast,S,VERY HIGH,SLEET,humid,good,Corrie,day,12237,3033,15981,6721,11733,19987,11957,£8332,5636,4374
18/01/2022,cloudy,MIDLANDS,summer,Fahrenheit,accuweather,RED, MORNING ,clear,S,moderate,HAIL, COMFORTABLE ,moderate,BARRA,-999,7460,11210,9591,14210,13802,14071,14104,-999,£2485,£8014
2022-10-31,windy,coastal,-999,fahrenheit,accuweather, amber ,night,mostlyCloudy,NaN,Extreme,NA,HUMID, moderate ,franklin,NA,7998,missing,18523,1005,NaN,1863,missing,5043,18493,7955
06/05/2021,missing,MIDLANDS,spring,kelvin,weather.com,red,Morning,NA,NE,high,SLEET,OPPRESSIVE,moderate,Corrie,NA,18211,-999,"13,920",11767,£16050,12699,NaN,missing,NaN,13005
31/05/2022,NA, coastal ,winter, Celsius ,accuweather,NA,morning, clear ,missing,-999,sleet, comfortable ,missing,franklin,night,14052," 9,431",missing,337,2490,16353,19682,14801," 4,375",18077
2021-09-24,CLOUDY,coastal,AUTUMN,fahrenheit,bbc,YELLOW,NaN,partly cloudy,s, moderate ,none,HUMID,Good,,day,,£5698,NA,19466,missing,13821,9480,missing,£13816,£3759
07/04/2022,stormy,coastal,missing,FAHRENHEIT,ACCUWEATHER,,EVENING, mostlyCloudy ,nw,LOW,NONE,HUMID,Excellent,barra,night,17905,NaN,£5726,2115,8407,8651,NA,£8149,"19,863",£18292
2022-11-28,cloudy,INLAND,winter,Fahrenheit,Weather.com,missing,evening,PARTLY CLOUDY,ne,moderate,none,DRY,Poor,corrie,night,7964,3401,19247,£6056,£2470," 9,369",18689,16526,12098,£4599
2022-04-28,sunny,inland,winter, Celsius ,noaa,RED,NA,overcast,NW,HIGH,Hail,comfortable,Good,Dudley,NIGHT,£1811,11545,"17,619",-999,NaN,4526,1468,,18511,missing
2021-12-12,STORMY,COASTAL,spring,celsius,noaa,red,MORNING,Partly Cloudy, n ,EXTREME,hail, comfortable ,excellent,NaN,Night,3406,4920,3705,missing,,"13,104","19,472",12377,missing,920
2024-08-17,foggy,midlands,Summer,celsius,accuweather,Red,afternoon,mostly_cloudy,sw,High,-999,humid,moderate,Franklin,DAY,11513,£4626,"17,241",-999,"14,134",£15034,17811,£7540,£5625,4442
06/02/2022,WINDY,south,WINTER,Celsius,noaa,amber,Evening,mostly_cloudy,s,veryHigh,SNOW, oppressive ,missing,NaN,NIGHT,17726,£12430,£1354,NaN,1585,4920,"18,855"," 8,266","18,234",£4107
-999,snowy,West,summer,CELSIUS,ACCUWEATHER,red,Afternoon,clear,,very_high,hail,NA,EXCELLENT,EUNICE,DAY,18683,13509,16844,13500,2545,7400,2303,12028,224,"18,444"
