date,Genre,RATING,language,Format,franchise?, PRODUCTION STUDIO , release season , budget band ,distribution?,SEQUEL,Award Noms, filmingLocation , CINEMATOGRAPHY ,Lead Actor, soundMix , runtimeMin ,box office $m,metascore,userscore,screens, opening $m ,marketing_$m,CGI SHOTS,IMDB VOTES, oscarWins 
2021-12-23,action,R,SPANISH,3d,Spin-Off,universal,winter,<$10m,direct-to-dvd,yes,8+,AUSTRALIA,imax_70mm,b-list,-999,"10,808",4451,1084,6137,£935,10939,16509,NA,17743,15542
29/10/2024,ANIMATION,pg,Hindi,imax, franchise ,paramount,autumn, <$10m ,-999,YES,1-3,australia,imax 70mm,NaN,dolby,3711,16985,17921,8908,14011,5754,NaN,16478,£2504,990
16/02/2021,drama,12a,mandarin,3D,reboot,warner, WINTER ,>$150m,NA,,4-7,Uk,digital,NA,Dts," 8,299",3988,18294,4595,16956,18011,13668,missing,£7996,9176
2024-09-04,Animation,12a,ENGLISH,streaming,spin-Off,PARAMOUNT,missing,$10-50m,cinema,NO,,Us,film,b-List,atmos,£13021,12655,17566,NaN,17486,9064,10052,17689,1831,10971
15/05/2021,NA,R,mandarin,imax,Standalone,-999,spring,>$150m,STREAMING,no,missing, canada ,FILM,a-List,dts,16234,,18984,19682,   486,2750,18452,13221,13633,8585
24/04/2023,DRAMA,r,spanish,NaN,spin-Off,sony, summer ,$10-50m,STREAMING,No,4-7,nz,film,a-List,Dts,6639,-999,£4597,988,NA," 4,698",NaN,NaN,11279,19421
31/10/2022,missing,18,Spanish,-999,SPIN-OFF,-999, winter ,-999,limited,Yes,8+,nz,DIGITAL,a-list,dts,2206,£5019,8425,12725," 6,057",10191,13080,9190,10218,£19620
17/07/2021,DRAMA,18,spanish,imax,NA,Universal,summer,>$150M,STREAMING,NO,1-3, australia ,Digital,b-list,dts,£2906,NaN,"14,349",2573," 7,905",17919,19638,3513,4425,18463
NA,,G,Mandarin,3d,franchise,disney,spring,missing,LIMITED,yes,0,US,Imax 70mm,b-List,Atmos,8163,18242,10028,4088,£17197,1494,£5042,£9605,"19,722",4581
"Feb 23, 2023",comedy,15,english,2d,Reboot,warner,NaN,$50-150m,limited,no,0,Canada,film,, dolby ,£14588,"15,064","13,580",15049,11870,19166,14944,4603,£16963,£1604
2024-03-01,Horror,R,,streaming,standalone,Sony,spring,$10-50m,direct-to-dvd,No,1-3,nz,digital,b-List,dolby,16565,6135,11650,NA,4580,13022,3869,8586,3026,5949
18/07/2024,animation, g ,NA,streaming,standalone,Warner,spring,$50-150M,LIMITED,No,0,nz,NaN,NEWCOMER,ATMOS,2801,-999,10469,£16443,19435,£886,11458,£15239,missing," 2,418"
20/08/2022,comedy,Pg,french,STREAMING,spin-Off,universal,autumn,<$10m,cinema,NaN,-999,canada,imax 70mm,NA,dolby," 2,341",£13563,£8149,1608,£8769,19078,7571,1194,7038,2793
"Nov 14, 2021",action, 18 ,French,3d,Standalone,Sony,AUTUMN,>$150m,NaN, YES ,8+,NZ,Imax 70mm,B-LIST,dts,2749,1810,,"15,670",16529,8021,4419,13863," 9,198",15779
08/03/2024,ACTION, R ,spanish,NA,reboot,warner,spring,$10-50m,streaming,YES,1-3,nz, Imax 70mm ,b-list,atmos,17655,3304,15235,2594,£12475,14173,"15,864",3094,NaN,NA
2022-07-25,comedy,g,NaN,3d,spin-Off,warner,autumn,$50-150m,direct-to-dvd,no,8+,uk,DIGITAL,a-list,ATMOS,15727,7851,6775,4133,15224,"19,786"," 9,318",£3785,15988,12838
2024-02-10,documentary,pg,english,2d,STANDALONE,warner,AUTUMN,<$10m,Cinema, no ,1-3,us,IMAX 70MM,b-list,DOLBY,,£10685,12733,16854,NA,2465,18127,£4772,15726,8023
21/12/2023,HORROR,NaN,french,streaming,reboot,Universal,summer,<$10m,Cinema,No, 8+ ,CANADA,Digital,NEWCOMER,atmos,7839,-999,,18676,4307,4479,11585,17741,"18,648",£4726
03/07/2022,missing,NA,Spanish,3D,FRANCHISE,NA,NA,>$150m,NaN,no,4-7,US,Digital,newcomer, Dts ,10196,16980,£9912,missing,£8797,8389,," 8,028",1288,11648
30/03/2022,animation,15,Mandarin,streaming,franchise,warner,Winter, <$10M ,Direct-To-Dvd,-999,8+,us,IMAX 70MM,Newcomer,dts,£12451,"17,769",25,3804,£17884,12322,16084,3409,10054,£4340
missing, Documentary ,12A,FRENCH,IMAX,-999,sony, autumn ,$50-150M,Limited,,1-3, Australia ,digital,Newcomer,dts,"14,080",15611,19711,9380,16850,NaN,9044,£16466," 5,087",19890
2022-11-13,Action,pg,english,2d,STANDALONE,universal,autumn,$50-150M,Limited, yes ,0,us,DIGITAL,B-List,Dolby,6347,17884,6269,6277,NA,5625,"19,088"," 6,339",7124," 4,550"
03/09/2024,animation,-999,spanish,streaming,SPIN-OFF,Universal, spring ,>$150m,direct-To-Dvd,yes,1-3,AUSTRALIA,imax70mm,a-list,dolby,NA,-999,17116,16115,6051,14952,14123,£7459,11008,NaN
2022-11-13,comedy,r,French,3d,reboot,Universal,spring,$50-150m,streaming,missing,4-7,nz,digital,a-list,Dts,-999,"17,178",1596,10067,,5624," 4,130"," 9,963",8721,"16,824"
"Aug 06, 2021", Drama ,g,NaN,streaming,spin-off,disney,SUMMER,>$150M,Direct-To-Dvd,YES,-999, canada ,film,b-list,atmos,-999,16755,3429,£2392,£2507,15630,5547," 5,889","12,153",18890
2023-08-16,Horror,18,english,3d,reboot, universal ,,NaN, direct-To-Dvd ,No,8+,canada,Film,NEWCOMER, Dolby ,10200,8408,-999," 2,986",-999,£10199,"16,101",NA,15111,11030
2021-07-08, animation ,15,english,IMAX,SPIN-OFF,Sony,summer,>$150M,CINEMA,yes,1-3,UK,film,b-list,Dts," 8,047",£13966,14361,97,15879,18771,2998,11824," 3,947",£9540
22/07/2022,animation,pg,SPANISH,,spin-off,disney,summer,>$150m,Streaming,YES,0,us,film,NEWCOMER,NaN,565,10396,"17,347","13,660",10212,12617,£6157,13110,£2401,
2022-12-11,comedy, r ,french,imax,Reboot,universal,,$50-150m, Cinema ,yes,1-3,Uk,, newcomer ,Dts,£13878,7678,"19,860",£14906,£18942,NaN,"15,923",6652,5638,18901
28/10/2023,Action,12a,french, 2d , Franchise , disney ,spring,<$10m,cinema,Yes,,-999,Film, Newcomer ,dolby,missing,missing,"11,160",,£6647,£13893,132,16315,10995,17014
28/04/2024,animation,R,mandarin,2d,missing,warner,summer,>$150m,limited,no,0,canada,IMAX 70MM,a-list,DOLBY,11332,£18136,17579,19335,"19,691"," 8,471",2724,NaN,92,"19,178"
,comedy,15, SPANISH , 3d ,SPIN-OFF,Disney,winter,$10-50M,streaming,No,0,uk,film,newcomer,dolby,missing,9288,NaN,"11,656",18527,NA,12241,£1971,8380,missing
2021-03-18,horror,-999,french, 3D ,franchise,universal,spring, >$150M , direct-to-dvd ,Yes,8+,missing,digital,a-list,dolby,11833,-999,2504,9403,5583,missing,10907,£14699,13022,
02/09/2022,Documentary,g,NaN,2d,STANDALONE,sony,Autumn,>$150m,streaming,-999,NaN,canada,imax 70mm,newcomer,DTS,NaN,16229,"16,443",7543,6150,£4724,NA,£16628," 4,675",15122
2023-04-16,Horror,12a,,streaming,franchise,universal,autumn,<$10m,DIRECT-TO-DVD,no,4-7,Nz,DIGITAL,a-list,ATMOS,10161,£19234,"10,347",£12884,11026,19798," 5,618",1836,11925,"10,537"
06/05/2024,Horror,r, MANDARIN ,3d,missing,WARNER,autumn,>$150m, LIMITED ,no,8+, nz ,digital,A-LIST,NaN,5464,9445,19108,15181,£3278,NaN,11194," 1,388",14933,10346
2022-11-06,animation, r ,French,IMAX,franchise,sony,autumn,<$10m,limited,no,1-3,Australia,digital,newcomer,dts,£14994,4454,17615," 8,579",2232,10634,£18357,,£12868,16312
2021-02-14,horror,18,mandarin,streaming,standalone,Paramount,spring,-999,Limited,yes,1-3,uk,film,NEWCOMER,atmos,"11,235",19881,13337,6434,3912,"14,657",6449,6592,1778,10136
2023-03-22,documentary,pg,Spanish, Imax ,missing,paramount,NA,$50-150m,streaming,yes,0,us,film,missing,Dts,"12,452",£88,19513,£16573,£17691,12720,,5461,10464,£4137
2022-04-12,drama,r,english,imax,franchise,disney,Autumn,>$150m,CINEMA,Yes,8+,missing,film,B-LIST,dolby,£12106,11920,13458,6701,NA,NA,8343,32,NaN,£5304
10/10/2022,action,12A,ENGLISH,imax,spin-off,disney,NA,NaN,-999,no,1-3,us,film,NaN,dts,12321,NA,18075,11553,14444,"11,246",-999,15686,16380,9653
2023-05-25,drama,18,mandarin,2d,STANDALONE,sony,autumn,<$10m,Cinema,YES,4-7,NaN,FILM,B-List,dts,14759,18653,5803,17982,3817,12100,,-999,10891,14465
22/10/2024,-999,pg,French,Imax,Spin-Off,warner,AUTUMN,$10-50M,LIMITED,no,4-7,AUSTRALIA,imax70mm,a-List,Dts,£7333,NaN,£12623,1318,8537,£14062,17414,NA,13641,19740
2021-12-05,drama,18, English ,2d,Franchise,DISNEY,-999,-999,Streaming, no ,1-3,nz,imax 70mm,NaN,dolby,2474,£13009,7161,19932,NaN," 8,150",13074,   804,17554,11360
05/08/2024,COMEDY,r,french,streaming,standalone,Universal,Winter, $50-150m ,limited,no,1-3,uk,film,B-LIST,atmos,£11075,£4431,NA,,25,£4425,£5460,1047,9927,10262
08/11/2022,,R,MANDARIN,Streaming,,warner,winter,$10-50M,NA,no,4-7,UK,digital,newcomer,ATMOS,NaN,18316,44,11209,5782,missing,6401,3882,1150,19472
29/07/2024,ANIMATION,R,French, 3d , reboot ,-999,Spring,$10-50m,LIMITED,NO,0,Us,FILM,a-list,NA,12378,"12,503",13724,£11750,4383,5826,"11,695",£1784," 6,505",£16008
19/03/2023,ACTION,15,mandarin,imax,FRANCHISE,disney,winter,<$10M,LIMITED,yes,8+,Nz,-999,a-list,dts,12581,3787,£18917,"11,998",,1334,4684,17638,£4121,12472
09/12/2022,documentary,18,spanish,2d,spin-off,universal,autumn, $50-150m ,limited,no,4-7,us,film,missing,DTS,NaN,NA,8865,missing,,£6043,£1980,-999,£6254,10844
29/02/2024,Action, 18 ,english,streaming,franchise,NaN,summer,$10-50M,CINEMA,YES,4-7,Canada,FILM,a-list,DTS,10068,1097,£19169,16113,4811," 1,879",930,12105,13880,14655
2023-04-19, documentary ,pg,english,2D,franchise,disney,winter,<$10m,DIRECT-TO-DVD,YES,1-3,US,,b-List,Dolby,£4355,13210,NA,£7183,-999,"14,576",£19083,17516,missing,16655
15/09/2021,horror,pg,,NA,FRANCHISE, warner ,winter,<$10m,cinema,no, 8+ , australia ,imax_70mm,B-List, atmos ,12744,1386,9189,£17400,5780,1009,17116,13970,194,£2021
2023-03-07,Horror,15,MANDARIN,3d,franchise,sony, spring ,>$150m,limited, YES ,0,CANADA,IMAX 70MM, newcomer ,,8252,13678," 2,486",missing,£14316,£1669,1044,13236,13773,£8379
02/08/2023,comedy,pg,NaN,streaming,spin-Off,paramount,spring,$50-150m,streaming,yes,8+,canada, imax_70mm ,,ATMOS," 6,098",19593,12278,£648,£3524,-999," 9,238",15976,2980,"14,760"
13/08/2023,Comedy,15,NA,imax,franchise,warner,WINTER,<$10m,direct-to-dvd, yes ,1-3,australia,DIGITAL,Newcomer,Dolby,   157,16501,3827," 3,263",16272,11230,4801,£16970,"18,436",1280
"Apr 01, 2023",Documentary,18,english,streaming,missing,sony,winter,NaN,limited,YES,4-7,uk,imax70mm,a-List,dts,£15539,missing,5062,9252,£5328,£13420,11939,£3880,£3847,2141
13/12/2023, horror ,15,NA,missing,REBOOT,universal,,>$150m,cinema,yes,4-7,canada,FILM,a-list,Dolby,7649,missing,,9096,NaN,£18260,£4530,missing,6319," 9,448"
16/01/2024,Action,pg, SPANISH , 2d ,NaN,disney,autumn,$10-50m,LIMITED,Yes,8+,NZ,Film,NEWCOMER,dolby,19469,£2299,-999,8141,£13850,15240,"11,667",£8343,£18633,£11044
23/04/2022,COMEDY,pg,NA,-999,reboot,paramount,-999,<$10m,direct-to-dvd,YES,missing,NaN, digital ,b-List,dts,9128,6004,missing,19854,7207,missing,9496,1961,5188," 6,386"
"Sep 05, 2021",Horror,15,ENGLISH, imax ,REBOOT,Warner,summer,>$150M,Direct-To-Dvd,no,8+,AUSTRALIA,NA,a-list,dolby,2532,5991,18221,£16909,NaN,12360,£12501,17703,-999,10915
12/01/2021,COMEDY,r,missing,imax,standalone,universal,WINTER,missing,cinema,yes,0,Us,imax 70mm,,atmos,£14967,4070,18001,£18929," 6,540",9228,18063,£19819,2992,missing
2023-10-17,animation,18,English,2d,reboot,Warner,autumn,>$150m,missing,yes,0,missing,imax_70mm,B-LIST,Atmos,"18,091",£2186,£18002,2307,2980,13334,353,"13,312",17486,1814
,ACTION,G,HINDI,3D, Standalone ,WARNER,autumn, >$150m ,Direct-To-Dvd,NO,NA,australia,Film,a-list,ATMOS,16067,2830,6405,13419," 3,906",14457,7838,4935,19884,18760
2021-08-07,DRAMA,,MANDARIN,3d,franchise,Universal,spring,NaN,streaming,YES,0,australia,NaN,Newcomer,dolby," 9,403"," 8,556",NA,18848,8705,NaN,11595,£19909,5528,12703
NaN,drama,18,hindi,3D,standalone, UNIVERSAL ,-999,$50-150m,limited,yes, 1-3 ,missing,imax70mm,A-List,Atmos,6775,-999,4783,9331,"18,217",4421,£6077,9552,£14361,6767
2023-01-16,Horror, g ,French,-999,reboot,Warner, Summer ,$10-50m,direct-to-dvd,YES,NA, australia ,digital,B-LIST,Dts,NaN,19457,3410,12983,5362,"10,927",,missing,12738,17164
2021-09-20,Comedy,12a,English,Imax,franchise,disney,AUTUMN,>$150m,cinema,No,1-3,NA,imax 70mm,B-List,ATMOS,"15,910",NA,16728,£13938,," 7,613",3592,15353,4659,"10,750"
2021-07-23,Comedy,r,MANDARIN,2d,franchise,universal,spring,$10-50m,missing,yes,4-7,nz,NA,a-List,DTS,-999,19189,£17150,1564,4944,£8386,18933,11134,,£2082
2022-05-03,Drama,-999,spanish,2d,NaN,warner,Autumn,$50-150M,direct-To-Dvd,no,8+,nz,IMAX 70MM,a-list,,NaN,£6302,13326,6285,£17328,£3639,missing,8767,5842,"16,997"
07/01/2022,Documentary, 15 ,SPANISH,2d,standalone,Universal,Winter,$50-150m,streaming,yes,0,US,digital,a-list,dolby," 7,311",4593,6920,9158,£16504,11416,missing,NA,£5890,10840
30/10/2022,Action,15,SPANISH, imax ,Standalone,warner,winter,<$10m,Direct-To-Dvd,-999,1-3,canada,digital,newcomer,Dts,missing,12355,18992," 4,802",14317," 7,609",missing,2835,£11748,-999
31/12/2021,ACTION,18, spanish ,streaming,Reboot,sony,WINTER,$10-50m,direct-to-dvd,No,0,us,Imax 70mm,NA,Dts," 8,651",-999,480,854,1374,1574,18880,7421,"18,516",£9697
NA,COMEDY,pg,hindi,STREAMING,spin-Off,Sony,spring,>$150m,direct-To-Dvd,YES,4-7,australia,FILM,newcomer,dolby,5494,11767,£4670,"12,846",£17327," 2,610",761,£2119,," 7,973"
01/08/2023,NA,G, english ,IMAX,standalone,Warner,spring,<$10m,Direct-To-Dvd,no,missing,Nz,imax_70mm,newcomer,dolby,19516,5430,11957,"12,534",19253,1722,NaN,16965,£1782,6590
14/05/2021,Drama,PG,english,imax,spin-off,SONY, summer ,>$150M,limited,no,0,Australia,digital,newcomer,dts,£3295,£2365,10413,13200,7408,£19107,"16,360",4099,£3240,7749
2024-09-19,action, G , hindi ,STREAMING,spin-off,Sony,WINTER,$10-50m,streaming,Yes,4-7,UK,digital, B-LIST ,Dolby,782,11379,19879,,£17452,11030,,£8080,16090,3778
13/02/2023,comedy,18,HINDI,streaming,franchise,disney,NA,>$150M,LIMITED,yes,8+,canada, imax_70mm ,b-List,atmos," 3,757",14396,12426,12799,NaN,-999,11030,16768,£9059,12767
2023-02-21,Drama,G,french,imax,-999,universal,summer, $50-150m ,LIMITED,no,4-7,US, digital ,a-list,dts,"18,168",2961,529,8506,13409,10182,£8983,," 1,012",10200
31/01/2023,drama,18,SPANISH,2D,SPIN-OFF,disney,Autumn,$10-50m, Limited ,NO,0,us,digital,Newcomer,dolby,589,"18,953",1288,383,NA,£2725,NaN,,£13988,10266
2021-08-29, COMEDY ,r,mandarin,-999,REBOOT, DISNEY ,NaN,$10-50M,STREAMING,-999,1-3,uk,IMAX 70MM,-999,atmos,-999,£13521,15059,8440,8510,11661,NaN,13344,£16914,5071
25/08/2021,documentary,15,,2d,reboot,disney,spring,>$150m,Streaming,YES,,Nz,film,B-List,dts,NA,£13889,£4916,"16,142",19145,,15108,7802,10035,missing
2022-10-10,missing,18, mandarin ,3d, spin-off , Disney ,spring,<$10m,DIRECT-TO-DVD,,missing,AUSTRALIA,imax70mm,a-list,dts,17253,251,£16649,£3388,£16063,19276,18453,15980,£10684," 7,430"
20/05/2021,COMEDY,pg, French ,3d,reboot,NA, autumn ,>$150m,limited,no,0,Canada,imax70mm,NEWCOMER,dolby,9683,NA,,12413,£17976,,17377,£17966,NA,6961
2023-03-16,DOCUMENTARY,15,Hindi,2d,FRANCHISE,PARAMOUNT,spring,$50-150m,-999,NO,4-7,canada,NaN,A-List,Atmos,£11980,19998,3577," 2,158",11855,,18678,17268,"12,017",£15653
2024-12-04,action,pg,Spanish,imax, Franchise ,universal,,$50-150m, Cinema ,yes,8+,australia,digital,missing,NA,11051,6678,5876,"10,777",7231,574,18621,£16304,£14434," 4,141"
"May 30, 2021",ANIMATION,12a,missing,missing,REBOOT,UNIVERSAL,Autumn,NA,direct-To-Dvd,yes,0,canada,-999,-999,atmos,£3374,NA,12623,"15,116"," 5,935","19,363",1032,14752,13278,9586
"Oct 21, 2021", drama ,pg,spanish,2d,standalone,universal,autumn,$50-150m,cinema,missing,1-3,uk,film,a-list,dolby,6030,   793,-999,NaN,£16297,16308,2838,£60,,-999
-999,Action,18,french,2d,Franchise,DISNEY,autumn,>$150m,DIRECT-TO-DVD,No,1-3,us,imax 70mm,b-List,Dts,5375,19432,5046,13286,8672,19890,678,missing,18892,2220
03/10/2021,-999,15,mandarin, streaming ,SPIN-OFF,UNIVERSAL, SUMMER ,$10-50m,NaN,No,1-3, canada ,imax70mm,Newcomer,DOLBY,"17,192",4885,,10188,NaN,2800," 6,683",6338,15748,8217
"Jun 04, 2024",Documentary,NA,French,STREAMING,spin-off,warner,Autumn, $50-150m ,,Yes,1-3,missing,IMAX 70MM,b-list,NaN,7846,18603,7868,10784,2493,£2986,"12,888",9766,6246,14388
2024-09-09, animation ,15,ENGLISH,IMAX,franchise,missing,NA,<$10m,NA, no ,1-3,canada,film,newcomer,dts,12546,13667,13362,19234,10259,NaN,6540,6904,"18,644",-999
2022-11-03,animation,,HINDI,2d,Franchise,Warner,spring,missing,direct-to-dvd,Yes,0,AUSTRALIA, digital ,-999,dts,£1370,NA,6990,NA,1753,16617,9707,14610,6014,missing
19/04/2021,NaN,15,-999,streaming,Standalone,Universal,NA,$10-50m,limited,Yes,1-3,us,Film,B-LIST,dts,missing,4929," 3,936",16285,£1466,missing,14882,£8939,1158,11799
13/12/2021,horror,g,english,2d,spin-off,WARNER,SUMMER,$10-50m,streaming,Yes,1-3,US,Imax 70mm,A-LIST,dts,15581,NA,11023,5472,9387," 3,205",16357," 8,367",10345,NA
09/12/2022,documentary,r,english,imax,Franchise,Sony,autumn,<$10m,LIMITED,No,0,us,missing, A-LIST ,Atmos,12713,17069,10663,£9206,NA,£1859,,£18602,9105,6117
30/06/2022, Drama ,15, spanish ,imax,REBOOT,warner,SPRING,<$10m,cinema,no,4-7,Uk,imax_70mm,b-list,dts,11871,8137,14513,4978,14843,8361,4348,8385,4983,1467
"Jan 22, 2022",drama,12a,missing,3d,reboot,universal,autumn,$10-50m,LIMITED,No,4-7,Australia,film,B-List,-999,7011,15154," 5,492",4961,16882,2659,NA,12125,"10,682",-999
16/04/2022,horror,r,Mandarin,imax,Standalone,warner,winter,$10-50m,cinema,no,8+,us,NA,NaN,ATMOS,6467,1461,"11,524",9348,"13,288",10751,£19535,-999,3835,"11,775"
13/04/2022,Comedy, 15 ,English,NaN,spin-Off, Universal ,AUTUMN,$10-50m, direct-to-dvd ,yes,8+,uk,imax_70mm,newcomer,atmos,£7597,£18015,"14,543",17580,13800,8592,16473,NA,missing,£8030
2024-03-25,drama,pg,spanish,Streaming,spin-off,DISNEY,summer,$10-50m,Streaming,yes,8+,nz, film ,newcomer,atmos," 8,068",6346,£19443,12303,2613,11213,£6190,2209," 3,010",4107
17/03/2021,action,R,FRENCH,streaming,Standalone,SONY,NaN,$10-50m,limited,,NA,NaN,imax70mm,a-list,NaN,776,18615,£14147,13321,2816,NaN,14628,19956,£1099,740
15/07/2021,DOCUMENTARY,18,spanish,STREAMING,Reboot,warner,winter,$50-150m,missing,No,4-7,-999,digital,newcomer,dts,5521,8361,missing," 5,994",NA,19851,NaN,missing,2822,6338
05/05/2021,ANIMATION,pg,NaN,3D,reboot,sony,summer,>$150m,Limited,NO, 8+ ,nz, imax_70mm ,NaN, dolby ,13910,"15,698",1560,£13458,£4327,NaN," 2,657",NA,,17988
19/01/2021,comedy,12A,spanish,imax,reboot,sony,spring,$50-150m,streaming,,8+,NA,NA,,Dolby,"11,356",£1016,16914,13555,-999,1058,17310,9520," 1,699",13055
2021-12-21,DRAMA,Pg,mandarin, 2d ,Spin-Off,Sony, SUMMER ,$10-50m,direct-to-dvd,yes,missing,australia, IMAX 70MM ,a-list,Dolby,"13,549",1818,18367,19538,£6390,8507,11248,7548,4166,8271
"Aug 18, 2021",horror,PG,hindi,STREAMING,NaN,Sony,autumn,>$150m,Limited,no,8+, canada ,imax70mm,b-list,dts,NA,"15,705",18869,1503,£8254,NaN,1722,18539,12297,3642
22/05/2021,Horror,NaN,Mandarin,3d,franchise,sony,SUMMER,NaN,Streaming, Yes ,0,nz,Film,a-list,dolby,£12714," 2,078",£15774,£799,"13,827",£11315,NA,5457,£19330,5238
06/04/2021,action,g,MANDARIN,imax,franchise,universal,spring,-999,Streaming,NaN,1-3, us ,imax_70mm,newcomer,-999,3418,8482,10078,10619,£8840,6357,3953,£4519,7361,missing
06/11/2021,animation,18,english,3d,reboot,warner,spring,>$150m,limited,yes,8+,australia,,missing,DTS,13116,£11318,,1875,,18223,2837,,-999,11949
"Mar 16, 2022",horror,r,NA,imax,REBOOT,universal,spring,<$10M,Cinema,NO,0,NZ, imax_70mm ,-999,atmos,£19702,£5999,5902," 1,441","17,843",14426,-999,14530,£13110,18844
17/08/2022,,15,MANDARIN,imax,reboot,warner,AUTUMN,>$150m,direct-to-dvd,yes,0, Nz ,digital,b-List,dts,19302,NA,16486,10341,"11,229",£14604,"17,111",£18283,6686,12625
28/04/2022,missing,12a,SPANISH,-999,spin-Off, WARNER ,winter,$50-150m,DIRECT-TO-DVD,No,missing,australia,digital,A-List, ATMOS ,5084,13909,15641,14882,13070,18452,,14556,-999,17911
17/01/2022,documentary,r,spanish,3d,reboot,Paramount,autumn,$50-150m,direct-to-dvd,yes, 4-7 ,Nz,NA,b-list,dolby,£11145,8998,13592,£3337,12368,NaN,18606,,9501,11463
"Dec 18, 2024",HORROR,18,MANDARIN,NaN,franchise,DISNEY,NaN,<$10m,Limited,No,0,NA,-999,A-LIST,dts,10807,NaN,£14523,14619,£8227,11946,5425,NaN,17889,
