DATE,genre,format,language, mood ,decade, Label ,EXPLICIT, chartPosBand ,Instrument Focus,Live/Studio, GRAMMY WON ,remastered,PLAYLIST TYPE?,audienceAge,REGION POPULARITY,Streams M,salesK,LISTENERS K, peakPos , weeks charted ,Tour Gross £M,track_length_s,bpm,Key,energy%
27/07/2024,Hip-Hop,streaming,ENGLISH,Energetic,70s,universal,NaN,-999,STRINGS,studio,8+,yes,Mood,teens,uk,11414,"12,132",10462,£7381," 3,773",8915,10432,19728,12409," 9,109"
07/11/2022,Jazz,vinyl,korean, Happy ,2000s,Indie,yes, top-10 ,synth,NA, 1-3 ,Yes,mood,SENIORS,US,-999,"11,828",£3744,£5969,16274,5813,2993,8115,5524,"18,904"
2021-12-29,POP,Cassette,korean,angry,80s,sony,Yes,top-10,STRINGS,studio,8+,yes, party ,Teens,asia,missing,19806,15973,4352,missing,3884,£19270,£771,2729,16081
10/10/2024,, streaming ,spanish,chill,2020s,Sony,NO,top-40,piano,-999,NA,NO,,adults,latam,17510,£3016,"14,028",17402,6573,19957,18991,1906,14978,4697
2023-04-30,Pop,streaming,FRENCH,NaN,2000s,UNIVERSAL,no,-999,piano,NA,1-3,no, workout ,seniors,LATAM,"14,096",4050,6814,£11797," 8,113"," 5,205",17572,NA,£8179," 9,361"
02/02/2021,hip-Hop,Cassette,KOREAN,Sad,80s,indie,no,top-100,STRINGS,studio,-999,no,SLEEP,teens,NaN,5488,8013,1755,"13,957",7383,12923,15703,15903,missing,£15699
2023-09-30,hip-hop,Cassette,korean,sad,2010s,warner,NO,top-40,missing,live, 8+ ,No,focus,ADULTS,Latam,-999,NA,9374,£19328,-999,19629,"17,215",4573,13564,14903
2024-09-01,pop,vinyl, GERMAN ,NA,2020s,Sony,no,TOP-40,Piano,studio,1-3,yes,Mood,ADULTS,eu," 2,683",16182,5625,,NA,6158," 2,448",8138,11592,8232
22/03/2021,hip-hop,cassette,-999,,2010s,universal,no,top-40,Guitar,LIVE,NA,no,FOCUS,kids,eu,"17,211","19,264",3884,18766,£11481,missing,19946,£9027,2546,£12249
2024-09-29,classical,vinyl,spanish,sad,2020s,NaN,Yes,Top-10,drums, studio ,missing,No,party,teens,asia,6510," 4,357",5864,"17,793",5657,1837,NaN,18199,6912,10146
19/04/2024,missing,live,Korean,happy, 2020s ,universal,NA, uncharted ,guitar,studio,4-7,Yes,party,seniors,UK,1237,NA,-999,661,19463,14231,"11,190",5993,13269,3890
22/08/2023,jazz,LIVE,Spanish,sad,2000S,warner,No,top-100,SYNTH,studio,missing,,SLEEP,Seniors,uk,"13,602",NaN,16021,NA,18537,16442,1832,1231,11058,NaN
2024-03-20,edm,NA,Spanish,Energetic,70s,-999,NO,uncharted,GUITAR,Live,8+, no ,PARTY, KIDS ,missing,3388,"16,942",1317,10721,9782,6658,£3501,7619,8039,11865
2023-02-09,Jazz,live,german, chill ,2010s,indie,yes, top-40 ,piano,Studio,,yes,Sleep,,missing,5024,£19831,-999,"13,119",,-999,10699,18011,885,11527
2024-08-03,Hip-Hop,,korean,chill,NaN,Indie,No,top-100,NA,studio,1-3,yes,focus,teens,latam,18793,14787,£17108," 7,327",NA,13878,10198,,"15,510",NaN
2021-08-19,hip-hop,CD,german,ENERGETIC, 2010s ,sony,YES,Uncharted,strings,Live,0,yes,mood,seniors,missing,2272,9508,16419,18516,,8756,"19,605",3420,£14617,11361
2021-10-14,classical,cd, german ,chill,NA,sony,yes,top-10,,live,4-7,YES,party,seniors,asia,NaN,£10245,14751,4086,£7189,5349,12585," 3,192",NA,3655
"Nov 05, 2023",classical, Cassette , english ,Energetic,-999,universal, no ,top-100,STRINGS,-999,0,no,missing,seniors,uk," 2,620",NaN,NaN,4461,£6308,10298,"14,752",18522,,£2112
19/01/2022,Jazz,Vinyl, Spanish ,sad,2000s,-999,Yes, top-100 ,Synth,live,0,no,Workout,SENIORS, UK ,10652,9060,NaN,9558,3100,,£5225,10209,£1894,11682
,edm,Cassette, german ,energetic,90s,INDIE,YES,Uncharted, synth ,studio, 4-7 , yes ,Focus,ADULTS,us,3082,14151,9470,8048,NaN,19637,8026,£13578,10985,5898
2023-08-26,JAZZ,cd, french ,NA,80s,-999, yes ,Top-40,PIANO,Live,8+,Yes,party,teens,UK,19356,5418," 3,934","13,177","18,109",£7516,10370,19151,11035,"13,257"
26/12/2021,Jazz,NaN, FRENCH ,angry,2020s,INDIE,yes,top-40,PIANO,studio,1-3,No,-999,Seniors,asia,3687,£15309,£17783,£6048,"12,905"," 7,567",£1733,£14958,11341,10484
23/11/2021,NA,Streaming, spanish , Happy ,2010s,missing,NaN,top-40,DRUMS,NA,NA,No,workout,missing,UK," 7,577",10951,"14,014",219," 9,105",3384,£2213,"13,121",£2080,missing
"Jan 08, 2023",EDM,LIVE,-999,-999,80s,INDIE,No,UNCHARTED,STRINGS,studio,0,yes,workout,seniors,Asia," 6,939",9138,£19849,4325,162,NaN,£16891,"10,396",NaN,19780
01/03/2022,Edm,live,GERMAN,Sad,NA, sony ,no,top-10,STRINGS,live,1-3,Yes,Sleep,teens,Latam,-999,9655,13349,5732,16398,7206,missing,missing," 2,172"," 4,311"
2024-06-11,Hip-Hop,LIVE,spanish,sad,2020s,sony,yes, top-10 ,drums,Studio,4-7,yes,focus,teens,asia,2795,"10,852",,18070,£12536,"14,186",NA,£4292,," 1,050"
-999,NA,streaming,,SAD,90s,,no,Top-100,guitar,live,8+,yes,Party, kids ,eu,8763,18291,15116,"17,703",missing,NA,6267,9476,£15567,£18398
26/01/2024,jazz,cd,spanish,sad, 80S ,,yes,Top-10,piano, Live ,1-3,-999,party,seniors,eu,16426,12221,15728,£9643,"11,165",£7707,10044,4909,7546,4911
15/02/2023,hip-Hop,cd,GERMAN, sad ,2010s,universal,no,top-10,piano,Live,,no,NA,adults,us,NaN," 6,393"," 6,042",18542,£5843," 2,772",8959,19322,£4968,1571
2023-12-13,Pop,Cd, korean ,NA,2010s,sony,yes,TOP-40,strings,LIVE,4-7,no,NA,NA,us," 4,548",18578,NaN,£154,2868,17950,£5080,17001,8703,17730
30/05/2022,edm,streaming,KOREAN,energetic,2010s,sony,yes,TOP-100,piano,,8+,yes,SLEEP,adults,-999,£16211,"16,482",5998,£16048," 8,143",£11706,£14420,"13,944",11611,-999
2023-02-22,Edm, cassette ,spanish,happy, 2020s ,indie,YES, top-10 ,piano,live,NA,yes,NaN,missing,asia,14988,12010,16331,15548,NA,missing,£2828,£9126," 5,336",£6374
missing,Pop,vinyl,SPANISH,NaN,70s,sony,-999,NaN,Strings,live,1-3,NA,mood,adults,Us,15840,13998,7112," 9,612","13,085","18,893",3164,£12177,6157," 2,073"
2022-02-18,jazz,Cassette,german,happy,2010s,missing,NO,uncharted,drums,NaN,1-3,no, Focus ,seniors,asia,£2273,£6088,£16153,£17839,12106,-999,£9286,19670,£1909,missing
NaN,ROCK,VINYL,french,SAD,-999,INDIE,,TOP-100,-999,STUDIO,NA,Yes,mood,Seniors,us,1706,5837,-999,14339,3765,16866,£5820,7230,," 3,840"
09/02/2023,missing,streaming,KOREAN,SAD,2000s,indie, Yes , top-100 ,missing,STUDIO,1-3,yes,party,Kids,eu,9796,£8295,665,-999,12701,146," 1,800",8825,NA,3519
07/10/2023,jazz,Streaming,german,-999,2000S,Universal,no,top-100,strings,live,1-3,yes,Mood,kids,UK,5186,,701,£17674,6748,11001,15503,£15105,£13749,1718
09/08/2021,Hip-Hop, streaming ,french,happy,2020s,INDIE,-999, TOP-40 , drums ,studio, 4-7 ,-999,Party,SENIORS, asia ,11018,£4383,NA,£5549,14923,,1590,10923,8159,3538
15/10/2022,classical,STREAMING,Spanish, happy ,,-999, No ,,drums,studio,8+,no,sleep,Seniors,uk,missing,9548,£11598,7278,6428,1401,13651,£16500,NA,10940
06/02/2023,edm,Streaming, Spanish ,Happy,70s,sony,NO, top-40 ,Drums,Live, 4-7 ,NaN,party,kids,,4990,5389,£8759,12694,11182,11965," 3,979",9986,18280,1559
10/06/2022,Pop,vinyl,english,chill,2010s,warner,no,top-100,SYNTH,, 1-3 ,yes,sleep,teens,Us,19752,15435," 6,456",,£10898,-999,5085,missing,11476,6582
2021-12-21,Pop,vinyl,NA,NaN,2010s,Warner,yes,TOP-10,Drums,studio,missing,yes,SLEEP,SENIORS,asia,"19,126",18479,1758,£2093,18301,7627,£271,17026,   442,4516
2021-11-23,Classical, Streaming ,german,sad,70s,WARNER, no ,top-40,Strings, live ,NaN,yes,Party,adults,uk,"18,935",8100,NaN,15851,6338,£13184,6481,14763,8896,£1436
2024-09-24,hip-Hop,cassette,SPANISH,angry,90S, universal ,yes,Top-10,SYNTH,live,4-7, No ,party,kids,,15300,,8142,2907,3677,£5237,NA," 1,558",£15569,954
2024-06-13,missing,streaming,french,angry,70s,WARNER,no,top-100,-999,studio,1-3,Yes,mood,seniors,Latam,16798,10879,270,3932," 4,406",missing,2522,19641,9002,16416
2022-09-21,NA,CASSETTE,French,happy,-999,Universal,YES,TOP-100,guitar, STUDIO ,1-3, NO ,party,adults,eu,-999,NaN,"14,032",NA,"10,897",9420," 2,017",3455,£17056,£5559
07/07/2022,Hip-Hop,streaming,korean,happy,90S,sony,no,NA,,studio,4-7,yes,WORKOUT,KIDS,LATAM,15967,1991,5847,18129,"12,067","16,252",£2123,12108,5963,£10468
2024-12-24,jazz,cd,french,energetic,70s,SONY,-999,Uncharted,DRUMS,Studio,1-3,missing,party,KIDS,latam," 5,931",£4662,NA,13654,16795,£9927,1380,missing,2512,£5534
2021-05-23,pop,streaming,SPANISH,missing,2020S,sony,NO,Top-40,strings,live,4-7,NA,sleep,missing,uk,15,2243,£7404,2738,7198,9096,"17,420",£351,3402,4222
10/06/2024,Classical,cd,korean,ENERGETIC,2010s,WARNER,yes,TOP-40,piano,-999,8+,yes,MOOD,SENIORS,NA,missing,6420,15123,7163,14316,missing,10227,12444,9310,14181
08/08/2024,,,GERMAN,ENERGETIC,70s,indie, YES ,UNCHARTED,guitar,STUDIO,1-3,yes,sleep,Kids,uk,8139,£7349,4858,11099,-999,2393,"12,592",15531," 8,554",6962
21/04/2023, hip-hop ,streaming,english,sad, 90s ,NA,yes,TOP-40,guitar,Live,0,no,sleep,Teens, Latam ,12932,4883,£1979," 8,231",," 1,808",8236,7179,16449,12782
2024-12-19,rock,vinyl, korean ,chill,90s, Warner ,NO,TOP-10,synth,live,0,no, mood ,adults,Latam,9594,8404,£13681,   251,£18808,6477,"16,454",18868,£13604,£11119
21/08/2022,hip-hop,STREAMING, FRENCH ,chill,70s,Sony,no, top-100 ,guitar,live,1-3,No,workout,Seniors,,13131,11966,3020,19408,18012,5778,10551,185,17739,£3914
"Aug 05, 2021",POP,,german,Sad,2000S,WARNER,YES,top-100,guitar,live,1-3,yes,workout,missing,uk,6564,11414,18381," 6,586",9859,9948,18921,"15,774",,NaN
2024-07-11,classical,Streaming, FRENCH ,CHILL,70S,Sony,yes,TOP-10, Drums , studio ,-999,yes,Mood,teens,us,5393,12221,19844,10889,15994,£1493,-999,9455,18943," 8,521"
30/11/2021,edm,vinyl,spanish,sad,NaN,sony,NO,UNCHARTED, SYNTH ,studio,4-7,no, party ,missing,asia,£18816,12223,-999,10600,£3241,£2443,NaN,NaN,10477,
"Apr 24, 2022",ROCK,Live,spanish,Energetic,90S,Sony,YES,-999,SYNTH,Studio,4-7,no,workout,adults,UK,13650,NA,17624," 7,471",£12871,"15,895","10,645",6355,-999,missing
11/07/2022,classical,streaming,German,HAPPY,90s,warner,NO,top-40,STRINGS,STUDIO,0,yes,sleep,seniors,uk,£3660,-999,10766,10436,17209,"10,232",£2955,1308,901,6102
,pop,NaN,FRENCH,sad,80s,Indie,missing,uncharted,piano,Live,1-3,Yes,Focus,NaN,missing,£2789,£12611,£7434,£10372,1822,18328,18313,10447,£4490,£7767
29/06/2021,JAZZ,NaN,german,NaN,2010s,universal,yes,TOP-10,Strings,live,NA,yes,sleep,kids,eu,9117,15382,missing,£13850,£925,3705,"18,409","10,669",8759,15079
15/05/2024,rock,streaming,korean,SAD,,universal,NA,top-10,SYNTH,Live,8+,no,NaN,-999,,"12,435",3936,"13,558",6277," 4,722",£238,NaN,18466,NaN," 8,963"
11/08/2021,NA,streaming,NaN,sad,2010s,Sony,no,top-100,Synth,studio,0,no,sleep, adults ,UK,£2985,£165,missing,2727,3021,2722,4298,NaN,13428,£18664
,JAZZ,Cd,German,angry,2000s,warner,NO,top-40,SYNTH,studio,1-3,No,PARTY,seniors,,19443,4903,NA,£1035,11604,£8830,15912,18181,13217,£12920
"Jun 17, 2024",JAZZ,NA,korean,happy,2010s,NA,NaN,TOP-40,DRUMS,Studio,4-7,yes,sleep,TEENS,eu,£1767,13468,£2551,9127,£13268,11906,14910,5699,9385,18930
2023-10-15,Rock,CD,NA,HAPPY,80S,WARNER,no,TOP-40,Drums,LIVE,8+,NO,SLEEP,seniors,-999,8183,5698,17468,-999,1458,7316,10133,-999,"15,732",£3938
2021-03-31,HIP-HOP,Vinyl,french,chill,80s,warner,yes,Uncharted,drums,Studio,8+,NO,mood,TEENS,asia,6804,12095,£9244,535,6977,4796,6519,17214,NaN,2233
"Sep 10, 2022",POP,vinyl,English,NaN,2000S,sony,yes,Uncharted,piano,studio,8+,Yes,sleep,teens, UK ,12695,17194,13263,£11871,19576,227,-999,11473,"11,565",5812
06/10/2022,classical,NaN,korean,ENERGETIC,2010s,sony,NA,top-10,,studio,8+,NA, focus ,adults,NA,9285,£14948," 6,005",£17863," 9,326"," 8,709",£13273,11162,£16618,NA
22/03/2022,Hip-Hop,Vinyl,SPANISH,HAPPY,2000S,,yes,Top-40,synth,studio,0,no,mood,ADULTS,us,missing,"16,050",NA,9858,15902,"12,485","11,252",6568,2545,"13,464"
2023-02-16,hip-hop,cd,korean,ENERGETIC,70s,sony,no,top-100,Piano,Studio,NaN,yes,SLEEP, Teens ,latam,6468,"18,045",11690,3804,,13910,,8425,4442,£19052
30/11/2023,pop,CD,korean,-999,90s,sony,no,top-100,Drums,studio,NA,YES,mood,missing,ASIA,11159,"13,977",NaN,19796," 8,921","19,423",£19948,1796,12860,10889
2022-01-20,HIP-HOP,CASSETTE,FRENCH,energetic,80s,Sony,yes,top-10,-999,LIVE,0,yes,workout,teens,asia,11374,£11419," 2,356",5593,£958,£1000,£4834,16404,£4639,4213
,Edm,live,Spanish,chill,70s,universal,no,uncharted, synth ,NaN, 0 ,No,Mood,TEENS,latam,1466,11143,£6059,4153,18295,NaN,NaN,£15137,NA,4960
17/12/2022,NaN,Streaming,FRENCH,sad,70s,sony,no,uncharted,strings,live,0,yes,NaN,Adults,-999,17,£13442,16629,NA,14420,18393,15140," 1,618","10,382",12599
02/09/2023,POP,CD,NA,sad,70s,,yes,top-40,Strings,live,8+,no,focus,adults,UK," 8,897",18510,7435," 8,600",15389,£8987,"12,047",1961,£2111,15616
2023-09-24,pop,live,SPANISH,sad,2020s,NaN,no,Top-40,synth,live,0, no ,focus,adults,Uk,15495,£13901,£15935,887,£10406,13004,1174,£777,£8228,3323
2022-12-15,NA, cd ,NA,ENERGETIC,missing,sony,No,uncharted,missing,studio,0,yes,workout,adults,asia,6606,12502,£14298,4419,5513,"12,872",19216,NA,10769,5928
"Feb 05, 2023",rock,cassette,french,happy, 2000s ,universal,yes,top-100, strings ,LIVE,8+,NO,mood,teens,NaN,£16622,5585,NA,-999,17374,5537,NaN,12551,2830,2832
2023-08-25,hip-hop,cd, Korean ,HAPPY,90s,warner,NA,NaN,strings,live,4-7,no,PARTY,seniors,eu," 8,252",2751,10348,15205,3328,10194,9981,12142,6378,-999
2024-11-07,pop,LIVE,KOREAN, sad ,90s,warner,no,TOP-100,strings,Studio,8+,no,PARTY,ADULTS,latam,NaN,10977,"13,720",8790,18417,8793,11454,"19,045",18551,15900
15/05/2021,Hip-Hop,cd,english,NaN,70s,Indie,no,uncharted,piano,Live,1-3,yes,NA,TEENS,-999,missing,1190,9442,"12,243",,7950,£620,18339,missing,£1011
01/01/2022,edm,STREAMING,Korean,angry,2010s, universal ,YES,Uncharted,DRUMS,Live,1-3,yes,mood,kids, EU ,,£15462,2551,15187,£3981,6388," 9,019","15,040",NA,   382
"May 24, 2024",NaN,STREAMING,german,Energetic,80S,WARNER,yes,NA,piano,Live,0,NO,party,TEENS,Asia,"14,338",19516,£11826,"11,308",9154,5182,-999,2580,"16,437",18714
2023-09-28,Hip-Hop,streaming,GERMAN,-999,NA,indie,YES, uncharted ,synth,studio,8+,YES,party,ADULTS,NA,    87,"12,856",14874,£2149,£7614,17038,7487,£260,16465,£6900
2021-07-26,rock,CASSETTE,NaN,ANGRY,90s,WARNER,No,UNCHARTED,piano,live,0,no,workout,kids,Asia,13311,13654,15697,NaN,7264,217,£8165,695,£3685,£3227
2024-06-06,Pop,Live,spanish,chill,2010s,indie,No,,-999,Studio,4-7,no,,seniors,Asia,15256,£9525,-999,NA,10243,"13,736",£3217,6677," 8,975",18888
NaN,classical,cassette,french,Energetic,2020s,-999,NaN,top-40, drums ,studio,4-7,Yes,Focus,seniors,uk,819,13889,15801,13012,NaN,1707,14903,18126,£13265,6224
25/04/2024,edm,vinyl,Korean,Happy,missing,,YES,Top-10,guitar,Studio, 1-3 ,yes,mood,NaN,eu,2028,3904,£3384,3765,8188," 6,256",-999,18949,18457,
missing,NA,live,SPANISH,sad,2020S,sony,no,Top-40,drums, Live ,1-3,YES,workout,adults,Uk,-999," 1,911",missing,8526,7368,5219,410,17099,13548,£11451
"Aug 31, 2022",Jazz,STREAMING, korean ,energetic,2000S,Sony,missing,Top-100,drums,LIVE,0,yes,sleep,Teens,Us,12096," 5,501",-999,13300,NA,£19081,4756,19675,2661,7515
10/07/2021, pop ,NA,english,Happy,2020s,universal,no,uncharted,NA,Live,8+,No,Mood,adults,Us,"19,654",£3099,   231,6341,13608,£2761,£7692,£10900,5537,NaN
NA,ROCK,STREAMING,German,energetic,70s,Universal,no,top-10,synth,studio,0,no,workout,-999,Latam,"17,602","19,579",18521,14405,9766,10482,£11305,19609," 7,588",£14756
2024-12-12,hip-Hop, live ,Korean,HAPPY,2000s,SONY,No, top-40 ,Synth,STUDIO,1-3,YES,NaN,Teens,eu,NaN,9448," 6,434",NA,14030,18162,5074,7025,£10053,"19,424"
09/04/2022,NaN,missing,english,Angry,80s,universal,NA,top-40,NaN,Live,,No, party ,Adults,-999,£18783,"18,466",14449," 6,395",15630,18135,16907,11357,6539,15249
2022-04-07,HIP-HOP,Streaming,german,sad,70S,sony,NaN,-999,strings,live,4-7,no,Sleep,kids, Eu ,NaN,"12,319",£14375,9123,£10346,"12,461",£15499,1554,"18,923",14037
2024-02-26, jazz ,-999,spanish,Chill, 90s ,universal,yes, top-100 ,Strings,live,8+,yes,Mood,seniors,missing,11562,£15300,"19,892",£16999,2861,16661,"10,036",13558,£14401,18802
2024-01-10,,streaming,KOREAN,happy,2020S,UNIVERSAL,YES,TOP-10,guitar,Studio,1-3,NO,WORKOUT,seniors,us,12429,missing,£11087,,2385,£9896,8930,£11780,£3507,missing
26/01/2024,NaN,Cassette,english,Sad,70s,,YES,Uncharted,synth,Studio,4-7,,NaN,ADULTS,eu," 9,069",missing,19818," 2,319",7500,11283,16744,18619,15024,missing
"Nov 04, 2022",POP,cassette,english,energetic,90s,NaN,yes,missing,strings,Live,0,no,mood,seniors,latam,16672,1394,13911,£17552,1220,2238,19390,17762,13093,£7647
2022-10-19,classical,NA,french,happy, 80s ,Universal,NO, Top-10 ,missing,studio,8+,NaN,Sleep,adults,Uk,2052,6960,13848,NaN,10459,-999,,12934,18558,10821
"Jun 11, 2021",NaN,cd,GERMAN,chill,80s,Warner,NO,uncharted,Synth,Live,4-7,NaN,workout,Kids,latam,£16594,NaN,15078,754,7123,2195,4344,"11,570",NaN,
2022-10-07,NA,Cassette,english,Happy,90s,Indie, no ,top-100, STRINGS ,studio,0,no,mood,adults,ASIA,947,10406,NaN,NA,16237,15481,15909,missing,£19781,5655
17/04/2023,rock,VINYL,GERMAN,Energetic,2010S, Warner ,yes,top-100,-999,LIVE,8+,no,PARTY,kids,asia,10805,£7931,14198,2478," 3,374",1257,2768,£3870,£9925,16802
16/01/2024,edm,live,english,sad,80s,sony,yes,top-10,strings,studio,1-3,no,party,Adults, Eu ,17217,NaN,14459,missing,19199,19502,16554," 8,675","12,027",2869
2024-05-11,Edm,STREAMING,korean,-999,2010s,Universal,Yes,top-10,drums,live,1-3,No,Workout,kids,us,-999,8501,5497,6825,17632,£12298,16205,11711,15731,10880
30/04/2024,ROCK,CD, french ,sad,70s,indie, Yes ,TOP-100,drums,studio,8+,yes,sleep,seniors,Latam,NaN,235,8122,922," 4,010",1019," 5,365",12455,31,3468
2022-09-29,hip-Hop,Live,french,Energetic,2020s,warner,no,top-10,synth,Live, 1-3 ,No,party,TEENS,latam,14966,16879,9578,,missing,£17800,9105,4820,£15704,5457
19/12/2023,,CD,ENGLISH,sad,80s,Universal,Yes,top-10,drums,Studio,1-3,no,Focus,NaN,latam,NaN,14606,11537,NA,NaN,£11837,19958,,16328,£14165
2023-05-02,Edm,Cd,korean,Angry,2000S,,YES,NaN,guitar,studio,8+,No,focus,seniors,Uk,,"10,440",NA,£7546,missing,£11264,17237,7736,,-999
2024-04-18,EDM,streaming, french ,angry,2010s,Indie,No,Top-100,strings, LIVE ,4-7,no,Mood,teens,eu,NaN,19167,,£4210,5836,8761,8666,12895,12176,295
2024-01-30,pop,vinyl,french,angry,2020s,warner,no,Top-40,DRUMS,NaN,1-3,yes,Party,seniors,uk,7986,£18181,,-999,19434,£8329,15652,1760,16619," 8,801"
2023-01-02,rock,cd,English,Chill,80s,indie,no,Uncharted,drums,studio,8+, yes ,Party,adults,uk,17833,£2736,11537,missing,6146,15163,-999,£7889,£3857,£11916
"May 23, 2022",NA,CD,ENGLISH,happy,90s,sony,yes,top-10,missing,live,1-3,No,sleep,Seniors,Latam,15298," 8,475",19051,5006,   693,17041,-999,3222,"16,665",10701
2023-09-28,rock,cassette,NaN,sad,80s,SONY,Yes,Top-40,strings,LIVE, 0 ,no,PARTY,adults,EU,9968,10270,103,£18632,10259,12484,7590,19190,2295,£2438
