DATE,make,model/,fuel_type?,transmission,Body Style, colour ,Drive Train,Trim Level,reg state, Emission Std ,Segment?,ownership type,insuranceGroup,warranty_status,MARKET REGION, ENGINE CC , horsepowerBhp ,TORQUE NM,co₂G/Km,Range Km,0-60 MPH S,fuelTankL,Boot L?,KERB WEIGHT KG,list_price_£?
22/07/2021,NA,COROLLA,hydrogen,manual,SUV,BLUE, awd ,sport,,Euro 6,a-city,hire,50,IN-WARRANTY,apac,"11,375",,"13,152",18837,"16,504",9524,"19,882",1798,NA,£6689
2023-05-31,honda,civic,-999,automatic,SALOON,White, Awd ,premium, ex-Lease ,EURO 6,missing,fleet,40, EXTENDED ,NaN,7127,18194,11280," 5,962",£17890,"16,938"," 3,083",13196," 2,586"," 6,766"
2021-07-27, Vw ,Golf,hybrid,Manual,NA,black,4wd,PERFORMANCE,used,NaN,e-Exec,DEMO, 44 ,in-warranty,us,,£11772,12045," 1,797",NaN,11760,NaN,"11,410",1241,14579
2022-01-25,bmw,320i,petrol,manual,saloon,red,,-999,Imported,euro 4,A-City,Hire, 25 , In-Warranty , mea ,£18230,NaN,13034,-999," 2,417",15603,"14,180",missing,-999,£634
10/09/2023,ford,,diesel, MANUAL , Coupe ,GREY,FWD,PERFORMANCE,used,EURO 6,e-exec,demo,8,IN-WARRANTY,UK,17827,£15399,7447,16097,4034,£8186,12933,£10898,2905,NA
2024-03-03,HONDA,COROLLA,PETROL,cvt,estate,black,-999,performance,NEW,EURO 4,b-supermini, PRIVATE ,30,in-Warranty,EU,£9301,12174," 8,581",16985,5079,NA,8391,18711,£3606,18186
2022-09-24,NaN,s60, electric ,Automatic,COUPE,white,missing,Sport,imported,euro5,d-mid-size,private,27,In-Warranty,uk,£14794,12229,£15490,13922,NaN,£6747," 8,442","13,745",2707," 3,700"
2023-11-17,,focus,PETROL,NA,-999,WHITE,4WD, premium ,missing,Euro 6,c-compact,fleet,7,In-Warranty,uk,NA,5832,NA,13425,18284,12423,£3830,"17,494",NA,"14,486"
"Jul 07, 2024",Audi,GOLF,Electric,automatic,saloon,silver,awd,sport,used,NaN,a-city,hire, 37 ,Extended,mea,"19,669",6157,13808,13129,18533,"10,645",15708,19097,£16827,missing
2023-07-05,TESLA, 320i ,hydrogen,automatic,HATCHBACK,SILVER,4WD,premium, NEW ,euro 5,C-COMPACT,hire,44,EXTENDED,NaN,12378,18468,160,"12,665",NA,3180,10256,11637,-999,£19196
2021-02-27,BMW,s60,hybrid, Automatic ,NA,grey,awd,performance,ex-Lease,Euro 5,E-EXEC,fleet,24,Extended,MEA,£16234,14115,£16259,9310,£15,17337,200,"10,154",-999,17374
2024-08-13,Toyota,Golf,diesel, cvt ,Saloon,Red,-999,premium,used,ulez,D-MID-SIZE,private,33,EXTENDED,UK,4015,NA,NaN,13546,8906,10797,15823,£11972,6956,16439
2022-04-27,bmw,model 3,Petrol,manual,suv,silver,4WD,sport,USED,Euro 6,B-SUPERMINI,FLEET,1,Out-Of-Warranty,eu,£891,£14162,18663,93,11589,9501,NA,"18,842",14536,2678
23/08/2023,TESLA,s60,ELECTRIC,cvt,coupe,grey,awd,Premium,imported,euro_5,b-supermini,private,48,out-of-warranty,uk,15965,19532,6302,£15461,15463,NA,2059,£18998,"15,985",NaN
NaN,missing,A4,ELECTRIC,manual, hatchback ,-999,4wd,premium,ex-lease,euro_4,d-Mid-Size,FLEET,18,out-of-warranty,APAC,12823,5987,1919,-999,3257,16125,-999,£18359,5126,£1767
"Dec 12, 2024",VW,model 3,DIESEL,MANUAL,saloon,Red,fwd,SPORT,ex-lease,ULEZ,missing,-999,13,missing,eu,13896,16584,4130,18675,17120,13317,missing,5259,15521,12945
2024-12-01, volvo ,a4,-999,CVT,HATCHBACK,grey,fwd,premium,missing,Euro 6,a-city,Private,45,in-warranty,mea,NaN,£7336,18569," 6,018",7171,£18351,16179,12436,2291,7382
2023-08-05,AUDI,focus,DIESEL,Manual,estate,SILVER,AWD,luxury,NEW,ulez,b-supermini,private,4,IN-WARRANTY,eu,19058,3459,£18328,7387,missing,£5919,1591,-999,12355,5983
NaN,volvo,missing,electric,manual,HATCHBACK,Grey,4wd,sport,imported,EURO 6,d-mid-size,fleet,50,out-of-warranty,eu,99,5499," 9,510",114,"11,589",4690," 2,779",12514,1685,£19199
31/10/2024,VOLVO,320i,diesel,dual-clutch,suv,RED,RWD,base,used,EURO 4,E-EXEC,missing,22,In-Warranty,APAC,£18168,13016,349,7659,£14835,missing,16576,7679,£17238,14740
2021-11-03,Toyota, Focus ,PETROL,manual,Hatchback,white,4wd,luxury,USED,euro4,B-Supermini,hire,21,extended,mea,4006," 4,941","12,685",,17112,17517,£12665,-999,£454,9064
15/02/2023,Toyota,Golf,diesel,Manual,Suv,Silver,fwd,BASE, new ,,C-Compact,fleet,42,in-warranty,eu,missing,15890,18153,5439,"12,929"," 4,762"," 1,804",£7754,13089,5286
2021-10-08,bmw,golf,DIESEL,Manual, estate ,White,,performance,-999,EURO 4,C-Compact,fleet, 38 ,extended,eu,8810,£11566,NaN,"10,380",14947,,14168,£1047,18319," 3,776"
09/08/2021,honda,NA,Hybrid,MANUAL,saloon,silver,missing,base,missing,euro_5,E-EXEC,PRIVATE,43,IN-WARRANTY,uk,NaN,£9923,6238,9391,£18223,£16167,16701,,£11069,1088
2023-09-16,Vw,s60,electric,Automatic,saloon,NaN,awd,BASE,ex-Lease,Ulez,D-Mid-Size,demo, 1 ,NA,-999,NA,14912,15933,5002,£9779,17827,17052,7649," 9,297",NA
26/05/2021,BMW, Model 3 ,electric,NaN,coupe,NA,missing,Luxury,Imported,Euro 6,E-Exec,DEMO,20,extended,us,5448,4756,2672," 6,823",16290,£695,16106,missing,14595,18620
2024-12-03,TOYOTA,civic,hybrid,Dual-Clutch,ESTATE,Black,Rwd,Base,imported,euro_4,,Demo,4,in-warranty,US," 7,611",19729,," 4,425"," 7,330",NA,6513,17895,£700,£7021
,NaN,NaN,Electric, MANUAL ,Coupe,blue,rwd,sport,NaN,ulez,E-Exec,Fleet,21,EXTENDED,missing,17132,3491,4608,2947,15626,13368,18069,14075,£8179,-999
23/07/2024,Tesla, A4 ,hybrid,automatic, coupe ,NA,Awd,performance,ex-lease, Euro 5 ,d-mid-size,NA,32,extended,apac,17148,£12181,16862,"14,634"," 1,703",£3088,£14738,,4348,NaN
2022-10-15,VOLVO, focus ,electric,DUAL-CLUTCH,Estate,,4wd,premium,New, Ulez ,d-mid-size,demo,34,in-warranty,Us,-999,19490,5009,£8226,NaN,4738,16817,8246,NaN,-999
2022-09-13,NaN,a4, petrol ,manual,Saloon,Red,awd,luxury,imported, euro 6 ,NaN,Demo,30,extended,Mea,,7744,£14100,13920,14705,NaN,2583,1259,12429,
2024-02-06,bmw,S60,diesel,dual-clutch,hatchback,white,missing,premium,imported,ULEZ,B-SUPERMINI,DEMO,-999,EXTENDED,apac," 7,829","18,471",541,£2273,£15810,   529,9095,NaN,"11,216",£3395
24/02/2024, VW ,NaN,petrol,NaN,coupe,BLUE,4wd,Premium,new,euro6,a-city,fleet,39,in-Warranty,US,18833,17374,-999,1036," 8,686",8365,£14062,12468,6757,1521
2021-08-06,vw,NaN,petrol,missing,saloon,Silver, rwd ,luxury,NEW,EURO 5,NA,demo, 49 , extended ,us,5537,10039," 1,081",17043,,2077,   444,3185,403,missing
26/02/2024,NaN,GOLF,diesel,Automatic,hatchback,blue,rwd,premium,new,euro5,D-Mid-Size,private,29,extended,apac,missing,19407,16014,7156,6044,14803,1298,14745,8198,£6837
"Oct 11, 2024",vw,s60,PETROL,manual, Suv ,white, AWD ,LUXURY,new,NaN,d-Mid-Size, private ,37,missing,APAC,2526,£2057,NA,816,5822,1409,NA,missing," 3,670",3599
13/07/2024, FORD ,s60,petrol,Manual,saloon,white,-999,missing,USED,euro 6, c-compact ,fleet,30,Out-Of-Warranty,mea,NA,-999,17884,6801,NA," 4,927","19,821","10,157",10791,£16731
30/07/2024,Tesla,model 3,NA,Automatic,coupe,red,rwd,premium,ex-Lease,ulez,a-city,DEMO,50,in-warranty,apac,10563,£7782,£2305,16558,13977,missing,"16,067",5704,5134,6845
"Oct 12, 2023", volvo ,civic,diesel,-999,Estate,GREY,4wd,sport,new,euro5,A-CITY,fleet,1,, Us ,3281,missing,,2584,missing,3005,19792,£16152,17945,8332
24/05/2022,NA,NaN,Hydrogen,Automatic,missing,NaN,FWD,luxury,imported,NA,c-compact,demo,-999,In-Warranty,,,407,6251,5684,2992,19409,5916,9768,1151,16960
"Apr 27, 2024",honda,Golf,Electric, cvt ,suv,black,Awd,performance,New,euro4,e-exec,-999,34, extended ,eu,680," 4,605",18488,15817,-999,13434,£6938,9754,,"12,402"
2023-07-24,tesla,model3,HYBRID,CVT,SUV, silver ,awd,sport,Ex-Lease,Euro 5,b-supermini,Private,43,OUT-OF-WARRANTY,Mea,£12088,3848,,6729,£1807,12030,12505,£11846,11502,1854
14/12/2024,vw,a4,Hybrid,manual,hatchback,NA,FWD,base,ex-lease,NaN,A-CITY,hire,3, extended ,Eu," 7,476",£13424,£14946,11816,missing,£13805,6983,8201,NA,18653
02/01/2022,Audi,missing,hybrid,AUTOMATIC,coupe,GREY,awd,NaN,NEW,euro 5,c-Compact,hire,47,OUT-OF-WARRANTY,Eu,7760,,NaN," 9,601",missing,17395,4090,"10,489",missing,9801
14/04/2023,NA,focus,diesel,AUTOMATIC,-999,white,awd,Performance,new,Ulez, D-MID-SIZE ,FLEET,13,extended,eu,,7678,£12199,10006,6160,£13246,8262,16019,11842," 2,276"
"Feb 05, 2022",Toyota,-999,hybrid, MANUAL ,NaN,red,4WD,Premium,-999,-999,c-compact,demo,1,NaN,apac," 3,613",15937," 5,077",NA,10613,1360,£148,1243,678,7264
"Apr 03, 2023",tesla,Focus,missing,DUAL-CLUTCH,hatchback,red,fwd,premium, imported ,,c-compact,NaN,28,out-Of-Warranty,-999,,12790,£1169,6782,£11040,£19060,17945,17821,,16377
21/11/2021,toyota,golf, hydrogen ,manual,saloon,blue,fwd,base, new ,euro4,b-Supermini, DEMO ,27, Out-Of-Warranty ,Uk,16204,-999,11153,69," 6,297",12495,£17402,"10,495",4137,16694
2022-06-14, HONDA ,S60,-999,cvt,COUPE,black,fwd,base,ex-lease,missing,E-EXEC,Fleet,36,out-of-warranty,us,12186,14183,12335,2087,12637,17682,£5163,£13949,NaN,NA
2024-03-26,Bmw,Corolla,hydrogen,dual-Clutch,SUV,RED,4wd,premium,used,ULEZ,d-mid-size,DEMO,8,EXTENDED,us,8593,326,1727,16834,5228," 8,730","14,875",£13455,£836,£2738
03/10/2021,toyota,missing,diesel,manual,suv,blue,Rwd, base ,imported,euro_5,C-Compact,hire,15,Out-Of-Warranty,eu,£3337,15186,4730,£3902,416,337,10848,£8114," 4,739",11671
26/02/2024,volvo, model 3 ,Hybrid,cvt,Estate,silver,FWD,premium,ex-lease,EURO 6,a-city,demo,43,Extended,MEA,"18,049",12221,£3407,NA,7302,missing,14710," 5,575",3836,14937
"Jan 29, 2022",tesla,NA,petrol,DUAL-CLUTCH,estate,red,awd,base,imported,euro4,A-CITY,hire,26,out-of-warranty,Eu," 7,206",19427,NaN,"14,151",840,5905,11301,18920,£4274,434
2024-02-27, volvo , Corolla ,HYBRID,Cvt,suv,NaN,,performance,used, euro 4 ,b-supermini,FLEET, 37 ,extended,apac,NaN,17177,"11,073",£17735," 2,099",£19993,£518,NA,£4592,NaN
"Jan 22, 2023",Honda,320I,diesel,manual,NA,red,4wd,sport,ex-lease,NaN,C-Compact,FLEET,NA,in-warranty,NaN,4275,12364,"17,585",3045,"19,058",17649,2706,18395,18741,4761
2023-01-20,FORD,GOLF,HYDROGEN,manual,missing, white ,4wd,SPORT,imported,euro_6,B-Supermini,hire,24,IN-WARRANTY,apac,   439,"19,205",1511,12255,NA,£12263,14726,£6682,,13744
2021-11-04,VOLVO,Focus,electric,AUTOMATIC,SUV,grey,fwd,Base,used,EURO 4,e-Exec,demo,8,EXTENDED,us,9340,£1266,7872," 5,019",£7553,"15,997",12738,16500,8035,16322
10/11/2022,NaN,S60,Hydrogen, DUAL-CLUTCH ,NaN, blue ,awd, premium ,new,euro 6,e-exec,private,8,Extended,EU,NA,17798,7599,NaN,18158,7663,£17857,14589,2891,-999
-999,bmw,civic, hydrogen ,cvt,-999,red,RWD,BASE,NEW,euro6,e-exec,private,27,out-of-warranty,us,19143,2197,£9019,-999," 9,434",-999,13680,,-999,missing
"May 06, 2022",missing,NA,NA,manual,Estate,WHITE,awd,premium,imported,ulez,NA,hire,16,extended,eu,13638,5157,7245,£16585,£6861,7086,8484,NaN,"11,655"," 5,681"
2022-01-26,TESLA,a4,petrol, manual ,saloon, Black ,Rwd,sport,,euro5,c-compact,Fleet, 44 ,Extended,MEA,4061,16020,7004,£14261," 4,780"," 3,649",1790," 5,934","19,986",NaN
2022-05-09,audi,a4,petrol,AUTOMATIC,coupe,blue,RWD,base,imported, ulez ,E-Exec,hire,8, IN-WARRANTY ,apac,£3374,8170,8325,"14,858",13205,7394,8962,NA,17487,3827
2022-11-11,volvo,Model 3,diesel,automatic,NaN,Red,Fwd, SPORT ,imported, euro6 ,missing,NaN,4,in-Warranty,us," 1,986",7510,£5587,10244,6241,"18,022",4991,19950,£15810,£3438
2022-10-08,,MODEL 3,electric,manual,coupe,SILVER,awd, SPORT , ex-Lease ,euro 4, b-supermini ,HIRE,25,Out-Of-Warranty,US,504,-999,18813,,missing,2376,4333,"18,571",NaN,£3031
13/03/2024,bmw,320i,hybrid, Cvt ,saloon,Black,missing,luxury,used, EURO 6 ,b-Supermini,NaN,41,EXTENDED,Apac,£4667,£17225,£165,11250,4741,"10,002",3872,15050,NA,8144
"Sep 11, 2023",toyota,model_3,hydrogen,dual-Clutch,HATCHBACK,black,,luxury,Imported,NaN,C-Compact,DEMO,39,in-Warranty,eu,4797,£17520,£8305,"13,975",2167,," 9,630",£9769,1550,6029
19/11/2022,BMW,golf, petrol ,automatic,coupe,silver,NA,LUXURY,used,euro 5, C-COMPACT , FLEET ,3,Extended,NA,19374,17290,10514,"14,175",14324,£1908,-999,£10981," 7,820",18499
"Dec 11, 2022",bmw,S60,electric, DUAL-CLUTCH ,SUV,WHITE,Rwd,Base,ex-lease,EURO 5,e-Exec,Fleet,38,extended,Apac,"16,895",16407,2454,5621,4345,13435," 8,614",10601,,3312
13/01/2022,honda,Model 3,hydrogen,missing,Estate,blue,fwd,sport,ex-Lease,EURO 4,B-SUPERMINI,DEMO,30,Extended,EU,14490,£3814," 7,451",-999,11262," 9,282","15,669","11,717",18824,£9673
22/06/2023,honda,FOCUS,Diesel,manual,estate,black, FWD ,sport, new ,euro 5,e-exec,NaN,35,extended,Uk,11105,NA,1055,11813,10717," 7,292","19,247",£4123,10728,-999
19/01/2021,honda,,NA,Automatic,coupe,Silver, Fwd ,premium,ex-Lease,euro 4,e-exec,Demo, 6 ,In-Warranty,uk,£16645,£7561,£6950,2298,19947,"11,512",1539,8681,5842," 9,191"
18/04/2023,honda,golf,hydrogen,,COUPE,black, Fwd , Base ,New,euro_4,C-Compact, PRIVATE ,36,Out-Of-Warranty,Uk,11573,£12497,£15606,14153,NA,"18,240",NaN,4237,£7050,10220
19/04/2024,FORD,FOCUS,NaN,Cvt,saloon,blue,rwd, luxury ,Imported,ULEZ,D-MID-SIZE,private,28,out-Of-Warranty, US ,£18547,10286,-999,10507,1170,12159,12762,2872,4099,11886
2021-08-15,toyota,A4,petrol,MANUAL,SALOON, silver ,fwd,performance,ex-lease,euro_4,E-Exec,fleet,6, in-warranty ,NaN,£357,5444,9954,-999,9844,12848,10115,2103,18561,14986
03/10/2022,bmw,a4,HYDROGEN,Cvt,Estate,grey,awd,luxury,Used,ulez,A-City, hire ,43, Out-Of-Warranty ,eu,"19,502",16743,3378,2395,8856,£4582,11454,£15537,12491,2299
NA,Toyota,civic,Electric,CVT,hatchback,Red,rwd, sport ,imported,euro6,d-mid-size,fleet,43,out-of-warranty,," 2,284",16073,17843,NaN,"15,303",2269,15630,NaN,13187,13800
2023-09-01,Volvo,s60,hybrid, Dual-Clutch ,estate,red,rwd,Premium,IMPORTED,euro_4,b-Supermini,hire,28,Extended,mea,£3365,5233,"18,057",14347,16434,10473," 7,145",2104,-999,8678
2023-07-22,vw,focus,hybrid,Dual-Clutch,HATCHBACK,white, rwd ,,used,euro5,C-Compact,private,20, out-of-warranty ,Uk,12376,£15666,2451,NA,£4689,£2569,£13814,4620,4609,£19670
2023-11-09,volvo, model 3 ,NA,dual-clutch,NaN,Blue,4WD,base,NEW,Ulez,d-mid-size,private,32, Out-Of-Warranty ,UK,17824,8216,14373,"18,684",13576,,£13338,£1633,4867,11447
2021-09-15,AUDI,MODEL 3,hydrogen,cvt,suv,red,rwd,premium,imported,euro5,-999,,40,out-of-warranty,apac,£12766,5005,missing," 3,702",12192,£8864,£18708," 5,661",153,"16,406"
2024-07-02,-999,focus,ELECTRIC,AUTOMATIC,suv,silver,4wd,Performance,Ex-Lease,ULEZ,NaN,fleet,2,in-warranty,Us," 6,493",6329,NaN,"16,617",7710,9553,17991,8533,missing,NaN
2023-01-03,toyota,Model 3,Diesel,Cvt,estate,grey,Awd,NaN,new,ulez,C-Compact,private,46,missing,us,16040,18749,11289,10132," 4,476",15345,4339,7554,"18,759",8506
22/08/2022,toyota,S60,HYDROGEN,dual-Clutch,Saloon,blue,fwd,base,-999,NaN,b-supermini,hire,27,In-Warranty,uk,2735,£3801,1870,463,15825,14131,1036,14708,180,£5557
"Oct 11, 2023",ford,corolla,petrol,-999,ESTATE, Blue ,NA, base ,ex-lease,euro5,B-Supermini, Demo ,43,NA,uk,13919," 7,106"," 2,606",-999,£18879,11624,14638,   842,9184,11605
19/02/2024, vw ,,hydrogen,cvt,estate,missing,4wd,SPORT,NaN,Euro 6, d-Mid-Size ,fleet,23,out-Of-Warranty,apac,19658," 4,610",10009,£19808,10188,19465,"13,413",6642,1468,£15732
05/05/2022,ford,Corolla,diesel,automatic,SALOON,RED, FWD ,performance,New, euro 4 ,B-Supermini,hire,14,-999,Apac,£16637,3643,14820,8079,8133," 7,247",1074,£18406,7651,12700
07/10/2022,BMW,focus,-999, automatic ,NaN,red,4wd, premium , Ex-Lease ,Euro 5,e-exec,HIRE,31,IN-WARRANTY,APAC,15878,missing,13411,2789,-999,"17,315",9453,3242,9169," 6,069"
2024-01-19,honda,focus,hydrogen,manual,hatchback, RED , rwd ,premium,imported,Euro 6,c-Compact,NA,44,extended,US,£10862,15593,-999,8216,"12,280",NaN,"15,647",8428,£4293,15295
2021-08-30,TOYOTA,A4,Electric,cvt,suv,WHITE,4wd,performance,USED,euro_5,b-supermini,fleet,7,out-of-warranty,UK,£17896,,NaN,1017,15460,2229,8074,18212,5462,£3608
2024-10-23,Bmw,model 3,Electric,AUTOMATIC,suv,BLUE,AWD,luxury,new,euro 6, B-SUPERMINI ,missing,48,out-Of-Warranty,eu,£3576,4785,9887,15774,   978,£4061,13389,£16666,NA,311
2024-02-08,bmw,golf,hydrogen,manual,Coupe,silver,4wd,LUXURY, IMPORTED ,euro 6, D-MID-SIZE ,DEMO,5,in-warranty,MEA,"12,145",£5690," 6,736",8040,6053,missing,-999,NA,£7180,£19263
2021-06-22,bmw,320i,hydrogen,automatic,suv,black,NaN, base ,Used,euro 6,E-EXEC,fleet,5, IN-WARRANTY ,Eu,19548,5870,-999,12463,2796,7136,19066,10093,5236,3646
05/12/2023, ford ,golf,Diesel,cvt,coupe,NaN, Fwd ,Luxury,imported,euro5,-999,PRIVATE,28,NA,apac,4292,-999,"19,300",£10500,NaN,"18,578",5071,"14,661",4550,NA
2022-11-06,VOLVO,S60,petrol,cvt, SUV ,BLUE,awd,performance,missing, euro 5 ,c-Compact,fleet,33,extended,us,15511,2858,11586,12684,12098,NaN," 4,815",15713,9326,11606
2023-11-24,-999,model3,HYBRID,dual-clutch,saloon,NaN,AWD,performance,used,Euro 6,D-Mid-Size,Private,missing,in-warranty,Uk," 9,477",3452,7593,10224,9984,NA,5808,£179,2077,14532
01/02/2024,NA,Golf,ELECTRIC,Cvt,Suv,silver,Rwd,PREMIUM,ex-lease,euro4,b-supermini,private,5,NA,mea,£18259,   166,17069,NaN,10986,7489,"17,602","19,785",12802,12183
26/05/2021,FORD,corolla,hybrid,dual-clutch,NaN,WHITE,NA,base,New,Euro 6,a-city,NaN,31,In-Warranty,mea,"18,593",NaN,19316,-999,£7940,1127,NA,6692,13505,2296
08/07/2021, Honda ,320I,petrol,dual-clutch,suv,-999,rwd,sport,,-999,e-exec,Hire,6,in-warranty, apac ,£6177,,-999,   837,£1746,4221,"10,042",4964,3072,2674
2022-06-07, ford ,golf,,cvt,ESTATE,red,awd,sport,Imported,ulez,e-Exec,Private,48,Extended,Mea,894,12756,NaN,4640,missing,3662," 6,856","14,170",6008,16273
12/07/2021,tesla,a4,hydrogen,automatic,coupe,GREY,Rwd,PERFORMANCE,imported,ulez,e-exec,fleet,31,Out-Of-Warranty,eu,3179,missing,14811,£13354,-999,10811,£18527,18847,3881,7663
08/11/2023,Vw,FOCUS, ELECTRIC ,AUTOMATIC,coupe,BLACK,fwd, Premium ,new,Euro 4,D-MID-SIZE,NA, 25 ,NaN,Uk," 5,815",£18334,12589,10394,11878,19,,"17,131",2170,9096
28/12/2023,bmw, model 3 ,hybrid,Cvt,Saloon,GREY,4wd,premium,used,euro_4,e-Exec,private,5,out-of-warranty,uk,17718,16562," 3,916",11632,13913,17368,missing,6150,14971,£6006
"Aug 21, 2021",Honda,Corolla,ELECTRIC,manual,coupe, silver , 4wd ,base,new,EURO 5, b-Supermini ,private,35,Extended,UK,565,"18,815",£11193,NA,14512,£9661,missing," 6,316",£19650,5682
2021-05-03,tesla,,Hydrogen,CVT,estate,NaN,fwd,BASE,imported,euro6,c-compact,hire,45,OUT-OF-WARRANTY,-999,NaN,168,657,10113,£10698,"15,700",14559,NaN,193,8112
21/11/2023,toyota,-999,PETROL,dual-Clutch,coupe,blue,Rwd,PREMIUM,NEW,euro 6,b-supermini,missing,15,NaN,mea," 8,220",£308,£16879,-999,NA,"12,362",19983,1146,10970,7956
2023-09-21,Audi,COROLLA,,Manual,suv,blue,Fwd,,New, ulez ,b-supermini,hire,33,IN-WARRANTY,UK,"12,335",17152,7747,NaN,NaN,12487,"12,551"," 1,177",-999,1516
24/03/2024,volvo,corolla,hybrid,Automatic,Estate,red, 4WD ,PERFORMANCE,new,euro_4,NA,private,19,Out-Of-Warranty,Us,NA,14095,2153,£13067,11913,£13978,17533,16609,-999,missing
09/05/2024,audi,320i,hydrogen,Automatic,,blue,fwd,base,ex-lease,EURO 4,b-Supermini, demo ,40,EXTENDED,uk,14731,,-999,1466,,£18852,-999,5311,£3081,343
12/10/2024,Tesla,CIVIC,petrol,dual-clutch,SUV, Silver ,4wd,performance,imported,euro 4,C-Compact,Private,35,extended,apac,NaN,3582,11671,10080,11381,£12958,19208,"10,935",,4837
24/10/2023,volvo,missing,diesel,automatic, saloon ,Grey,Rwd,luxury,ex-Lease,EURO 4,a-city,FLEET,46, in-warranty ,-999,12745,14391,£2328,1676,missing,£44,-999,8005,5403,14554
2023-11-28,NA,model 3,ELECTRIC,automatic,missing,NaN,awd,performance,used,euro_4,,private,3,EXTENDED,uk,,"15,910",£6235,NA,8071,-999," 3,693",11798,£14204,13575
missing,NA,golf,diesel,Cvt, Estate , black ,Awd,performance,used,ulez,b-Supermini,private,48,extended,Uk,2319,1920,,17215,4436,NA,,"14,824",£12045,18573
09/01/2022,toyota,-999,HYDROGEN,manual,estate, black ,FWD,performance,ex-lease,EURO 5,d-mid-size,private,42,out-of-warranty,us,2038,£14950,16515,13979,£6726,missing,£19831,11948,£9180,6437
03/08/2024,volvo,Civic,electric,NA,SUV,black,Awd,BASE,ex-lease,euro 6,d-Mid-Size,missing,4,OUT-OF-WARRANTY,Us,£9044,£12963,NA,"15,366",missing,9635,15870,missing,17915,8608
24/08/2021,AUDI,a4,missing,AUTOMATIC,hatchback,WHITE,AWD,Luxury, Imported ,ulez,b-supermini,private,25,extended,uk,8688,"18,836",4956,2253,£15094," 2,512",1295,11650,16485,4608
