DATE, transport mode , purpose , Class ,TICKET TYPE,bookingChannel,airline/Carrier,loyaltyTier, seat_preference ,accom_type,continent,Visa Required,Season,travel insurance,currency,Duration Band,distance_km,co₂_kg, trip cost £ ,DAYS AWAY, stops ,Layover H,bags,Delay Min,travel_speed_km/h,LOYALTY POINTS
05/05/2024,TRAIN,STUDY,premium,open,walk-In,Emirates,bronze,Window,Hostel,oceania,YES,high,Basic,NA,1-2w,NaN,15216,19626,,£3745,," 8,673",3736,£12989,10988
,,Study,business,return,online,ba,bronze,Window,airbnb,europe,no,shoulder,none,eur,3-7d,9889,16014,NA,10572,18827,1195,15693,"16,426",17955,"18,350"
26/02/2021,bus,event,premium,one-Way,APP,emirates, platinum ,middle,Hostel,n. america,yes,high,none,jpy,1-2w,10892,10935,16900,16681,£2781,missing," 2,812",£12226,5778,18497
27/06/2021,plane,event,-999,Open,App,missing, bronze ,,NA, asia , no ,shoulder,none,Jpy,<3D,"15,609",7623,4128,£3794,6770,5300,15743,8277,19342,1486
2021-07-07,Boat,business,Premium,open,app,-999, BRONZE , window ,hotel,OCEANIA,Yes,low,BASIC,,<3d,£17280,6174,9433," 4,217",9535,-999,"11,473",6063,157,£13169
27/11/2021,train,Study,FIRST,-999,Walk-In,Emirates,gold,aisle,Couchsurf,ASIA,No,NA,NONE,GBP,>1m,19075,-999,12777,13748,12335,£4398,NaN,17798,6868,5739
"Oct 26, 2024",Car,holiday,ECONOMY,OPEN,WALK-IN,Emirates,Gold,Window,Hotel,n.America,No,Low,Basic,Jpy,1-2w,£19243,10474,5731,16358,15934,12141,10859,7844,9487,missing
2021-03-19,Bike,holiday,economy,NA,WALK-IN,lufthansa,silver,middle,AIRBNB, africa ,no,low, none ,aud,>1m,19936,"11,332",£12110,-999,£17282,"17,943",2637,13147,17793,£15407
23/06/2021,-999, business ,First,open,Walk-In,BA,gold,MIDDLE,HOTEL,n._america,NO,high,comprehensive,NaN,<3D,"16,531",3624,19918,,470,£4874,£18862,-999,115,9616
30/07/2021,missing,BACKPACKING,business,Return,app,BA,Gold,BULKHEAD,resort,africa,yes,low,Basic,Jpy,2-4w,7143,"15,134",NA,"15,505",6979,16813,15894,10060,12313,12512
29/08/2023,TRAIN,backpacking,Economy,one-way, agent ,BA,,WINDOW,AIRBNB,s. america,no,NaN,basic,Eur,2-4w,£2276,6072,8072,£5011,8194,£14597,8785,NA,"16,270",£11437
23/12/2023,TRAIN,Study,first,RETURN,walk-In,ba,PLATINUM,middle,AIRBNB,EUROPE,no,low,,Eur,3-7d,14664,"19,010",NaN,7601,£19923,7569,16722,18578,£7212,16534
13/09/2024,bike,,first,Return,Agent,EMIRATES,bronze,aisle,Couchsurf,s. america,,high, None ,gbp,3-7d,8428,NaN,11532,£7348,£12433,6689,£16366,6183,"10,173"," 1,546"
04/02/2021,plane,backpacking,premium,open,ONLINE,qatar, bronze ,bulkhead, airbnb ,n._america,Yes,Shoulder,Basic,usd,1-2w,15598,1461,£8624,3514,5046,1882,8497," 2,469",missing,4029
28/03/2021,-999,missing,economy,one-Way,App,EASYJET,bronze,aisle,hotel,S. AMERICA,No,low,None,Eur,<3d," 1,616",£4420,NaN,£15817,9925,£15107," 1,262",14145,9293,£13609
"Jun 13, 2023",train,Event,FIRST,ONE-WAY,AGENT,emirates,-999,bulkhead,couchsurf,asia,no,high,basic,aud,2-4w,"11,936",8807,277,1285,18434,12815,"13,997"," 5,048",10107," 4,436"
-999, BIKE ,holiday,premium,open,app, lufthansa ,PLATINUM,Window,missing,s._america,no,shoulder,none,gbp,1-2w,missing,£11891,11118,10802,£9240,12841,£5001," 7,473",8378,£11131
2024-08-22,train,holiday, business ,return,online,,silver,middle,Hostel,s. america,NaN,Low, Comprehensive ,NA,<3d,13405,3085,NA,15319,18887,14505,£2431,"18,017",missing,"19,492"
03/10/2022,bike,missing,first,Return,app,ba,gold,Window,hostel,asia,no,shoulder,comprehensive,jpy,2-4W,£7581,15157,18111,5064,6298,4073,12721,12680,£15556,6959
27/01/2021,car,Holiday,business,OPEN,agent,emirates,bronze,missing,hostel,AFRICA,yes,shoulder,none,jpy,<3d,NA,NA,NaN,5219,19101,10066,missing,13557,"12,072",-999
05/09/2023,boat,relocation, first ,RETURN,App,QATAR,GOLD,middle,hotel,S. America,no,Shoulder,None, Eur ,NaN,10789,£18239," 3,594"," 1,409",2323,3219,"19,439",£13393,NaN,12842
04/09/2022,train,NaN,PREMIUM,open,agent,easyjet,silver,NaN,Airbnb,AFRICA,-999,missing, None ,eur,2-4w,£14514,£11466,£7075,"16,374",£11313,   131,3799,4824,4347,6171
2024-06-28,Plane,Backpacking, business ,One-Way,app,missing,gold,Aisle,NA,n._america, Yes ,high,None,gbp,2-4W,7830," 7,094",17121,14921," 4,144",    37,-999,£4988,NA,9944
29/06/2022,bus,BACKPACKING,business,open,walk-In,qatar,NaN,Bulkhead,hostel,asia,yes,Shoulder,None,JPY,>1m,"19,157",14650,-999,3263,,£12820,"12,495",15162,"17,494",4615
31/12/2022,bus, STUDY ,premium,,online,lufthansa,gold,window,hotel,europe,yes,high, comprehensive ,gbp,>1m," 1,421",16901,15977,14043,3760,15922,"19,479",-999,missing,18647
2024-04-15,car,business,business,return,app,lufthansa,-999,window,missing,OCEANIA,NO,Shoulder,none,jpy, >1m ,15476,£12406,NaN,15898,14849,12972,4245,565,2323,154
2023-11-21,car,,business,RETURN,agent,-999,gold, Window ,hostel,n._america,no,shoulder,none,Usd,missing,5067,,,"12,514",9000,£13557,3512," 4,633","14,112",£10506
2021-09-05,boat,business,business,One-Way,,easyjet,PLATINUM, middle ,Resort,europe,YES,SHOULDER,NONE,usd,2-4w,10152,2624," 4,573",13916,1218,-999,"17,227","18,219",19709,£12576
missing,bike,holiday,premium,Open,online,ba, platinum ,window,NaN,-999,no, high ,none,GBP,2-4w,12419,9468,16174,£14284,NA,£12508," 1,565","11,052",-999,£4488
2024-05-03,Bike,relocation,NA,return,NA,qatar,NA,bulkhead,hostel, n._america ,yes,shoulder,Basic,eur,3-7d,16848,9237,£12766,£19029,2493,5380,6137,13162,3400,17594
,plane, study ,first,OPEN,walk-in,Easyjet,gold, middle ,couchsurf,Europe,no,high,none,Jpy,3-7d,18145,9334,14246,-999,NA,4850,13593," 8,074",£11168,8313
2022-05-25,Train,Backpacking,NaN,RETURN,APP,NaN,Bronze,MIDDLE,hostel,oceania,NO,high,COMPREHENSIVE,NA,2-4W,£14100,18649,11472,8681,9542,4223,£9158,9066,NaN,13232
NaN,bike,event,economy, open ,App,lufthansa,-999,NaN,couchsurf,Oceania,yes,SHOULDER,BASIC,EUR,1-2w,"12,175",£6263,18273,£6834," 6,952",4851,8816,,6672,7138
02/12/2024,bus,NaN,business,RETURN,-999,lufthansa,Bronze,aisle,couchsurf,S. AMERICA, no , high ,comprehensive,Usd,1-2w,missing,12049,-999,missing,17012,15121,1681,17723,1314,£16102
24/05/2024,plane, Holiday ,Business, one-way ,walk-In,Qatar,SILVER,Middle,hostel,s. america,,HIGH, basic ,gbp,>1m,NA,11229,£6022,18244,10581,14501,9962,17991,13065,9197
,plane,BACKPACKING,PREMIUM,return,online,NaN,bronze,window, RESORT ,oceania,Yes,high,,NA,<3d,14997,1838,£15833,18188,£11031,NA,8435,3164,14912,14951
2021-01-29,BOAT,relocation, Business , return ,NA,ba,silver,,hotel,Europe,yes,high,NA,gbp,<3d,18515,"16,123",11444," 8,073",£18412," 4,637","13,358",1110,8666,6546
08/04/2023,Bike,study, Economy ,missing,WALK-IN,Lufthansa,GOLD,AISLE,HOTEL,s. america,yes,high,None,usd,3-7d,£16449,"15,074",10051,8715,133,"15,458",7271,19498,16934,14396
29/12/2022,Train,Study,premium,RETURN,AGENT,ba,missing,WINDOW,airbnb,Africa,no,low,None, usd ,>1m,16499,"10,836",   505,599," 8,010",£6125,4127,"14,432",1763," 3,780"
02/07/2022,BUS,event,premium,ONE-WAY,app,ba,platinum,AISLE,RESORT,S. AMERICA,NO,high,comprehensive,eur,3-7d,18392,   120,"10,757","16,505",£16902,£10536," 3,016",NaN,8111,"13,916"
12/08/2021,Plane,Business,first,open,NaN,Emirates,silver,middle,Hostel,asia, no , low ,none,Gbp,1-2w,"16,771",NaN,5218,153," 3,625",£6576,NaN,£13098,£10670,missing
,PLANE,BUSINESS,first,missing,App,QATAR,silver,missing,hotel,N. AMERICA,YES,shoulder,none,eur,3-7D,£10251,missing,£974,11729,"13,498",£7328,19402,18679,5072,NA
2022-08-22,car,study,Economy,RETURN, Walk-In ,EMIRATES,PLATINUM,bulkhead,couchsurf,s. america,NA,low,none, jpy ,2-4w,13720,10401,3083,4889,NA,6624,9388,£13577,missing,15946
"Jul 09, 2024",Boat, backpacking ,economy,-999,agent,EMIRATES,gold,Middle,RESORT,NaN,Yes,shoulder,NA,eur,>1m,NaN,3600,11026,8088,£514,£14934,£3177,,16266,£6133
2023-06-02,train, backpacking ,business,NaN,walk-in,Lufthansa,bronze,NA,Airbnb,n._america,-999,low,COMPREHENSIVE,Eur,2-4w,"13,829","12,952",11103," 9,731",13090,£1687,missing,£5353,"16,263",14119
13/09/2023,CAR,Holiday,first,open,Walk-In,Ba,silver,BULKHEAD,airbnb,Africa,missing,HIGH,Comprehensive,missing,3-7d,NaN,17499,7995,£15839,NaN,2567,10917,£12519," 2,905",£13222
2023-04-22,bike,HOLIDAY,Business, one-way ,app,missing,gold,aisle,hotel,s. america,YES,shoulder,BASIC,aud,>1m,£8042,18430,15292,£11542,9133,£4681,£5282,6332,9469,14034
2023-05-28,bike,Business,,return,AGENT,lufthansa,Bronze,window,HOSTEL, Europe ,yes,SHOULDER,BASIC,NA,NaN,7846,£19599,"15,935",£5377,4318,15547,£7474,,17637,£15999
NaN,bus,holiday,business,one-way,missing,EMIRATES,platinum, Middle ,hostel,n.America,no,shoulder,none,eur,2-4w,"10,241",16104,13792,1668,£7454,19529,5168," 8,781",10020,18833
15/08/2023,car,BACKPACKING,economy,return,agent,-999,Silver,Bulkhead,,Africa,no,low,COMPREHENSIVE,,-999,2929,£19216,17783,17309,-999,£8777,12737,37,"15,034",7650
27/04/2024,TRAIN,Holiday,Business,open,Online,easyjet,NA,bulkhead,airbnb,NaN,NO,low,Comprehensive, eur ,>1m,missing,5491,6523,£12150,1773,"11,090",4169,"15,488",17529,15354
2022-03-02, train ,EVENT, business ,one-Way,agent,ba,Bronze,Aisle, airbnb ,europe,no,high,none,NaN,<3d,17664,8754,"12,129",9510,18928,£10624,£3286,"10,813",£10498,9464
26/05/2023,car,NaN,economy,open,NaN,missing,-999,Aisle,AIRBNB,n. america,yes,SHOULDER,basic,aud,3-7D,10314,-999,17581,6896,13213,£13503,13863,NA,£19487,NA
2021-09-06,-999,relocation,FIRST,open,Walk-In,missing,gold,NaN,hotel, Oceania ,no,SHOULDER,missing,eur,>1M,10450,2896,13481,2619,£4898,17571,2442,"18,052",8037," 6,308"
2024-01-06, car ,Holiday,first,one-way,app,Easyjet,Platinum,MIDDLE,HOTEL,europe,No,low,BASIC,usd,3-7d,£17317,9438,,12318,NA,13174,"15,628",11532,13494,"17,294"
16/03/2023,Bus,relocation,Economy,, APP ,lufthansa,Platinum,BULKHEAD,hostel,-999,no,HIGH,Comprehensive, aud ,<3D,£3588,6418,16777,4142,11915,NA,13341,18044,1939,£242
18/10/2024,Boat,EVENT, Economy ,ONE-WAY,walk-in,qatar,bronze,aisle,couchsurf,ASIA,missing,Low,-999,usd,3-7D," 9,272",3136," 8,554",17349,11239,2968,"11,617",£8741," 7,967",£19944
13/08/2021,bus,Backpacking,Business,one-way,walk-In, lufthansa , Gold ,bulkhead,hostel,n._america,-999,high,BASIC,gbp,2-4w," 2,937",-999,18930,£17474,10990,15794,19111,NA,8798,"16,153"
29/03/2021, boat ,Backpacking,business,ONE-WAY,app,BA,bronze,MIDDLE,hotel,asia,yes,SHOULDER,COMPREHENSIVE,NA,<3d,981,18755,missing,12478,"16,349",£712,"12,307",£4696,£6976,7895
2023-07-23,,Event,ECONOMY,one-way,ONLINE,-999,gold,window,-999,africa,yes,shoulder,basic,AUD,3-7d,2878,13534,6535,£13650,15689,1577,5703,8804,8603,19806
2024-04-16,Bike,relocation,Business,one-Way,app,lufthansa,,Bulkhead,airbnb,AFRICA,YES,high,None, aud ,>1m,6321,16689," 5,924",13042,£17299,18133,NaN,missing,£16078,10953
2021-11-20,plane,missing,first,return,agent,Ba,gold,Bulkhead,RESORT,asia,no,shoulder,NONE, Aud ,missing,NA,19275,£5422,-999,£14922,619,7354,"11,957",NaN," 7,465"
01/02/2022,,business,FIRST,One-Way,agent, easyjet ,platinum, AISLE ,airbnb,asia,no,low,COMPREHENSIVE,usd,2-4W,"17,995"," 9,129",£810,£10415,£7599,£11183,"12,500",£8126,3165,11782
"Mar 01, 2023",TRAIN,Event,ECONOMY,return,agent,lufthansa,Bronze,window,couchsurf,Africa,missing,shoulder,Comprehensive,Jpy,NA," 7,518",11693,NA,£12543,992,4115,11005,missing,4603,£19632
2024-01-26,NaN,Holiday,first,Open,agent, emirates ,Gold,Window,couchsurf,n. america,No,LOW,-999,missing,<3d,"13,987",942," 9,135",-999,£18963,2794,£17076,£16684,NaN,2712
14/06/2021,Boat,Event,economy,Open, AGENT ,Ba,Gold, middle ,COUCHSURF,EUROPE,yes,shoulder,-999,gbp,>1m,4006,8552,10027,7373,£12686,9373,16513,£9504,£10841,-999
2021-10-04,boat,relocation,premium,one-way,agent,easyjet,platinum,,Airbnb,missing,Yes,high,COMPREHENSIVE,gbp,2-4w,16572,1705,£11525," 7,726",1919,"13,877",16490,,missing,12339
24/10/2021,bus,HOLIDAY,PREMIUM,one-way,agent, lufthansa ,platinum,middle,airbnb,-999,no,Shoulder,BASIC,eur,1-2W,18685,"15,704",12664,6690,19937,missing,missing,£16756,"12,119",NA
"Sep 07, 2022", train ,NA,BUSINESS,OPEN,App,easyjet,NaN,aisle, resort ,europe,yes,HIGH,comprehensive,usd,3-7d," 2,652",12009," 3,165",7227,19228,15225,4774,4553,NA,4433
missing,train,relocation,business,ONE-WAY,app,ba,PLATINUM,Middle,couchsurf,asia,YES,LOW,basic,,>1m,£15487,£9270,2896,-999,"12,712",£18956,missing,12441,3276,missing
2022-08-26,bus,STUDY, economy ,-999,online,Ba, platinum ,bulkhead,resort,missing,No,shoulder,none,jpy, 1-2w ,NaN," 2,333",8994," 7,418",1485,12406,9229,9222,"15,006",1813
2022-08-14,Boat,study,premium, One-Way ,online,emirates,gold,BULKHEAD,COUCHSURF,S. AMERICA,Yes,shoulder,none,aud, <3d ,13315,16236,£1022,£16319,3932,12625,14962,"11,649",10931,£16590
2022-08-15,train,relocation,First,ONE-WAY,app, easyjet ,gold,middle,couchsurf,s.America,Yes,LOW,basic,aud,3-7d," 9,914",,"18,085",NA,NA,9822,NA,£2290," 9,595",£15785
04/04/2024,plane,STUDY,business, one-way ,app,BA,,window,Airbnb,EUROPE,NO,high,NaN,eur,2-4w," 9,960",18683,2254,£1309,8130,3011,   520,6779,18517," 7,333"
"Aug 18, 2024",TRAIN,relocation,ECONOMY,return,agent, qatar ,-999,bulkhead,resort,n.America,no,low,,usd,<3d,4698,missing,3203," 7,899",£11714,11785,1818,£14255,"11,163",10294
31/05/2024, train ,BACKPACKING,business,one-Way,AGENT,Qatar,platinum,NA,Airbnb,s.America, YES ,low,none,gbp,1-2w,"13,936",2322,15676,11100,,16744,£1677,5787,11206,£9924
2021-07-30,NaN, Holiday ,first,RETURN,Online,qatar,GOLD,missing,couchsurf,Oceania,no,high,basic,NaN,>1m,18499,,4309,4343,5755,6259,£17378,9462,-999,£4339
15/09/2021,NaN,Event,premium,return,agent,Ba,gold,WINDOW,Hotel,NA,,low,None,gbp,NA,£10019,15455,1384,6156,12909,6947,11109,12064,£16504,9161
2024-11-09,,BACKPACKING,first,open,App,missing,bronze,aisle,hotel,s.America,no,low,NaN,Jpy,2-4w,£16729,7619,17546,,2410,18754,-999,2293,9223,£12020
2023-11-26,BUS,backpacking,first,one-way,Walk-In,emirates,silver,Bulkhead,AIRBNB,africa,no,Shoulder,COMPREHENSIVE,GBP,,-999,,11875,£8812,15358,5319,£19074,£12312,£12376,£16598
2022-02-13,Train,-999,ECONOMY,-999,online, qatar , PLATINUM ,window,airbnb,africa,missing,High,BASIC,USD,2-4w,£15966,   829,"11,022",17375,18540,£17572,12453,13638,2355,9674
2023-11-11,,RELOCATION,ECONOMY,ONE-WAY,app,emirates,silver,aisle,Airbnb,asia,no,shoulder,basic,jpy,1-2w,11824,NaN,£7567,10736,3456,£5974,4798,4720,18940,13458
28/07/2024,bike,study,economy,Open,app, ba ,bronze,middle,hostel,Africa,yes,shoulder,Comprehensive,-999,2-4w,,196,13344,8145,missing,1442,9740,16819,14955,18669
01/07/2021,boat,HOLIDAY, Premium ,return,online,easyjet,missing,bulkhead,airbnb, asia ,YES,high,comprehensive,gbp,2-4w,19192,18649,12711,17480,£2757,£12606,4518,£3092,,4051
"Sep 15, 2021",BUS,BUSINESS,PREMIUM, Open ,App,LUFTHANSA,gold,window,HOSTEL,africa,yes,low,NONE,jpy,1-2w,12379,8588,14463,6396,11466,711,18507,17079,11635,11305
27/01/2024,boat,EVENT,-999,one-way, walk-in , easyjet , Bronze ,MIDDLE,hotel,oceania,YES,low,none,Usd,3-7D,19900,,11038,-999,1597," 5,602",£4391,1471,6505,5474
04/03/2024,BUS,Relocation,business,one-Way,NA,QATAR,Platinum,window,NaN,n._america,No, high ,BASIC,jpy,3-7d,-999,"11,377",12839,6741,,14214,741,NA,-999,£15989
30/11/2022,bike,business,Business,Open,walk-in,qatar,BRONZE, bulkhead ,Couchsurf,europe, no ,low,basic,usd,missing,NA,12532,6783,17595,979,£17107,8273,7628,10116,5925
2021-06-07,plane,HOLIDAY,NaN,RETURN, walk-In ,ba,SILVER, Window ,hostel,africa,no,low,comprehensive,aud,1-2w,19612,4505,,NaN,17889,15155,4563,3645,16159,1529
26/08/2021, boat ,backpacking,business,RETURN,ONLINE,ba,platinum,window,COUCHSURF, Asia ,yes,high,comprehensive,Gbp,2-4w,8603,7329,"19,835",1571,£9525,£13003,19323,3797,2674," 3,422"
2023-04-01,bike,STUDY,BUSINESS,Return,app,BA,platinum,bulkhead,hostel,africa,yes,NaN,comprehensive,Aud,>1m,NaN," 1,326",6988,6391,4275,17843,£14234,13782,NaN,£15699
"Jan 08, 2021",bus,backpacking,First,one-way,app,lufthansa,NaN,NaN,Hotel,N. America,yes, SHOULDER ,none,missing,1-2w," 4,155",£4975,4602,13480,£14835,794,NaN,13168,"12,645",6010
27/09/2024,BUS,Holiday,NaN,RETURN,-999,emirates,platinum,MIDDLE,Couchsurf,,No,high,comprehensive,USD, 2-4W ,£6185,£7968,5724,3854,15860,4852,12044,,13708,£17790
2021-09-18,Car,event,business,OPEN,App,EASYJET,NaN,window, couchsurf ,Asia,,high, None ,AUD,<3d,517,9994,£4931,12362,NA,1855,16911,NaN,16517,7549
"Mar 13, 2024",-999,-999,premium,return,-999,lufthansa,platinum,window,hotel,,Yes,Shoulder,Comprehensive,usd,>1M,£1710,-999,NaN,17124,NaN,7793,12753,6305,7203,3411
20/03/2024,Bike,study,business,return,APP,easyjet, silver , WINDOW ,couchsurf,asia,no,low,none,,2-4w,2192,17912,17372,12840,4386,£6083,"10,810",7054,17985," 5,501"
05/01/2024,CAR,business,First,return,walk-In,QATAR,Bronze,bulkhead,Resort,oceania,YES,LOW, basic ,NA,3-7d,12590," 8,540"," 9,878"," 3,893"," 6,481",1032,10337,8149,412,NaN
"Jun 16, 2022",BUS,business,premium,Return,Walk-In,EMIRATES,GOLD,MIDDLE,Airbnb,n._america,no,shoulder,NONE, Usd ,3-7d,3368,,12605,19824,663,"19,683","10,514",5923,4235,missing
01/07/2022,-999,Holiday,premium,-999,WALK-IN,lufthansa, silver ,WINDOW,couchsurf,africa,No,low,none,jpy,1-2w,1393,   200,8065,19078,10078,£5419," 2,031",4946,17908," 9,406"
12/12/2021, plane ,Business,missing,RETURN,agent,EMIRATES,BRONZE,aisle,hotel,asia,No,HIGH,Basic,AUD,3-7d,12744,6029,"12,076",NA," 1,417",16705,3245,NaN,3748,8059
2022-11-05,boat,-999,premium,NA,online, QATAR ,Silver,bulkhead,couchsurf,n.America,yes,high,basic,Aud,3-7d,18486,"18,624",£3675,£4269,10601,,19635,6236,-999,15118
26/03/2023,train,NaN,Economy,open,agent,lufthansa,silver, aisle ,couchsurf,Oceania,YES,high,comprehensive, JPY ,3-7D,£9299,18486,£6594,-999,£11590,17269,,"14,497",-999,13521
2022-05-16, BUS ,relocation,Business,open,online,ba,NaN,WINDOW,resort,NaN, no ,Low,Basic, usd ,,16956," 6,881",10663,£6384,1308,£9584,17308,6433,£13370,9168
2023-06-24,boat,study,economy, Open ,-999,qatar,silver,MIDDLE,NaN,S. AMERICA,yes,missing,comprehensive, Usd , <3d ,-999,4355,"17,164",NA,19869,939,6753,NaN,£18428,£2458
20/01/2022,Bike,Event,NA,One-Way,walk-in,Easyjet,bronze,Bulkhead,hotel, N. America ,NO,high,basic,,3-7d,18450," 4,752",4418," 5,133",missing,12497,NA,6234,£18024,-999
2024-10-13,bike,study, FIRST ,one-way,app, Emirates ,Silver,window,HOSTEL,n. america,no,shoulder,none,Usd,3-7d,4170,"14,986",4367,£16160,£6815,18787,19114,£8235,8155,£12846
2023-12-06,bus,STUDY,Business,open,app,Emirates,silver,missing, airbnb ,AFRICA,no,Low,NaN,aud,-999,16090,13385,6282,5127,5968,16633," 5,968",NaN,11929,11184
2022-06-07,train,study, premium ,OPEN,WALK-IN,Ba,platinum,BULKHEAD,NA,,no, High ,none,GBP,2-4W,NaN,"17,950",17019,9819," 1,362",10192,11094,," 8,676",19521
2021-11-27, train ,Relocation,NA,one-way,walk-In, Qatar ,GOLD,window,Hotel,africa,No,low,none,aud,2-4w,16508,1577,"11,189",-999,2149,NA,9089," 9,301",1546,missing
-999,bike,,economy,one-way,ONLINE,LUFTHANSA,BRONZE, aisle ,-999,AFRICA,no,High,comprehensive,Aud,>1M," 5,043",,7816,NaN," 4,302",NA,£15446,"19,658",4440,£18268
17/02/2022,bus,holiday,premium,missing,Agent,ba, Gold ,middle,resort,s._america,yes,Low,none,EUR,2-4w,£15155,NaN,11905,10091,"19,040"," 3,487",979,14476,17233,"15,894"
2023-04-24,train,-999,Premium,missing,online,Ba,-999,window,hostel,N. AMERICA,No,high,Comprehensive, gbp ,1-2w,10427," 1,384",2490,4673,19031,£15918,5917,3212,19107,£3862
29/08/2023,Boat, holiday , premium ,open,app,easyjet,,NaN, HOSTEL ,oceania,no,low,basic,eur,<3D,"14,349",14012," 9,837","17,218",11540,3878,5945,£7826,"15,851",19783
18/01/2021,CAR,business,economy,RETURN,app,emirates,platinum,Bulkhead,Hostel,asia,no,high,basic,AUD,1-2w,5236,279,NaN,3295," 3,717",16945,7471,1723,6853,£5930
24/07/2023,Train,Holiday,economy, one-way ,app,EASYJET,PLATINUM,MIDDLE,Hotel,OCEANIA,No,shoulder,-999,JPY,2-4w,2146,£5431,4822,1862,14124,"10,923",16945,15672,4702,£13778
15/03/2024,bike,NA,economy,One-Way,online,emirates,,-999,AIRBNB,africa,No,shoulder,NA,gbp,<3d,19503,8058,,6677," 9,745",3420,3816," 2,557","13,121","11,629"
14/11/2022,Car,study,economy,Return,walk-in,lufthansa, bronze ,missing,airbnb,,no,-999,comprehensive,GBP,1-2W,6750,8860,13474,missing,8536,18347,"12,739",£13601,£3594,13576
"May 16, 2021",bus,Backpacking,NaN,return,AGENT,EMIRATES,,Middle,hotel,AFRICA,no,HIGH,Basic,eur,-999,"11,123"," 9,624",,4114,381,6516,8541,1245,£19580,14732
"Sep 09, 2022",bike, Relocation ,NA,one-Way,ONLINE,emirates,platinum,BULKHEAD,couchsurf,S. America,no,high,COMPREHENSIVE,eur,<3d," 3,536",11999,NA,NaN,3528,11032,10582,9196,," 2,190"
2023-12-21,train,event,,return,NA, emirates ,bronze,Middle, Hostel ,Oceania,no,SHOULDER,COMPREHENSIVE,jpy,<3d,13123,-999," 6,374",5349,18039,16180," 2,821",£12428,18596,£17370
2024-02-27,CAR,holiday,economy,ONE-WAY,app, Emirates ,PLATINUM,window,airbnb,oceania,,high,comprehensive,USD, 2-4W ,4416,6616,3736,£13882,1094,9199,3978,£10920,"14,365",£9786
26/03/2023, car ,HOLIDAY,business,OPEN,App,qatar,platinum,middle,resort,,yes,shoulder,BASIC,gbp, 2-4w ,4990,NA,16150,7565,"14,279",3125,11186," 4,269",16895,15179
01/11/2023,BIKE, relocation ,economy,one-way,walk-In,NA,bronze,window,COUCHSURF,N. America,NO,NaN,missing,usd,>1m,12994,12925,3654,52,10577,NaN,17352,93,8452,4182
2021-10-23,bike,business,economy,Return,Online,Qatar,Gold,AISLE,,s._america,no,Shoulder,NA,aud,<3d," 3,987",£13453,NaN,£4940,5157,NaN,"15,557",1785,£630,16568
