Date,Genre,format?, language ,binding,audience,Publisher?,series,EDITION, illustrated ,AWARD WINNING,BESTSELLER TIER,age_group,Region Setting,authorNationality,Signed?,pages,Chapters,WORD COUNT,rating ⭐?,PRINT RUN, rrp£ ,discount %,stock_units,reprints/,FILM RIGHTS £
2022-06-08,fantasy,audiobook,spanish,sewn,missing,Penguin,No,Revised,yes,yes,long-tail,0-5,Asia,japan,yes,NaN,£2962,5982,16211,"12,068",14690,15695,"15,325"," 9,279","12,232"
11/09/2024,biography,Hardback,FRENCH,Sewn,adult,missing,Yes,3rd,yes,yes,long-tail,18+,asia,US,YES,16821,NaN,17340,£18503,£16132," 2,297"," 1,275"," 6,866",3935,NaN
22/04/2024,thriller,paperback,ENGLISH,Glue,adult,macmillan,yes,Revised,Yes,Yes,top-10,NA, asia , UK ,NA,"18,449",12526," 8,930",13091,£7761,14184,8038,missing,283,15591
11/07/2023,biography,ebook,german,Glue,children,simon_&_schuster,no,1st,No,missing,-999,13-17,AMERICAS,japan, Yes ,10033,missing,£10059,"10,427",14957,£2676,1115,10159,7986,545
2023-06-24, biography ,Hardback,German,missing, Adult ,penguin,no, 3rd ,-999,YES,long-tail,18+,americas,-999,no,"11,950",NA,19059,£15940,"13,171",missing,NA,6479,"12,072",NaN
2024-09-11,thriller,Ebook,missing,glue,,Harpercollins,no,3rd,NO,,NaN,18+,africa,india,No," 7,848",13726,10602,19692,16265,7442," 6,449",2774,16526,2387
07/02/2021,history,-999,german,STAPLED,ADULT,penguin,no,2nd,NaN,yes,Top-100,-999, americas ,uk,no,12897,612,3636,15883,2199,9359,2564,"18,491",£10673,10436
2022-01-26,thriller,ebook,japanese,missing,Ya,harpercollins,NO,3rd,no,Yes,top-10,13-17,EUROPE,-999,No,16547,NA,16017,"16,839",£16480,£12319,15931,5492,missing,2323
2024-02-05,Romance,audiobook,spanish,sewn,CHILDREN,Harpercollins,No,1st,yes,Yes,top-100, 13-17 ,oceania, JAPAN ,yes,£731,NA,13856,missing,19144,£8384,12666," 1,679",4735," 6,628"
19/02/2023,thriller,paperback,German,stapled, adult ,PENGUIN,YES,1st,no,NaN, long-tail ,6-12,OCEANIA,japan,YES,£10796,16979,11558,missing,8542,£4621,9248,12699,8127,£8025
27/01/2021,biography,hardback,english,glue,children,macmillan,no,3rd,missing,No,Long-Tail,6-12,oceania,-999,yes,12014,NA,,5796," 2,510"," 2,990",9240,18832,5607,7804
2021-04-23,biography,audiobook,german,sewn,adult,Harpercollins,YES,1ST,no,yes,Long-Tail,NaN, OCEANIA ,japan,NO,3704,-999,£15569,10357,18960,10949,13178,12702,171,-999
"Feb 19, 2021",romance,HARDBACK,German,STAPLED,Adult,HARPERCOLLINS,yes,REVISED,No,yes,top-10,18+, EUROPE , US ,yes,£4002," 1,213",13874,NA,16775,4409,NaN,£11022,4044,NaN
16/03/2024,FANTASY,NA,ENGLISH,Stapled,NaN,MACMILLAN,No,2nd,YES, no ,top-10,0-5,africa,US,yes,£8152,12338,£1193,NA,12576,11851,missing,13579,£18744,7384
09/07/2021,BIOGRAPHY,Hardback,German,stapled,children,PENGUIN, No ,3RD,missing,Yes,top-10,NA,americas,,Yes,370,£9800,7917," 4,462",7284,5962,16080,,£14537,4326
2022-04-08,SCI-FI,audiobook,english, glue ,NA,NaN,NA,revised,YES,no,NA,6-12,americas,india,no," 4,438",£4133,3122,8529,,886,17747,-999,10901,324
2024-07-07,NaN,paperback,spanish,SPIRAL,Adult,missing,YES,2nd,no,no,NA,0-5,africa,NaN,no," 1,660",£8259,11372,4619,13739," 3,727",£5632,13130,2141,9219
,THRILLER,audiobook,french,spiral,Adult, simon & schuster ,yes,revised,no,yes,long-tail,18+,EUROPE,japan,yes,£16424,19126,3436,-999,£105,9688,15974,£16666,£4491,4942
2022-07-22,BIOGRAPHY,EBOOK,German,stapled,adult,,yes,1st, yes ,No,Top-100,13-17,asia,canada,yes,3200,13820,10590,19264,£2524,£14926,19947,£13368,"18,046",151
2024-08-28,thriller,hardback,japanese,SPIRAL,children,macmillan,no,2nd,-999,,missing,6-12,oceania, canada ,yes,8557,5213,8259,,15919,NA,NaN,9729,13108,NA
09/01/2022, Fantasy ,ebook,,Glue,missing,Simon & Schuster,no,REVISED,Yes,no,-999,13-17,africa,india,No,19744,8005,"11,498","12,678",£11169,£11043,£15155,10857,17530,-999
2021-07-08,Thriller,Audiobook,Spanish,STAPLED,adult,Penguin,yes,revised,no,YES,LONG-TAIL,13-17,asia,us,YES,,17174," 3,408",18634,   354,225,13666,£10338,£11195,10993
24/04/2024, sci-fi ,Paperback,english,spiral,Adult,MACMILLAN,NO,1st,,Yes,-999,0-5,, japan ,no,"13,620",£17315,17196,NA,£19618,5094,£2630,missing,10896,11421
,biography,ebook,NaN,-999,YA,simon & schuster,No,NaN,NO,no,TOP-100,0-5,asia,uk,yes,3026,14910,13435,2561,£17986,12737,-999,"10,171",-999,12606
23/02/2024,romance,hardback,JAPANESE, spiral ,CHILDREN,Penguin,yes, 2nd ,yes,-999,top-10,0-5,asia,NaN,yes,10464,318,1987,11051,4194,missing," 2,853",11074,3047,NA
2022-08-12,NaN,Hardback,missing,,ya,,no,3rd,-999,no,LONG-TAIL,0-5,asia,us,missing,4536,12687,"19,008",NA,15166,,12996,missing,4006,17615
2021-05-12,sci-fi,hardback,,spiral,children,simon & schuster, No ,2nd, no ,yes,Top-10,6-12,missing,JAPAN,no,"11,635",,16147,missing,19464," 7,476",9144,6685,17814,6296
16/08/2022,romance,hardback,FRENCH,sewn,children,simon & schuster,NaN,3rd,YES,yes,top-100,missing,EUROPE,uk,no,£2121,18123,1318,"18,901",9868,NaN,"10,805",NA,17931,878
10/09/2024,romance,PAPERBACK,french,sewn,YA,penguin, YES ,revised,YES,no,top-10,0-5,NaN,canada,Yes,3286,5208,NaN,18573,11138,19837,"14,199",13535,680,"12,382"
08/02/2024,history,Audiobook,GERMAN,missing,adult,HARPERCOLLINS,No,3RD, yes ,No,TOP-10,18+,AMERICAS,INDIA,no,£6250,NaN,"19,606",12900,17810,£2292,£11059,14730,6191,8967
"Apr 29, 2021",SCI-FI,-999,SPANISH,-999,ya,simon & schuster,NA,-999,no, no ,long-Tail,0-5,africa,CANADA,no,"10,435",NA,10214," 4,077"," 3,827",16433,NaN," 6,072",£772,"13,060"
2023-06-08,biography,EBOOK,french,STAPLED,adult,,Yes,REVISED,NO,yes,long-tail,0-5,europe,US,yes,NA,7829," 6,622",£6404,£1588,10875,£19523,18015,£5160,6979
14/07/2021,biography,hardback,JAPANESE,spiral,NA,Macmillan,Yes,1ST,Yes,yes,TOP-100,18+,Americas,us,no,17706,-999,15578,18378,£13248,£10718,1498,12448,3769,£19142
03/04/2021,fantasy,hardback,GERMAN,Sewn, adult ,harpercollins,yes,1st,no, yes ,NaN,0-5,americas, JAPAN ,No,NA,11403,16417,1337,£11438,213,"16,626",17339,NaN,19809
2021-09-19,biography,audiobook,french,Stapled,ya,macmillan,YES,1st, NO ,No,missing,13-17,OCEANIA,us,no,19418,£14510,NaN,£1737,3936,NaN,NaN,14153," 3,049",£2989
26/12/2024,thriller,hardback,NA,missing,adult,macmillan,yes,3rd, yes ,yes,long-tail,13-17,africa,canada,missing,,3151,£17481,2415,19048,15542,-999,2385,19561,15940
20/02/2021,history,Hardback,japanese,,missing,macmillan, NO ,1st,YES,No,top-10,13-17,oceania,japan,yes,9828,8504,7303,328,3649,5273,£9877,15396,£3730,18548
2023-07-17,history,Hardback,german,Spiral,-999,macmillan,yes,1st,No,Yes,top-10,18+,europe,UK,yes,1972,"14,618",10914,1482,13370,"16,161",4787,"15,789",5581,11418
2022-07-02,biography,hardback,french,spiral,adult,PENGUIN,Yes,3rd,yes,yes,top-10,13-17,Africa,uk,yes,£10381,£9617," 6,761","14,223"," 1,804",12525,14137,missing,15917,19555
2024-02-07,Sci-Fi,NaN,german,STAPLED,children,macmillan,no,1st,yes,NO,Top-10,6-12,Europe,US,NO,18181,-999,£1366,16779,6696,17547,"15,109",18177,NaN,£6269
2024-10-14,History,hardback,spanish,sewn,children,macmillan,No,NaN,NaN,Yes,NA,,-999,CANADA,Yes,,£18650,£18726,-999,19860,missing,£14438," 4,895",£19931,£16504
2021-07-19,fantasy,ebook, SPANISH ,stapled,ya,Simon & Schuster,yes,NaN,yes,yes,top-100,0-5,EUROPE,JAPAN,YES,5419," 3,772",9541,NaN,4505,£11048,2514,9624,15364,13297
2023-10-01,Sci-Fi,NaN, german ,STAPLED,ADULT,penguin,yes,1st,yes,no,long-Tail,6-12, asia ,canada,YES,"12,272",£12538,£16875,18585,NaN,£14740,NaN,6776,19994,2094
30/04/2021,BIOGRAPHY,hardback,English,STAPLED,NA,PENGUIN, yes ,3rd,Yes,No,top-100,0-5,Asia,India,No,"14,851",263,"11,855",19016,NaN,5415,6764,5826,8497,7096
15/12/2024,history,NaN,spanish,Glue,ADULT,penguin,NO,3rd,yes,yes,top-100,6-12,oceania,japan,no,10793,6376,1721," 7,760",,missing,£19139,£4438,15824,16588
04/09/2021,BIOGRAPHY,hardback,french,glue, Children ,penguin,YES,2nd,yes,Yes,,13-17,americas,uk,no,"19,899",8788,£8515,5350,399,11961," 6,571"," 9,670",11263,733
-999,ROMANCE,paperback,english,NaN,adult,macmillan,,2nd,yes,yes,TOP-100,18+,NaN,uk,,£17395," 3,490","18,969",   953,missing,£4895,7183,£13755,830,missing
23/07/2024,THRILLER,Ebook,GERMAN,sewn,CHILDREN,MACMILLAN,yes,-999,yes,NaN,top-100,0-5, Americas ,US,NO,5836,8882,2509,17241,11198,13860,£265,4680,5718,£8157
23/01/2024,ROMANCE,,french,glue, YA ,penguin,yes,2nd,yes,NO,top-100,6-12,NaN,india,NO,17329,4195,£14085,11162,18309,£13239,14837,3426,£1989," 1,450"
2023-11-22, SCI-FI ,audiobook,english,stapled,ya,PENGUIN,yes,1ST,yes,yes,LONG-TAIL,NA,americas,uk,no," 4,205",NaN," 4,219",11328,-999,846,£4613,1292,,-999
