 date ,Device,OPERATING SYSTEM,Processor Brand,form factor, release yr band ,market_segment,manufacturer/,CONNECTIVITY,SCREEN TYPE,energy_rating,Warranty Length,Colour,price tier,user profile,UPGRADE ELIG,PRICE £,ramGb,Ssd Gb,Battery Mah,weightG, ports ,CPU GHZ,gpu tflops,launch_score,Units Sold K
2023-02-17,Tablet,NaN,Amd,ultrabook,2024+, consumer ,asus,5g,e-Ink,a,NA,grey,NA,PROFESSIONAL,yes,missing,,7645," 9,327",18580,2856,£890,£3041,£19718,17195
02/04/2023,laptop,-999,intel,ULTRABOOK,2021-23,Enterprise,dell,NA,lcd,b,1Y,White,MID-RANGE,GAMER,NA,-999,£9883,NaN,13272,4219,NaN,,1170,"18,810",£13985
19/10/2023,TABLET,IOS,amd,MINI PC,2015-17,gaming,Hp,wi-fi,OLED,B,5y,-999,,student,YES,£12526,16166,£16075,   633,,£12754,£8344,19951,"19,690",31
01/04/2021,-999,Ios,qualcomm,NaN,NA,GAMING,dell,ethernet,lcd,a,no_warranty,grey,mid-range,professional,no," 4,682",12266,2039,10682,"17,852",-999,£11890,NA,£19761,£3119
2023-02-01,NA,NaN,apple,ultrabook,2018-20,consumer, lenovo , bluetooth ,Mini-Led,D,NaN,White, budget ,creator,yes,NA,5902,19007,-999," 1,401"," 8,708",14802,"14,982",NaN,19066
05/03/2021,smartphone,NaN,amd,ultrabook,2024+,NaN,lenovo,wi-fi,e-ink, b ,2y,BLACK,PREMIUM,Gamer,Yes,£8662,17722,£4003,£2238,£8883,12715,6667,15802,"18,067",6293
15/04/2022,,Ios,intel,2-In-1, 2024+ ,gaming,Hp,NA,lcd,NA,1y,Silver,budget,creator,no,£3175,648," 5,545",12125,missing,5918,1827,12697,6747,
"Mar 20, 2021",Smartphone, android ,amd,DESKTOP, 2021-23 ,Enterprise,dell, Ethernet ,mini-led, c ,5Y,-999,,creator,No,8814,7120,7187,£5705,6571,8997,£8005,19551,16563,6090
,drone,windows,qualcomm,2-IN-1,2021-23,education,APPLE,ethernet,MINI-LED,b,1y,NA,premium,gamer,yes,"13,185",7485,2597,NaN,missing,15694,9780,7495,£3033,missing
26/10/2022,smartphone,Ios, INTEL ,-999,2021-23,EDUCATION,hp,Ethernet,lcd,b,3y,Black,premium,creator,no,-999,14071,14712," 5,977",£15977,6792,7166,14856,   462,8092
2024-03-03,robot,CHROMEOS, Intel ,ultrabook,-999,enterprise,ASUS,ETHERNET,Lcd,d,1Y, silver ,budget, GAMER ,yes,17947,9362,17359,£6111," 8,538",1983,-999,13813,3894,missing
2022-01-31,Drone,NaN, QUALCOMM ,ULTRABOOK,2018-20,CONSUMER,apple,wi-fi,oled,D,No Warranty,grey,BUDGET,creator,no,1641,4577,"15,314",12651,£7817,£9366,3006,16817,£3679,19554
13/10/2024,missing,MACOS,Apple, Ultrabook ,2024+,gaming, apple ,5g,oled, c ,1y,White,mid-Range, STUDENT ,NO,,4383,3248,1610,17459,£217,£16915," 1,466",4815,1090
08/01/2021,Laptop,chromeos,qualcomm,ULTRABOOK,missing,Education, hp ,WI-FI,Mini-Led,d,-999,Grey,MID-RANGE,Student,No,,383,6602,13570,NaN,NA,5246,12990,NaN,6495
2023-04-08,NaN,WINDOWS, amd ,mini pc,2021-23,ENTERPRISE,Dell,wi-fi,oled,NaN,missing,NA,mid-range, professional , yes ,£8872,£17050,"19,454",17767,15440,13260,19069,NaN,668,15049
2023-01-01,server,macos,apple,Mini Pc, 2018-20 ,CONSUMER,acer,Ethernet,-999,,3Y,silver,budget,creator, yes ,,NaN,18529,,6308,£15602,3075," 8,586",£8243,11901
2024-09-18,laptop,,NA,,2024+,CONSUMER,apple,bluetooth,MINI-LED,B,,white,-999,creator,no,16434,NA,£5073," 3,028",NA,16467,6021," 5,331",13717,£6723
02/03/2023,smartphone,Linux,INTEL,2-in-1,-999,gaming,lenovo,wi-Fi,-999,B,3y,blue,mid-Range,creator,yes,£13612,11999,3289,10632,13357,4191,10673,4544,5323," 5,956"
2023-09-29,DRONE,windows,qualcomm,2-IN-1,2015-17,Enterprise,asus,5g,oled, D ,1Y,silver,flagship,student,-999,"14,905",6864," 1,941",NA,10450,"11,318",14895,14587,15262,3732
2024-07-25, drone , windows ,AMD,MINI PC,2021-23,consumer,lenovo,5g,Lcd,C,3y, grey ,Flagship,creator,yes,£17569,,£13969,11331,£14387,"13,192",2428,£19171,9602,14193
2022-09-29,ROBOT,android,INTEL,DESKTOP,<2015,consumer,Hp,ethernet,e-ink,D,no_warranty,grey,budget,Professional,No,13872,5937,12506,£8356,2344,"11,828",£14263,13155,9745,66
29/08/2022,NaN,Chromeos,INTEL,NaN,2021-23,enterprise,NA,bluetooth,lcd,a,5y,SILVER,Budget,professional,no,14701,,NaN,18173,£9435,13081,9808,"10,347",5633,5899
2022-05-08,Tablet,Chromeos, apple ,2-IN-1,2018-20, consumer ,HP,bluetooth,LCD,D,3y,SILVER,NaN,CREATOR, no ,8890," 9,191",7608,6390,,7964,8667," 4,572",,13989
"Sep 09, 2021",Server,,amd,ultrabook,2018-20,CONSUMER,apple,Ethernet,OLED, c ,3y,silver,premium,CREATOR,yes,,6124,1402,missing," 7,248"," 3,392",14139,7244,-999,974
25/09/2024,drone,windows,amd,desktop,2015-17,gaming,lenovo,wi-fi,Lcd,b,no_warranty,Grey,,professional,no,missing,12045,£9086,9468,16725,£8823,15097,9053," 7,862"," 2,159"
"Feb 17, 2024",laptop,Macos,AMD,Desktop,,EDUCATION,hp,WI-FI,Lcd,C,3y,grey,MID-RANGE,creator,NO,NA,"18,040",18422,6932,18116,12326,16861,19803,18412,£12201
19/05/2022,TABLET,WINDOWS, intel ,Ultrabook,<2015,gaming,Apple,5g,OLED,d,-999,NaN,flagship,Gamer,NO,£12207,8921,3038,6068,13499,13537,5657,16375,NaN,12280
"Mar 11, 2024",smartphone,missing, amd ,desktop,-999,consumer,apple,5g,mini-Led,A,2y,missing,BUDGET,NaN,yes,8494,8294,,NaN,15088,8215,17625,8198,15941,5400
2022-11-08,,linux,INTEL,mini pc, 2018-20 ,consumer,Apple,bluetooth,NaN,a,5Y,GREY,budget,Gamer,Yes,£18308,10697,1753,19074,,737,13349,17210,16952,13228
10/03/2023,drone,NaN,QUALCOMM,NA,<2015,ENTERPRISE,missing,bluetooth,E-Ink,A,No Warranty,NA,budget,CREATOR,yes,   196,£6662,£13812,13300,   769,15017,13177,,3598,17079
19/10/2023,-999,macos,apple,2-In-1,missing,education,asus,bluetooth,mini-Led,b,5y,NA,mid-range,student,no,missing,16344,£5954,£129,3604,16832,430,£13485,"17,614","16,297"
2023-01-14,laptop,Chromeos,apple,missing,2015-17,gaming,HP,ethernet,Oled,b,missing,blue,budget,Gamer,no,"18,984",missing,15226,13797,,18461,8718,19235,1716,1331
2021-05-30,server,Android,INTEL,miniPc,<2015,-999,lenovo,Ethernet,Oled,NaN,3y,-999,flagship,creator,yes,15026,817,7051,10473,14543,"11,241",1699,NA,£12985,10531
,Tablet,missing,intel,miniPc,2018-20,education, Hp ,bluetooth,oled,b,2Y,silver,premium, Creator ,YES,9156," 9,823",19949,NaN,1888,6342,9287,15732,1150,"17,368"
2023-11-11,SMARTPHONE,windows,intel,2-In-1,2018-20, GAMING ,-999,wi-fi,OLED,C,1y,BLACK,premium,creator,no,15229,18925,"14,279",10029,£2580,7881,£3312,13647,4934,11371
05/10/2023, SMARTPHONE ,windows,apple,ultrabook,NA, gaming ,asus,5g,OLED,d,2y, blue ,-999,gamer,no,10290,£6049,"16,916"," 1,396",£8034,10156,£11000,£17730,13677,£2435
2021-03-04,Laptop,Macos,qualcomm,ultrabook,,gaming,Dell,5G,mini-led,NA,5y,grey,NA,GAMER,no,£5268,5748,NA,£16308,6650," 9,719",£8028,19582,£1366,17551
04/01/2024,tablet,windows,qualcomm, ULTRABOOK ,2024+,NA,-999, WI-FI ,mini-led,d,5y,NA,flagship,creator,yes,10998,6982,6654,NA,940,15419,5556,£7952,,1617
,NaN,linux,apple,ultrabook,2024+,gaming,asus,5g,OLED,C,1y,black, mid-range ,creator,NO,   150,8062,,13647,10372,14896,11739,201,11938,9392
2022-02-02,Robot,macos,Apple,2-In-1,<2015,CONSUMER, apple ,ETHERNET,oled,b,No Warranty,blue,mid-range,Professional,yes,    71,8649,713,14366,3185,622,10999,"11,218",673,NaN
2022-04-21,Robot,chromeos,amd,Mini Pc,2024+,enterprise,Hp,5G,NaN,A,1y,blue,flagship,gamer,no,£17076," 9,518",-999,10057,17992,8201,9053,"14,131",368,14583
11/07/2022,TABLET,chromeos,apple,2-In-1,2024+,consumer,asus,5g,e-ink,b,1y,BLUE,FLAGSHIP,gamer,yes,11203,£4333,4909,"13,393","14,434"," 3,058",934,£14932," 9,677",£3400
NA,TABLET,MACOS,intel,2-In-1,2018-20,enterprise,LENOVO,5g,lcd,D,3y,Grey,Flagship,student,NaN,1407,£13003,14474,11740,13498,13658,17666,8480,10977,
NaN,, windows ,APPLE,Mini Pc,2018-20,enterprise,asus,WI-FI,missing,c, 5y ,SILVER,BUDGET,CREATOR,no,1107,2221,12225,NaN,3289,NA,"18,316","11,709"," 7,421"," 6,894"
2023-09-09,tablet,ios,Apple,2-In-1,<2015,NaN,acer,wi-fi,e-Ink,D,5Y,black,mid-range,NaN,yes,£1455,£16872," 8,392",-999,NA,16283,7371,missing,5786,7831
-999,drone,linux,-999,DESKTOP,2021-23,missing,lenovo,-999,e-Ink,C,no warranty,missing,mid-range,creator,yes,15337,,6967,5068,15023,NA,£17684,missing,9430,£16944
06/03/2021,Drone,windows,Qualcomm,2-In-1,NA,-999,apple,NA,mini-led,NA,2y, silver ,,professional,YES,£10949,19680,£877,13358,15570,£8936,13930,8099,2778,16379
2022-11-25, LAPTOP ,Macos,Qualcomm,Mini Pc,2024+,-999,lenovo,wi-Fi,lcd,D,2Y,grey,premium,CREATOR,no,£1601,£2438,£18142,"18,330",2345,,3338,16993,19947,NaN
18/04/2024,Smartphone,android,intel,DESKTOP,<2015,GAMING,Dell,ethernet,MINI-LED, b ,1y,silver,Mid-Range,Student,yes,£14429,12652,17817,8067,4761,missing,NaN,18298,4973,15890
19/03/2024,tablet,CHROMEOS,NaN,MINI PC,NaN,Gaming,,bluetooth,E-Ink,B,3y,Grey,Budget,,Yes,£9216,1405,NaN,11341," 3,623",18767,NA,13284,5434,"17,767"
17/01/2021,Robot,Windows,intel,Desktop,2021-23,-999,dell,5g,e-ink,a,1y,BLUE,premium,gamer, Yes ,"10,652",£6696,11924,£762,14063," 4,056",19036,NA,   858,£8732
missing,server,macos,INTEL,mini pc,<2015,ENTERPRISE, APPLE ,Wi-Fi,e-ink,NA,NO WARRANTY, blue ,budget,creator,no,9767,5250,5166," 5,837",19022,9060,15562,£13935,3484,missing
2022-10-26,LAPTOP,macos, APPLE ,MINI PC,2021-23,consumer,,ETHERNET,mini-led,B,NA,Black, mid-Range ,creator,YES,NA," 4,578",11805,15007,£2496,19013,"15,163"," 2,802",120,7719
2022-12-20,smartphone,android,amd,2-IN-1,2015-17,NaN,DELL,5G,E-INK,C,2y,blue,mid-range, creator ,no,8562,9366,£3261,14336,8276,NA,8003,4603," 5,122",4949
2021-01-15, drone ,ios,Apple,ultrabook,NA, Gaming ,hp,wi-Fi,NaN,-999,2y,BLACK,mid-range,CREATOR,No,-999,12300,12313,10101,8152,10640,18842,-999,12407,"15,906"
12/02/2021,-999,Android,apple,Mini Pc,2015-17,enterprise,LENOVO,NaN,NaN,,1y,SILVER, budget ,professional,no,18433,NaN," 7,092",11321,"10,096",10869,NaN,14071,4606,missing
05/02/2022,ROBOT,android,QUALCOMM, desktop ,2024+,-999, lenovo ,Ethernet,mini-Led,B,1Y,WHITE,NA,professional,yes,"19,665",NA,4457,9108,NaN,4596,12502,11361,10290,8375
10/09/2022,DRONE,android,qualcomm,Mini Pc,<2015,Education, asus ,5g,Lcd,C,1Y,black,mid-range,creator,no,11230,18532," 1,220",753,11878,11348,NA,3067,4415,3841
25/11/2022,TABLET,Linux,Intel,Mini Pc,2021-23,gaming,Acer,missing,mini-led,a,2y,silver,mid-range,professional,no,7973,19327,NA,19699,7266," 8,412",9825,£4949,£2572,9390
06/03/2022,-999,ANDROID,Qualcomm,,2018-20,NaN,LENOVO,5G, LCD ,-999, 2y ,blue,mid-Range,Professional,No," 1,447",11824,13852,13455,8973,NaN,NA," 6,923",NaN,4186
2023-06-17,laptop,MACOS,intel,ULTRABOOK,2021-23,gaming,apple,wi-fi,Mini-Led,c,no warranty,grey,,Student,yes,10520," 7,687",6547,10850,3983,£17991,781,"16,938",4401,£11349
2022-08-10,server,windows, apple ,mini_pc,2021-23,Gaming,lenovo,bluetooth, Mini-Led ,d,2y,NA,-999,Creator,YES,19256,NaN,3589,,2827,19581,£7647,£6297,19229,8498
07/06/2021,server,windows,intel,desktop,2021-23,consumer,APPLE, wi-fi ,lcd,c,1y, grey ,budget,Gamer,yes,£8068,NA,8855," 3,666",NA,7332,9716,3456,-999,4811
03/03/2022,missing,ios,NA,NA,<2015, enterprise ,Lenovo,5g,e-Ink,A,2y,Black,flagship,creator,yes,13247,18400,"16,579",1806,missing,4773,3990,16151,7359,9970
23/06/2024,NA,NA,qualcomm,desktop,2021-23,education,Hp, wi-fi ,e-ink,NA,5Y,blue,Budget,gamer,missing,994," 2,267",15322,12530,19425,2198,18762,16688,,552
28/11/2023,server,macos,intel,-999,2018-20,Gaming,ASUS,5g,mini-led,c,2y,grey,Budget,student,yes,15503,14870,14843,"19,417",149,£2439,£11360,"14,852",11839,£9259
"Sep 08, 2021",,,AMD,Desktop,-999,consumer,ASUS, bluetooth ,E-Ink,c,1y,SILVER,flagship,NaN,No,£15420,"13,285","13,288",15683,-999,£12313,£11495,4115,£12910,£9642
"Mar 25, 2024",laptop,windows,intel,ultrabook,2015-17,consumer,NaN,5g,OLED,d,1y,Black,PREMIUM,professional, no ,missing,NaN,£8002,5625,NA,3868,NA,£5392,NaN,18500
04/05/2024,SERVER,IOS,apple,ultrabook,2015-17,consumer,ACER,bluetooth,lcd,d,missing,WHITE,Mid-Range, GAMER ,yes,,£12227,"17,427",£2815,14183,NA,NaN,8128,9255,4837
14/02/2024,Server,chromeos,,ULTRABOOK,<2015,Enterprise,dell, 5g ,e-ink,D,1y,Black, PREMIUM ,professional,yes,15595,7217,1232,"12,178",£1657," 9,865",8940," 5,293",NaN,£3865
NaN,server,android,qualcomm,desktop,2021-23,NaN,LENOVO,5g,e-ink,missing,,silver,Premium,Gamer,NaN,11420,£11785,"13,539",57,NA,£18391,2035," 6,512",8178,9690
2023-11-05,Robot,Ios,AMD,ULTRABOOK,,EDUCATION,apple,NA,missing,D,5y,silver,premium,CREATOR,NaN,18109," 2,125",-999,918,6894,£7778,14851,13678,1722,13968
,robot,ios,apple,ultrabook,2024+,gaming,asus,bluetooth,e-ink,D,3y,Grey,premium,student,Yes,2716,10410,£15105,£11804,"10,179",,8683,-999,12358,5971
2024-02-07,missing,missing,QUALCOMM,2-in-1, 2024+ ,ENTERPRISE,acer,wi-fi,e-ink,C,2y,black,Budget,Creator,no,9406,8304,NA,-999,2830,£18482,18563,2861,13693,3747
20/10/2021,Server,ios,apple,2-in-1,<2015,enterprise,hp,Wi-Fi, lcd ,D,1y,,BUDGET,PROFESSIONAL,no,£11242," 4,653",£16194,13993,10566,£10644," 3,176",642,2847,17762
31/12/2024, tablet ,macos,Intel,2-in-1, 2015-17 ,consumer,ACER,Wi-Fi,LCD,c,5y,missing,budget,professional,no,11324,"19,330",17162,14823,£4212,4917,£3684,4992,missing,9564
2021-01-22,TABLET,Ios,APPLE,Desktop,2018-20,Education,ACER,ethernet,oled,A,2y,grey,mid-range, Creator ,YES,1635,NaN,18488,3423,9019,NA,£1407,19127,1323,10452
2024-03-06,laptop,missing,qualcomm,desktop,2024+,-999,-999,ETHERNET,,A,3y,black,PREMIUM,student,NA," 5,821",NaN,1776,£3657,2682,"18,650"," 8,598",missing,-999,99
missing,laptop, macos ,Apple,mini_pc,2015-17,consumer,NA,wi-Fi,LCD,d,noWarranty,silver,premium,CREATOR,yes,3970,"15,332",9099,13466,8557,16695,7347,13660,15617,18208
-999, smartphone ,missing,INTEL,miniPc,2024+,CONSUMER,asus,ethernet,oled, d , no warranty ,white,flagship,CREATOR,Yes,,£12096,15149,1027,,NA," 5,675",,-999,"12,821"
2023-02-11,,WINDOWS,AMD,desktop, 2015-17 , consumer ,,ethernet,MINI-LED,c,no_warranty,silver,mid-range,Creator,yes,"11,963",5762,16598,11330,16303,£4371,"10,026",NaN,10566,14018
2024-03-19, TABLET ,linux,QUALCOMM,NaN,2015-17,GAMING,apple,-999,Oled,missing, 1y ,missing,premium,gamer,yes,13395,NA,£18099,£8727,,8088,missing,£19713,5331,5432
2023-09-19,laptop,macos,INTEL,Mini Pc,2024+,consumer,ASUS,bluetooth,E-Ink,C,2y, black ,MID-RANGE,missing,,19587,7761,1822,8340,NaN,NaN,10895,6454,972,£11469
11/10/2024,SMARTPHONE,chromeos,qualcomm,mini pc,2021-23,gaming,missing,wi-fi,Oled,a,1y,white,Budget,GAMER,missing,NA,1197," 9,527",7807,3818,missing,7765,£9335,£18570,15414
18/08/2022,LAPTOP,ios,amd,Desktop,NaN,CONSUMER,HP,5G,E-Ink, D ,no_warranty,SILVER,flagship,GAMER,yes,£19670," 7,056",9371," 2,344",,8286,7662,£15569,£9376,10607
2022-05-11,robot,WINDOWS,amd,DESKTOP,2015-17,gaming,apple,ETHERNET,NaN,C,NA,black,mid-range,Gamer,NO,£14324,£5722,16538,4896,"13,154",5470,1881,NaN,12511,NA
2024-04-03,ROBOT, android ,amd,Mini Pc,NaN,Gaming,apple,Bluetooth,Lcd,b,2Y,grey,FLAGSHIP,Creator,Yes,£14651,11209," 6,392",£15298,8980,-999,14104,£11061,missing,£19609
NA,smartphone, Linux ,Apple,desktop,NaN,enterprise,-999,Ethernet,lcd,NaN,2y,NaN,premium,Gamer,yes,,9211,£19873,£10704,11059,£18688,15688,8538,13589,£2290
2022-06-04,server,missing,amd,desktop,2021-23,consumer,missing,wi-fi, lcd ,NaN,1y,white,PREMIUM,student,Yes,"10,840",,12470,2650,£14547,"18,990",NaN,3820,missing,   259
2023-04-02,Laptop,macos,intel,Desktop,<2015, gaming ,Acer,Bluetooth,mini-led,a,3y,grey,PREMIUM,gamer,yes,£2323,7025,missing,£19355,12705,£2960,£3578,NA,19324,15569
2024-03-06,Laptop,CHROMEOS,NaN, desktop ,2024+,-999,APPLE,5g,Mini-Led,D,2y,white,MID-RANGE,GAMER,no,19617,11661,NA,17889,18903,£5825,18738,NA,14706,17076
06/05/2023,robot,ANDROID,intel,mini pc,2018-20,CONSUMER,apple,bluetooth,e-Ink,C,5y,WHITE,premium,Creator,yes," 8,144",missing,5892,2984,missing,19870,13654,£1276,10864,15840
19/07/2024,laptop,android,Apple, 2-In-1 ,2021-23,GAMING,lenovo,bluetooth,e-Ink, d ,3y,White,mid-range,GAMER,-999,5265,"13,269",17900,13841,4501,19227,8971,11795,6306,£19669
2024-07-24,laptop,Chromeos,amd,Ultrabook,<2015,education,Hp,BLUETOOTH,oled,A,3Y,silver,flagship,student,no,9207,12070,16456,14120,£10465,4978,32,6155,8263,6509
2022-09-06,TABLET,Chromeos,qualcomm,Mini Pc, 2021-23 ,GAMING,NA,bluetooth,oled,A,NA,white, MID-RANGE ,GAMER,yes,14557,17508,-999,15457,12754,8680,6813,NaN,3690,£6242
2021-10-03,laptop,android,Qualcomm, 2-In-1 ,2024+,education,apple,ethernet,lcd,b,5y,silver,flagship,gamer,YES,£7854,17623,123,NA,£9819,9982,8990,6727,11228,8679
2021-02-21, laptop ,Macos, INTEL ,miniPc,2015-17,consumer,Hp,missing,E-Ink,c,5y,BLACK,budget,professional,,16584,£12150,13398,6632,19554,18007,£9040,£3377,,
"Sep 21, 2021", tablet ,chromeos,APPLE,Ultrabook,<2015,NaN,hp,wi-fi,e-Ink,B,2y,silver,mid-range,student,NaN,-999,387," 4,207",12935,18929,4422,,1765,4794,
2023-07-17, SMARTPHONE ,windows,intel,missing,<2015, GAMING ,apple,bluetooth,e-Ink,b,5y,GREY,mid-range,gamer,yes,,2337,15213,7430,-999,"13,409",15833,NA,-999,600
2023-04-24,ROBOT,android,qualcomm,mini pc,2015-17,consumer,Dell,ethernet,OLED,missing,5y,SILVER,budget,student, no ,12154,10799,11757,NaN,4711,£16125," 9,732",NaN,NA,14015
2022-05-22,tablet,chromeos,intel,ultrabook,2021-23,EDUCATION,Acer,ethernet,lcd, C ,5y,NA,MID-RANGE,student,NO,"12,127",missing,12391,missing,6062,£8136,7960,16335,14819,3924
2021-02-06,robot,ANDROID,apple,mini_pc,<2015,Education,acer,Ethernet,NA,a,5y,,MID-RANGE,CREATOR,YES,£12846,2260,14649,7776,£2383,,12562,"12,311",14847,13918
NaN, laptop ,Android,NaN,Desktop,2021-23,GAMING, acer , Bluetooth ,LCD,d,2y,grey,Budget,professional,YES,14975,NA,6434,£16634,£14187,missing,£16703,17484,"12,654",3183
14/11/2023,Drone,linux,amd,ultrabook,2021-23,enterprise,asus,wi-fi, LCD ,B,2y,Silver, budget ,Gamer,no,NA,2825,9311,£123,"19,100",£14473,4255,3060," 8,793",14257
29/03/2023,drone,windows,apple,ultrabook,<2015,Gaming,lenovo,5g,NA,a,2y,silver,budget,Professional,NA,,,11185,missing,NA,missing,NA,14174," 9,133",19835
2024-01-04,smartphone,windows,qualcomm,ultrabook,2024+,education,Acer,ethernet, Oled ,C,NO WARRANTY,black,NA, Gamer ,Yes,10717," 2,404",17033,5897," 5,851",24,NaN,,10557,14843
