date, cuisine , MEAL TYPE , dietary tag ,course, Spice Level ,servingTemp, allergen ,Protein,cooking_method,Origin Country,Occasion,packaging,organic,Fairtrade,RESTAURANT CHAIN/,calories_kcal, fat g ,protein g,carbs g, sugarG ,Salt G,Cost £,serve size g?,PREP TIME MIN,Cook Time Min
2024-05-09,mexican,dessert,NA,main,mild,COLD,egg,pork,raw,france,holiday,compostable,Yes,yes,Street Food,8268,13843,11690,3374,£9042," 2,673",-999,   966,18559,missing
2024-05-14,indian,dinner, kosher ,Drink,fiery,hot, fish ,lamb,BAKED,MEXICO,Birthday,Plastic, yes ,NO,Fine Dining,£11696,£2170,12572,10735,19061,17982,9309,-999,9720,2473
NA,mexican,snack,keto,main,fiery,cold,DAIRY,pork,RAW,greece,casual,compostable,No,missing,franchise,NA,1453,1854,NA,£18129,5695,18776,NaN,£4530,-999
"Jan 07, 2022",NA,dinner,gluten-free,SIDE,Mild,room temp,gluten,chicken,raw,italy,FORMAL,glass,YES,no,streetFood,16799,£8364,NaN,£479,4756,£12932,12566,16017,9025,5329
2022-08-26,-999,dinner,Vegan,starter,hot,hot,dairy,CHICKEN,steamed,italy,casual,paper,yes,YES,FRANCHISE,5836,,2139,15779,11791,1716,NaN,745,2483,£5845
,Indian,Dinner,missing,sweet,Mild,COLD,,NaN,Baked,Italy,casual,PLASTIC,no,yes,franchise,7238,18428,11275,2249,11048,11835,£12817,8457,9268,£16474
11/09/2022,-999,,halal,sweet,mild, cold ,fish,chicken,grilled,-999,-999,metal,no,No,street_food,-999," 8,936",NA,10258,18209,10724,4278,7032,£18699,8754
2024-11-24,french,lunch,halal,STARTER,mild,Cold,dairy,chicken,Baked,france,birthday,plastic,no,NO, FRANCHISE ,"15,475",7807,£15355,"15,176",6437,16447,£1430," 2,919",11717,£6387
06/07/2024,italian,Brunch,vegan,sweet,mild,roomTemp,none,pork,FRIED,INDIA,HOLIDAY,plastic,NO,-999,fast food,13638,9741,NA,7268,£4014,£5679,728,NA," 1,805",13973
2022-07-20,NaN,Lunch, KOSHER ,starter,fiery, hot ,Egg,beef,-999,france,Birthday,metal,no,yes,fast_food,5059,54,14674,16886,19682,4744,"19,286",£9213,"10,023",£18271
2021-05-22,chinese,SNACK,Vegetarian,Main,FIERY,room_temp,nuts,NaN,BAKED,greece,birthday,COMPOSTABLE,yes, NO ,independent,NaN,NA,19808,14094,,11158,5676,£11422,2563,14852
2023-09-16,Greek, dessert ,halal, MAIN ,MILD, room_temp ,none,chicken,baked,mexico,CASUAL,PLASTIC, yes ,yes,franchise,18209,225,7745,£10478," 9,938",13889,missing,-999,18632," 5,373"
24/10/2022,French,LUNCH,VEGAN,SIDE,Mild,cold,,Tofu,grilled,italy,birthday,plastic,,no,fine dining,18556,5796,missing,"19,893",-999,19140,14589,15285,18005," 6,565"
13/07/2022,INDIAN,dessert,,side,Hot,COLD,Egg,BEANS,grilled,mexico,Formal,missing,YES,Yes,Independent,11223,2132,-999,13806,4759,NaN,14599,£10628,"16,903"," 8,707"
missing,indian,dinner,gluten-free,Side,mild,COLD,missing,beans,steamed,italy,casual,paper,YES, YES ,NaN,6161,7852,18702,19756,18279,12743,15587,£4553,9921,-999
,chinese,-999,vegetarian,drink,Mild,COLD,dairy,pork,raw, mexico ,formal,metal,YES,no,,1030,1482,£17389,4602,16966,7050,   318,6761,11069,14503
2021-06-26,FRENCH,BREAKFAST,halal, side ,medium,,FISH,lamb, RAW ,INDIA, Holiday ,glass,no,yes,independent,,£22,12243,£19211,,5815,"16,578",,8838,17950
06/12/2022,Mexican,LUNCH,VEGAN,DRINK,mild,cold,egg,LAMB,raw, ITALY ,Formal,Metal,NaN,missing,independent,13176," 3,329",NA," 3,056",19679,missing,9478,14041,NaN,1803
29/07/2023,greek,snack,HALAL,side,,hot, Dairy ,LAMB,raw,NaN,casual,paper,no,Yes,Street Food,3151,5137,£8342,10621,11434,-999,16941,17390,18156,"10,934"
31/01/2022,french,lunch,NaN,,hot,roomTemp, gluten ,Lamb,Fried,missing,casual,compostable,no,Yes,street_food,£4150,19315,£14481,£14586,£8558,NaN,"12,245",8569,£6450,16306
2023-05-15,mexican, brunch ,kosher,side,hot,ROOM TEMP,dairy,BEANS,GRILLED,china,holiday,Paper,No,-999,Street Food,£5928,11987,1160,10444,14611,,14187,,NA,10082
2021-02-21, Greek ,NA,,DRINK,fiery, COLD ,egg,Beef,baked,ITALY,casual,glass,no,yes,Street Food,10751," 3,112",£15077,"13,808",11388," 2,436",NA," 2,469",7377,"16,903"
2022-04-13,GREEK,Lunch,gluten-free,NA,medium,ROOM TEMP,FISH,Beef,raw,italy,Casual,Compostable,yes,NO,Street Food,2271,NA,211," 4,362",16057,£14485,3588,2196,£18457,9696
"Oct 16, 2022",French,dinner,missing,sweet,Mild,room temp,Nuts,Lamb,steamed,INDIA,BIRTHDAY,Metal,yes,no,Fine Dining,NA,"19,562",,£9340,NaN,10864,£3210,"19,447",18414,3840
14/04/2022,,NaN,missing,sweet,medium,Hot, soy ,pork,baked,Mexico,birthday,plastic,YES,,Street Food,10516,"14,903",12377,"11,622",7240,13655,£3890,missing,4234,18031
"Dec 05, 2021",indian,dessert, Vegetarian , starter ,,room_temp, soy ,Beef,,Italy,casual,glass,yes,NA,independent,NA,7184,17007,"16,373",£19952,9074,NaN,8029,16553,£10809
"Oct 31, 2022",FRENCH,NaN,NaN,,mild,room_temp,fish,beef,fried,Mexico,birthday,paper,no,yes,independent,9636,£13060,13900," 3,763",NaN,NaN,7641,19535,"18,371",16096
-999,chinese,snack,kosher,sweet,Mild,cold, SOY ,Beef,-999,china,casual,paper, No ,no,fastFood," 1,539",18842,£14551,16495,£4015," 8,926",18827,NaN,4514,8596
11/04/2023,chinese,Snack,KETO,main,mild,Cold, Nuts ,beans,fried,MEXICO,formal,paper,Yes,NO,Fine Dining,11910,"18,105",11062," 1,793","17,838",8885,10377,10327,NA,10432
01/04/2024,Mexican,dinner, kosher ,MAIN,Hot,COLD,dairy,beans,-999,mexico,birthday,metal, no ,no,STREET FOOD,12457,13059,missing,17001,9460,£5592,-999,£18007,17201,12686
12/06/2024,NaN,Lunch,gluten-free,Starter,MEDIUM,Cold,none,chicken,Fried,GREECE,FORMAL,PLASTIC,yes,no, street_food ,19502,16810,,3614,19134,16299,14047,7934,4659,
"Jul 04, 2021",italian,NA,HALAL,drink,FIERY,HOT,soy,BEANS,grilled,italy,BIRTHDAY, compostable ,yes,no, FAST FOOD ,13034,"11,828",13220,,,13084,13139,"14,507",NaN,2741
2023-05-29,,DESSERT,Kosher,SIDE,Medium,room temp, Nuts ,tofu,fried,ITALY,casual,METAL,-999,Yes,fine dining,2384,2443,"13,606",,11717,NA,13759,"14,247",£15917,10136
07/11/2024,CHINESE,lunch, gluten-Free ,Drink,hot,cold,Dairy,PORK,Baked,greece,holiday,paper,-999,yes,FINE DINING,,12896,NA,£2126,8052,7065,4880,3908,-999,missing
2023-08-17,missing,lunch, gluten-free ,side,HOT,hot,fish,chicken,grilled,NaN,casual,,,yes,STREET FOOD,-999,7347,1482,16152," 8,469",309,"11,424",7943,£9532,16894
28/09/2021,italian,dinner,keto,Main, MEDIUM ,missing,egg,beans,baked,GREECE,formal, compostable ,no,YES,FAST FOOD,£17545,14668,9752,18968,2179,7289," 4,792",15239,14948,2280
12/06/2023,CHINESE,LUNCH,kosher,-999,hot, hot , dairy ,beef,steamed,china,HOLIDAY,plastic,,no,NaN,£7457,4244,15120,10702,18784,6028,12542,9972," 3,703","16,727"
NA,ITALIAN,breakfast,kosher,sweet,fiery,hot, gluten ,lamb,baked,mexico,NaN,COMPOSTABLE,NO,no, fast_food ,"17,407",8843,"14,874",15903,NaN,"15,713",   288,NA,"10,007",10057
"Jun 09, 2023",italian,brunch,Vegetarian,side,hot, cold ,None,Tofu,BAKED,france,CASUAL,plastic, no ,yes,FINE DINING,£4224,13500,NA,1909,£9218,336,NA,2090,NA,£10075
12/11/2024,chinese,Dinner,GLUTEN-FREE,Side,hot,Room Temp,gluten,pork,baked,mexico,-999,missing,yes,yes,STREET FOOD,4000,16630,6164,,10113,missing,8499,15150,£17219,£16235
29/03/2024,french,lunch,gluten-free,side, mild ,room_temp, NONE ,beans, Baked ,,HOLIDAY,compostable,no,yes,streetFood,missing," 5,050",7461,,4106,£2302,16402,5070,£19526,16604
2023-04-01,italian,missing,halal,side,hot,cold,fish,beef,steamed,mexico, holiday ,plastic,yes,no,street_food,18247,19779,5576," 9,625",missing,£6433,11260,13890,12240,NA
28/07/2022, ITALIAN ,snack,GLUTEN-FREE,main,hot,cold,none,Tofu,fried,CHINA,FORMAL,Plastic,yes,no,Independent,"19,519"," 1,599",11531,18775,2657,14655,8204,NaN,£11469,8114
14/07/2021, Italian ,BRUNCH,GLUTEN-FREE,side,Hot,NaN,Dairy,PORK,steamed,Italy,casual,compostable,yes,NO,FINE DINING,NA,7158,14348,£3628,19880,missing,8718,5163,missing,"17,812"
06/07/2022,greek,snack,VEGETARIAN,main,HOT,Room Temp,fish,tofu,grilled,china,casual,GLASS,No,Yes,street_food,6651,"19,281",£1742,15601,NaN,£7208,15134,£10682,   141,£17011
24/04/2024,indian,BRUNCH, Gluten-Free ,main,Hot,ROOM TEMP,egg,tofu,NaN,china, Formal ,compostable,no,yes,FAST FOOD,NA,-999,13524,"18,058",3568,missing,6235,502,-999,12164
2023-05-23,NA,,vegan,-999,hot,roomTemp, NUTS ,TOFU,grilled,greece, formal ,glass,Yes,NaN,INDEPENDENT,7660,£18075,13153,8690,10436,8686,5170,£15753,14719,3213
"Jul 21, 2024",French,-999,-999,SIDE,fiery,room temp,SOY,chicken,missing,GREECE,casual,metal,yes,No,INDEPENDENT,7438,£11464,NaN,NA,£4750," 3,115",£7,13574,16701,12762
23/03/2023,italian,Snack,KOSHER,DRINK,hot,cold, gluten ,beans,steamed,china,casual,glass,no,yes,FAST FOOD,£2361,£11222,NA,   982,12227,,12246,5969,321," 1,741"
17/03/2023,italian,-999,VEGAN,STARTER,fiery,hot,soy,tofu,-999,greece,holiday,Glass,NO,NA,fineDining,3037,5716,17481,£9132,NA,7521,17355,"10,033",6011,£12110
2021-11-21,ITALIAN,lunch,VEGETARIAN,side,fiery,roomTemp,missing,beef,Fried, india ,Formal,Paper,NO,NO,missing,£12482,£8195,4974,£12469,17831,9818,£4264,16352,£4381,4245
28/11/2022,INDIAN,LUNCH,NaN,side,MILD,COLD,none,Beans, steamed ,GREECE,Holiday,metal,missing, Yes ,FRANCHISE,12757," 1,191","11,425",£16366,9538,NaN,"10,721"," 1,507",£8465,5794
2022-01-19,Chinese,dinner,gluten-free,drink,fiery,room_temp,None,PORK,raw,mexico,formal,COMPOSTABLE,NA,NO,independent,-999," 6,124",£13161,18956,£19669,2269,5727,15045," 7,926"," 9,437"
NaN,italian,DESSERT,missing,side,hot,NA,soy,lamb,grilled,india,,plastic,No,no,Street Food,1463," 7,524",624,NA,7250,4548,,£4654,7709,4534
2023-03-31,Italian,dessert, Kosher ,starter,NA,HOT,none,CHICKEN, Baked ,greece,holiday,compostable,YES,no,independent,"18,539",4225,14050,£9911," 5,075",missing,5944,NaN,£8509,"16,246"
NA,GREEK,DINNER,GLUTEN-FREE,drink,medium,Room Temp,soy,lamb,Grilled, Italy ,Formal,Compostable, yes ,no,franchise,£16999,10680," 6,361",15067,"18,169",14318,17257,£11109,7835," 7,272"
2022-06-09,mexican,Breakfast,halal,Sweet,MEDIUM,hot,FISH,Lamb,steamed,greece,CASUAL,plastic,no,YES,Fast Food,9041,17568,17318,5026,£11020,9443,£1506,"15,339",4688,397
"Sep 05, 2023",greek,Breakfast,missing,sweet,mild,Cold,-999,LAMB,fried,-999, formal ,plastic,NO, no ,Street Food,£2255,2651,missing,18390,12012,14659,9763,"14,452",£7253,£2554
NaN,Italian,missing,kosher,SIDE,FIERY,hot,dairy,lamb,Fried,greece,birthday,METAL,yes,missing,Fine Dining,15467,13959,,NaN,19359,"12,185",1071,12061,£16721,12134
2021-12-29,-999,lunch,HALAL,sweet,mild,Room Temp,fish,-999,steamed,india,HOLIDAY,plastic,Yes,no,STREET FOOD,£4092,11895,6986,799,15970,19092,£7087," 1,894",2720,£15781
18/08/2023,indian,BREAKFAST,Vegetarian,SWEET,Hot,room_temp,FISH,chicken,NaN,china,Formal, glass ,no,No,FRANCHISE,4346," 2,152",,£16213,£7007,3861,£12117,17664,£14134," 7,795"
2021-09-05,greek,DINNER, vegan ,Sweet, Mild ,cold,-999,beans,STEAMED,ITALY,holiday,metal,missing,,,15245,NaN,7464,£10607,£7011,19814,14225," 2,226",19704,890
2021-01-31,missing,BRUNCH,missing,sweet,MEDIUM,roomTemp,NUTS,beef,GRILLED,Italy,birthday,paper,YES,yes,street food,£102,10903,5921,300,5770,10973,NA," 7,065",19830,15875
29/05/2024,chinese,breakfast,vegan,side, hot ,room temp,-999,-999,grilled,GREECE,birthday,glass,,-999,streetFood,1082,4708,4177,19670,8734,    11,11998,8943,12036,19280
2022-08-02,chinese,dinner,missing,sweet,Hot,hot,Gluten,tofu,RAW,GREECE,BIRTHDAY,GLASS,no,NO,fast food,£10521,6707,19353,£4075,14120,-999," 3,134",£14220,£19952,"10,535"
11/06/2024,greek,Dinner,vegan,starter,HOT,COLD,fish,tofu,grilled,India,formal,compostable,Yes,yes,Street Food,£13191,4403,9391,19858,£19830,6390,18442,," 1,811",£6516
"Apr 11, 2023",NaN,dinner,Halal,DRINK,fiery,NaN, soy ,beans,baked,mexico,formal,metal, yes , yes , STREET FOOD ,£12013,NaN,17810,8811,,16746,-999,9448,"12,872","14,142"
06/08/2023,french,dessert,vegan,SIDE,NA, room_temp ,soy,missing,NA,mexico,casual,Metal,yes,missing,,9283,13780,4080,10489,562,2786,-999,-999,5385,missing
23/01/2024, MEXICAN ,Lunch,halal,drink,medium,Cold, nuts ,Tofu, FRIED ,INDIA,holiday,NA,-999,missing,fine_dining,16029,15447,19500,NaN,11912,16511,missing,NaN,537,1189
05/07/2021,Greek,dinner,VEGETARIAN,NaN,fiery,COLD,Soy,lamb,baked,GREECE,casual,NaN,no,Yes,fineDining,,2269,15926," 4,363",NA,5625,1168,6252,4345,1339
01/04/2023,chinese,breakfast,Halal,sweet,NaN,hot,EGG,chicken,Baked,-999,birthday,COMPOSTABLE,no,no,INDEPENDENT,£8,,8037,4940,missing,8239,16122,"14,410",NaN,19088
12/07/2022,GREEK,DINNER,vegetarian,drink,hot,NaN,dairy,BEEF,fried, greece ,missing,metal,no, no ,independent,19958,19845,£7488,4704,£14983,14329,10588,7701,£10423,7607
30/12/2021,-999, Dessert ,kosher,-999,MEDIUM,missing,NUTS,Beef,NaN,france,holiday,missing,NO,no,independent," 3,051",£780,522,15524,8734,8059,NA,," 2,861",£17755
24/02/2023,chinese,dessert,vegan,MAIN,mild,COLD,soy,TOFU,Fried,india,holiday,compostable,no, yes ,-999,1466,"18,306"," 9,924","18,987",6089,11120,6282,11705,missing,£11519
2022-09-22,-999,dinner,keto,main, Fiery ,ROOM TEMP,EGG,PORK,,india,casual,PAPER,no, YES ,INDEPENDENT,£6285,"19,090",1387,9436,10966,10142,7190,1395,£12565,3871
2023-06-06,greek,dessert,Vegan,sweet,medium,room temp,egg,tofu,steamed,china,casual,Glass,YES,yes,Independent,6352,10405,16897,9849,888," 3,235",19854,7226,8242," 1,563"
03/05/2021, chinese ,BRUNCH,vegetarian,Side,Medium,HOT,NA,CHICKEN,Fried,MEXICO,Birthday,plastic,yes,yes,franchise,3964,18332,14677,£10250,9214,£19316,18351,"15,737",missing,15281
17/01/2023,italian,breakfast,vegetarian,starter, Fiery ,Room Temp,soy,BEEF, baked ,Greece,Holiday,PAPER,-999,No,-999,697,"17,377",7545,9762,,2362,£4140,16950,4911,£7220
2023-12-05,mexican,Brunch,vegan,,hot, hot ,SOY,Beef,raw,China,Holiday,Glass,NO, no ,fine dining,£18233,£11429,£1806,-999,6894,,£4234,missing,"18,152",8692
04/01/2023,,Dessert,keto,NaN,medium,cold,gluten,Beans,GRILLED,france,formal, Metal ,YES,no,Fine Dining,15241,2743,17436,-999,£7852,13725,7840," 8,116",£9776,4192
"Oct 28, 2023",chinese,NA,keto, Sweet ,Fiery, cold ,NaN, chicken ,FRIED,mexico,holiday,METAL,YES,NO, fine dining ,missing,4046,£14702,15926,NA,9391,3815,"11,921","14,198",4210
03/07/2021,indian,dinner,halal,missing,Fiery,roomTemp,none,lamb,GRILLED,-999,casual,glass,missing,yes,fineDining,-999,13535,15128,6391,13735,11911,14760," 4,726",5947,8151
2023-11-30,italian, DESSERT , gluten-Free ,drink, mild ,ROOM TEMP,missing,lamb,Raw, greece ,birthday,paper,No,-999,franchise,£13557,15667,£15125,£15735,9913,18540,8005,£2474,3935,£15490
2022-02-11,CHINESE,LUNCH,vegetarian,main,MILD,Cold,nuts,lamb,grilled,missing,holiday,PAPER,yes,no,NaN,15746," 3,771",12277,NA,12235,10235,£9194,"17,317"," 9,324"," 6,484"
03/06/2021,INDIAN,Breakfast,vegetarian,Starter,medium,cold,fish,beef,grilled,India,-999,Compostable,,yes,Fast Food,NA,missing,£6148,17589,18197,,17843,8651,£9279,£10311
2024-04-21,indian,Dessert,HALAL,side,missing, hot ,Egg, Chicken ,grilled,GREECE,Birthday,paper,YES,no,franchise,17848,8691,17870,15871,NaN,18687,13967,"12,311",10923,£9372
08/04/2024,-999,NA,Halal,main,,missing,gluten,beef,,france,CASUAL,PAPER,yes,no,fastFood,"18,111",£14722,17430,NA,12058,NA,£6851,10436,£11845," 7,137"
"Nov 27, 2024", greek ,brunch,NA,drink,HOT,cold,Gluten,beans,baked,GREECE,Casual,COMPOSTABLE,No,no, fine_dining ,4109,1809,"15,804",10798,807,-999,3076,1509,9541,13282
30/08/2021,indian,brunch,gluten-free,STARTER,NaN,Cold,Fish,lamb,fried,china,birthday,PAPER,Yes,missing,Fast Food,10310,,16950,,8269,missing,13709,10680,missing,£11327
30/11/2023,French,brunch,Gluten-Free,missing,Mild,HOT,soy,Beans,Baked, India ,HOLIDAY,Metal,no,yes,Franchise,13427,6359,,NA,£5785,13534,2008,11036,4164,"15,467"
-999,greek,snack,gluten-free,side,fiery,roomTemp,soy,lamb,Grilled,INDIA,Formal,Plastic,NO,yes,INDEPENDENT,14363,1085,11695,£18905,15909,17769,17115,NaN,9251,"18,276"
21/05/2022,missing, breakfast ,kosher,main,FIERY,hot,missing, lamb ,baked,INDIA,casual,PLASTIC,Yes,YES,street food,19487,16944,9959,£13914,1951,2474,£16418," 6,426"," 7,253",14148
18/02/2021,,snack, VEGETARIAN ,sweet,fiery,Hot,egg,Tofu,Baked,MEXICO,casual,metal,No,NO,fast food,19006," 8,888",11932,6838,£3203,NA,missing,£8376,14806,"14,532"
24/06/2021,french,dinner,Vegan,sweet,Hot,hot,fish,Beef,steamed,-999,-999,paper,yes,NO,NA,NaN,15980,"17,541",19093,"13,605",14757,£15166,7631,17965,
01/09/2024,CHINESE,SNACK,vegetarian,missing,fiery,hot,missing,lamb,grilled,NaN,HOLIDAY,METAL,yes,No,FAST FOOD,6438,2671," 3,823",,3006,9734,£1558,£12979,10814,862
2023-10-09,,dessert,Keto,drink,Medium,Cold,FISH,BEANS,raw,France,CASUAL,METAL,YES, yes ,street_food," 1,956",13503,12667,3099,"18,503",NA,17251," 4,269",£14291,"15,557"
20/08/2021,FRENCH,-999, halal ,starter,hot,Hot,FISH,Beef,baked,Mexico,formal,Paper,NO,no,fine_dining,1092,620,£11064,NA,11831,£12231,17092,NaN,6595,6720
28/07/2023,french,BRUNCH,Keto,SWEET,medium,roomTemp,Nuts,tofu,fried,FRANCE,FORMAL,COMPOSTABLE,NO, YES ,independent,missing," 2,036",16408,12204,3240,£2896,,"19,427",10751,-999
2021-02-23,GREEK,BRUNCH,vegan,side,fiery,roomTemp, nuts ,pork, fried ,NA,NA,Metal,,no,Fast Food,8621,16146,17674,£9432,-999,"17,604",-999,29,6772,"10,483"
"Aug 14, 2022",greek,dinner,Halal,Starter,Mild,Room Temp,none,chicken,-999,Mexico,-999,PLASTIC,NA,yes,Fine Dining,4618,£14044,4017,£18349,19330,5363,3561,1445,14220,£6810
06/02/2023,Italian,dinner, Halal ,sweet,Hot,Room Temp,Nuts,chicken,steamed,france,Formal,Plastic,yes,no,street_food,missing,16056,15594,3391,"17,044",13151,18582,13099,"17,364",5321
31/03/2023,italian,lunch,VEGETARIAN,STARTER, MILD ,hot,Nuts,tofu,baked,CHINA,holiday,plastic,no,yes,independent," 5,368",NA,-999," 7,788",10977,,£12398,19976,£19473,missing
2021-01-03,chinese,lunch,halal,sweet,medium,HOT,DAIRY,PORK,fried,india,formal,GLASS, yes ,yes, FINE DINING ,491,14421,3550,6722,"12,211"," 9,015",NaN,NaN,9829,13647
2022-01-05,French,lunch,Kosher,sweet,hot,roomTemp,soy,Lamb, steamed ,italy,Birthday,metal,No,No,fastFood,£8704,"15,296",NaN,11837,12461," 4,507",18098,4272,8198,359
2024-05-01,italian,Dessert,Kosher,SWEET,,hot,nuts,chicken, FRIED ,ITALY,Birthday,Compostable,No,yes,NA," 7,160",19233,3860,4499,,£16900,13881,18926,£6889,387
2022-10-01,MEXICAN,BRUNCH,KOSHER,starter, FIERY ,ROOM TEMP,gluten,beef, fried ,greece,casual,compostable,Yes,yes,independent,15486,14400,"13,577","17,790",£11993,2697,"11,218",£7001," 7,984",£8677
2021-12-12,French,Brunch,VEGAN,NaN,Fiery,room_temp,None,NA,NA,india,formal,compostable,no,no,FINE DINING,,," 3,572",missing,missing,19866,£635,588,11761,NaN
27/02/2022,indian,SNACK,NaN, Side ,HOT,HOT,NaN,lamb,steamed,china,birthday,glass,NO,-999,STREET FOOD,missing,10872,4747,£6130,"19,640",5030,17249,,4292,8713
2024-01-11,NaN,brunch,Halal,SWEET,hot,Hot,missing, beans ,baked,china,holiday,metal,NA,no,fast_food,missing,13823,,3075,4438,,£5144,15522,14830,"14,608"
2024-01-06,Indian,breakfast,Kosher,sweet,mild,hot,dairy,beans, fried ,India,missing,plastic,yes,NO,fineDining,19005,"12,697",NA,5382,4718,8590," 2,540",£14939,13311,8816
19/04/2021,GREEK,snack,KETO,SWEET,NA,roomTemp,NUTS,LAMB,grilled,INDIA,birthday,metal,yes, no ,,17256,£12693,12271,11375,7971,£6991,13047,"18,575",10171,"12,244"
NA,GREEK,brunch,NA,main,HOT, roomTemp ,None, pork ,grilled,Greece,BIRTHDAY,Compostable,missing,no,fast_food,6882,15795,14441,"10,667",-999,12728," 9,179",1301,NaN,
2024-11-26,CHINESE,dinner,halal,-999,fiery,COLD,Nuts,lamb,BAKED,india,holiday,plastic, yes ,no,FRANCHISE,9695,£4568,15776,£9977,8111," 1,828",12734,11426,£12359,11215
03/12/2023,FRENCH,DINNER,keto,side,medium,hot,gluten,TOFU,steamed,greece, formal ,PLASTIC, yes ,no,franchise,3761," 7,237",£11111,1865,15734,18640," 8,740",missing,16744,15761
23/10/2022, Mexican ,Brunch,keto,Drink,MILD,Hot,NaN,beef,STEAMED,MEXICO,BIRTHDAY,metal,NA,NO,Independent,18970,19250,missing,4695,16397,19422,2696," 4,917"," 8,429",16137
20/08/2021,greek, dessert ,keto,sweet,mild,-999,fish,Lamb,fried,NaN,casual,Metal,no, no ,missing,15854,18039,9358,£12517,£9805,"15,559",10709,12183,,£8120
30/04/2024,indian,-999,halal,STARTER,fiery,room temp,soy,chicken,fried,mexico,formal,METAL,no,Yes,FINE DINING,7958,£17303,£10462,3952,8608,2263,£13358,15819,8533,7376
"May 13, 2024",french,breakfast,keto,Side,MILD,cold,Nuts,pork,fried,CHINA,Birthday,paper,yes,yes,Independent,19762," 5,921"," 7,421",6293," 3,725",1122,"14,401","17,412",869,2569
25/03/2023,CHINESE,NaN,halal,main,Mild,hot,FISH,Chicken,RAW,NA, holiday ,METAL,Yes,YES,street_food,2399,19123,NA," 6,950",6815,-999,12191,14046,15282," 8,217"
"Jan 13, 2021",mexican,missing,VEGAN,starter,mild,cold,NONE,lamb,GRILLED,India,CASUAL, metal ,no, no ,fast_food,19477,4843,1162,"15,763",NaN,10541,,18255,18738,£18921
"Aug 11, 2021", MEXICAN ,Breakfast,gluten-Free,SWEET,-999,Room Temp,none,tofu,grilled,ITALY,Formal, Plastic ,No,YES,Fast Food,10557,15224,2002,£19847,£12926,,10238,13899,8690," 9,876"
04/05/2023,French,breakfast, Gluten-Free ,drink,Hot,room temp, egg ,Beans,missing,mexico,birthday,PAPER,no,NO,street_food,2331,19357,9184,£16898,"11,947",7682," 8,197",5718,3577,"15,666"
27/02/2021,NA,dessert,-999,starter,MEDIUM,hot,none,Pork,FRIED,INDIA,Birthday,paper,YES,NaN,fast food,-999,6039,1093,£9649,12889,-999,,2026,5162,£7978
