 date , Breed ,colour,COAT LENGTH,pattern,eye_colour, vaccination_status ,microchipped?,age band?,indoor/Outdoor, favouriteToy ,temperament,food preference?,Litter Type/,Adoption Source,health issue,weight kg,age_months,LENGTH CM, height_cm ,daily calories,vet visits/,litterUsedKg,Play Sessions/Week, NAPS/DAY ,cost_£/month
2022-06-21,BRITISH SHORTHAIR,grey,long, bi-colour ,COPPER,Not Required,YES, geriatric ,outdoor, ball ,friendly,raw,SILICA,Online,ALLERGY,£19292,663,17688,-999,2786,-999,4585,7936,8268,2376
2024-11-28,,Orange,MEDIUM,SPOTTED,GREEN,Up-To-Date,no,mature,Indoor,STRING,lazy,mixed,NA,stray,-999,-999,17500,6505,-999,8112," 1,905",£18,17729,NaN," 8,841"
20/05/2023,bengal,tortoiseshell,Hairless,pointed,Copper,not required,yes,mature,both, laser pointer ,AGGRESSIVE,Mixed,non-Clumping,SHELTER,dental,14604,£13477,3022,6440,11087,£8608,-999,£16684,"19,650",2460
11/03/2023,Ragdoll,White,-999,spotted,odd-Eyed,Up-To-Date,no, senior ,both,BALL,friendly,WET, Non-Clumping , shelter ,OBESITY,20000,£3186,2270,-999,,14885,"14,053",NaN,   519,£11066
18/05/2024,Tabby,black,missing,Pointed,BLUE,up-to-date,YES,PRIME,indoor,-999,PLAYFUL,RAW,non-clumping,breeder,Allergy,   362,10010,NaN,15023,£6979,15631," 4,302",2586,9988," 2,050"
30/05/2023,ragdoll,-999,long,spotted,green,Up-To-Date,Yes,JUNIOR,BOTH,-999,lazy,RAW,non-clumping,stray,NONE,10461,£1978,£12033,-999,18112,14976,6550,3884,11069,£18224
2021-04-18,persian,NA,long,TABBY,-999,up-To-Date,no,,both,Ball,shy,dry,NaN,breeder,obesity,9273,15622,,£14747,6472,18657,8888,£14496,10245,13061
"Sep 10, 2023",Bengal,orange,Long,,COPPER, overdue , no ,senior,outdoor,,aggressive,wet,recycledPaper,Breeder,ALLERGY,8119,missing,6150," 3,828",16021,£17576,3180,7484,"14,765",17123
2021-09-22,MAINE COON,cream,Short,solid,odd-eyed,missing,No,prime,-999,feather_wand,Playful,dry,NA,Online,obesity,-999,missing,14878,-999,12100,3868,£16941," 5,242",4279,8347
15/09/2023,SPHYNX,orange,NA,Spotted,copper,NA,NA,mature,outdoor,string,aggressive,NA,non-clumping,SHELTER,allergy,NaN,NaN," 8,853",8613," 8,349",14462,,11910,19742,12939
03/01/2022,PERSIAN,missing,short,,GOLD,Overdue,no,Senior,both,FEATHER WAND,,wet,recycled paper,SHELTER,arthritis,£12171,£17946,£7428,16915,£770,12996,   394,19435,8781," 7,682"
19/05/2021,persian,-999,medium,SOLID,gold, UNKNOWN ,yes, PRIME ,-999,Ball,Aggressive,mixed,-999,FRIEND,arthritis,18206,£9411,10263,missing,4029,NA,17886,10599,£10476,12919
15/09/2022,TABBY,CREAM,short,pointed,blue,not required, no , mature ,Indoor,ball,friendly,DRY,non-Clumping,shelter,ALLERGY,10931,£18807,19763," 6,620",13180,17322,12143,7227,,645
15/02/2023,ragdoll,calico,Short,Bi-Colour,gold,overdue,YES,kitten,outdoor, string ,Playful,Raw, Recycled Paper ,shelter,none,13257,360,10292,13021,17103,15449,5638,"11,783",£7177,10018
2023-03-28,SIAMESE,brown, medium ,pointed,GREEN,notRequired,Yes,senior,-999,string,lazy,dry,recycledPaper,friend,,8066,10949,17113,£61,NaN,"19,069",7266,£4794,£2152,9050
2022-11-06,NaN,black,-999,tabby,green,unknown,,mature,Outdoor,Feather Wand,LAZY,DRY,Silica,breeder,NONE,4116,12968,"19,474",£12430,-999,17186,NaN,17551,4873,13632
2023-05-12,persian,NaN,Long,Solid,Green,up-to-date,yes,MATURE,Outdoor,laserPointer,missing,-999,silica,Stray,none,£2174," 9,300",2866,9863,16442," 3,452",£19921,7942,19149,11285
missing,SIAMESE,black,short, spotted ,COPPER,unknown,NaN,junior,outdoor,ball,Aggressive,Wet,NA,online,arthritis,   103,11772,13684,12220,15991,£9906,£17731,10641,"16,159",2917
22/12/2021,ragdoll,grey,HAIRLESS,bi-colour,Odd-Eyed,notRequired,missing,Kitten,both,Ball,FRIENDLY,DRY,recycledPaper,Breeder, DENTAL ,7002,4781,11725,8757,5620,16699,8696,missing,£1950,16653
2024-09-01,bengal,cream, hairless ,spotted,GOLD,up-to-date,No,geriatric,both,BALL,Lazy, mixed ,clumping,friend,NONE,11252," 8,416",17680,18369,,16390,£16860,4706,18632,10676
09/05/2021,British Shorthair,Black,,POINTED, copper , unknown ,no,kitten,missing,catnip mouse, aggressive ,raw,Recycled Paper,Online,ALLERGY,3138,12122,NA,3527,6407,NaN,19569,NA,15508,-999
02/07/2021,MAINE COON,tortoiseshell,medium, SPOTTED ,GOLD,unknown,YES,PRIME,OUTDOOR,catnip mouse,NaN,RAW,NON-CLUMPING,shelter,dental,NaN,16431,1478,7797,£9221," 3,102",   773,7061,18989,8390
"Aug 17, 2024",Tabby,orange,short,pointed, copper ,up-to-date,YES,senior,BOTH,missing,lazy,raw,Clumping,shelter,allergy,£18109,"16,582",14767,"12,296",£12129,8858,1665,19996,£12673,NA
29/12/2023,Persian,cream,Hairless,Spotted,NaN,Not Required,yes,geriatric,Both,BALL,shy,dry,non-clumping,friend,DENTAL," 7,019",14678,12915,NaN,1150,£15943,18812,15206,13327,5426
-999, bengal ,TORTOISESHELL,long,spotted,NaN,Not Required,NO,senior,outdoor,laser_pointer,, Mixed ,Recycled Paper,breeder, DENTAL ,£17733,,11092,7609,£11125,17363,14265,13447,£4443," 7,376"
2022-11-05,,CALICO,MEDIUM,spotted,GOLD,unknown,YES,prime,indoor,catnipMouse,shy,Dry,recycled_paper,BREEDER,missing,15578,£5421,NaN,£18921," 4,442",19596,£10439,7759,17215,12091
2021-12-18,NaN,tortoiseshell,medium,SPOTTED,-999,overdue,YES,prime,both,NA,shy,-999,SILICA,shelter,none,6098,17635,£11930,19930,11489,," 2,632","11,880",141,
2024-05-31,bengal,orange,HAIRLESS,tabby,Green,Up-To-Date,yes,prime,OUTDOOR,feather_wand,Friendly,-999,recycled_paper,friend,None,"12,234",2862,17220,18261,15317,5479,7897,-999,£13076,6781
2023-02-08,siamese,CALICO,medium,Pointed,gold,overdue,missing,Prime,Outdoor,FEATHER WAND,AGGRESSIVE, raw ,Recycled Paper,Shelter,Dental," 6,533",16117,3549,£9485,£6452,£3044,£9981,8556,607,18435
03/08/2024,TABBY,tortoiseshell,short,solid,gold,overdue, No ,KITTEN,outdoor,CATNIP MOUSE,lazy,mixed,recycled_paper,SHELTER,ARTHRITIS,17379,missing,2789,"19,304",1838,"14,361",2029,12522,£5655," 8,978"
"Nov 05, 2022",Maine Coon,calico,hairless,pointed,gold,NOT REQUIRED,yes,senior,Indoor,laserPointer,playful,Mixed,CLUMPING,shelter,NONE,"16,417",6515,1091,3399,"12,663",13915,£17240,missing,3789,£13986
24/01/2023,persian,calico,SHORT,pointed,gold,,missing,KITTEN,outdoor,FEATHER WAND,Aggressive,wet,NA,breeder,missing,7627,13079," 2,944",14318,"11,691"," 6,116",£10194,11476,10918,£14849
10/12/2022,SIAMESE,Brown,Hairless,Pointed,blue,up-to-date,NO,junior,INDOOR,string,missing,NA,clumping,-999,none,5480,£2742,NA,6049,£18537,missing,,"11,291",70,19670
"Nov 03, 2022",persian,Brown,hairless,Pointed,NA, Not Required ,yes, prime ,OUTDOOR,BALL,friendly,dry,silica,friend,dental,7682,19669,9368,£16985,14216,-999,"12,362",NaN,£13575,6027
2024-10-30,SPHYNX,CALICO,short,bi-colour,green,unknown,yes,junior,indoor,-999,lazy, Dry , non-clumping ,BREEDER,NaN,15631,,15395,£11741,£12767,15493,12999,8584,3798," 9,136"
"Nov 01, 2023",maine coon,black,long,Spotted,green,up-To-Date,yes,Junior,OUTDOOR, ball ,PLAYFUL,raw,NA,breeder,NONE,£9069,15347,5394," 2,790",8940,10590,7877,3731,3281,missing
2023-09-22,tabby,Black,long,solid,odd-eyed,not required,No,KITTEN,indoor,Catnip Mouse, Shy ,raw,Silica,ONLINE,obesity,17586,6408,"16,927","19,458",2768,12773,18555,2086,"19,006",£19967
"Jan 27, 2022",Ragdoll, Brown ,Hairless,pointed,green,Unknown,no,KITTEN,both, string ,aggressive, Wet ,recycled_paper,BREEDER,arthritis,19130,   370,14973,7686,13006,3650," 2,274",17325," 5,603",4937
, siamese ,cream,Long,pointed, blue ,,yes,NA,Indoor,catnipMouse,lazy,mixed,clumping,online,dental,165,£356," 1,962",17415," 4,617","10,510",17653,4357,£15285,13614
28/02/2021,tabby,GREY,Short,spotted,COPPER,UP-TO-DATE,no,NA, Outdoor , laser pointer , AGGRESSIVE ,mixed,clumping,shelter,obesity,6509,13677,18731,10613,£1764,3513,8742,NA,-999,"10,270"
10/10/2022,sphynx,NA, MEDIUM ,TABBY,GREEN,not_required,Yes,prime,outdoor,ball,FRIENDLY,dry,Silica,friend,arthritis," 4,561",710,£7978,7032,£14763,17616,13870,5087,£14305,3296
2024-08-12,bengal,NaN,short,Tabby,odd-Eyed, up-to-date ,yes,Junior,indoor,feather_wand,lazy,Dry, RECYCLED PAPER , shelter ,none,4008,2613,," 3,159"," 8,603",13944,12688,NaN,17821," 3,268"
26/03/2022,missing, cream ,hairless,solid,copper,up-to-date,yes,mature,outdoor,laser_pointer,Aggressive, RAW ,recycled_paper,online,allergy,4724,,£17581," 5,944",15038,19781,19287,2184,10441,10968
2021-11-06,-999, cream ,Short,spotted,ODD-EYED,Up-To-Date,no,geriatric,both,missing,aggressive,,Silica,stray,Obesity,NA,4632,NA,7860,6175,19197,£12023,13014,-999,5560
"Oct 12, 2021",Persian,BROWN,NaN,TABBY,GOLD,Unknown,yes,,Both,String,lazy,wet,Clumping,-999,arthritis,17387,2809,16838,£14202,NaN,3348,7683,38,7122,17147
2024-06-23,Sphynx,white,hairless,pointed,green,up-to-date,NO,NaN,Both,STRING,Aggressive,mixed,silica,breeder,allergy,4012,8904,NA,NaN,NaN,6835,NA,19639,£9619," 8,360"
missing,maine coon,grey,Long,bi-colour,gold,unknown,No,NA,Both,string,lazy,Raw, Non-Clumping ,online,NaN,1910,4679,5227,£3453,missing,,7249,£15532,8390,£13118
"Dec 14, 2023", TABBY ,Calico,MEDIUM,solid,green,overdue,no,missing,Both,featherWand,playful,wet,clumping,missing, Allergy ,NaN,£6151,£17851,2118,16797,2602,1204,9240,16424,   767
2022-03-12,SPHYNX,-999,medium,SPOTTED,Blue,missing,YES,,NA, LASER POINTER ,lazy,Raw,,online,allergy,£2631," 9,506",£3537,10396,11710,547,NaN,"10,417",16048,10357
11/10/2021,-999,, Long ,Tabby,green,overdue,NO,geriatric,INDOOR,NaN,shy,Wet,clumping,Stray,Obesity,£15762,-999,7877," 9,975",15200," 6,171",6353,18299,NaN,19996
20/02/2022,NA,Orange,long,,copper,unknown,yes,PRIME,indoor,Feather Wand,SHY,mixed,recycled paper,shelter,NaN,,4903,missing," 9,415",£2306,3681,NA,"17,373",2194,NA
"Aug 27, 2022",persian,grey,HAIRLESS,Solid,ODD-EYED,not required,yes,geriatric,Outdoor,CATNIP MOUSE,lazy,wet,-999,Shelter,Dental,NaN,9359," 4,586",7269,£15716,16893,15650,NA,12885,-999
26/08/2022,SPHYNX,tortoiseshell, SHORT ,POINTED,copper, not required , no ,geriatric,NaN,catnipMouse,shy,RAW,missing, STRAY ,none,£16841,3033,6439,"12,147",NA," 5,179",12648,18489,19350,811
2022-09-24,siamese, calico ,NA,bi-Colour,gold,Up-To-Date, No ,geriatric,both,string,Shy,Dry,NON-CLUMPING,Online,arthritis,671,,12781,12302,NA,331,18522,2323,3767,-999
20/04/2021,SIAMESE,cream, hairless ,solid,green,notRequired,no,prime,OUTDOOR,Feather Wand,playful,NaN, non-clumping ,,obesity,7958,13659,1070,"10,686",7965,15137,17706,13089,18286," 6,913"
2024-01-03,SPHYNX,NA,NaN,tabby,blue,missing,yes,GERIATRIC, Both ,-999, friendly ,mixed,Recycled Paper,Online,dental,14002,-999,2345,1875,14814,1137,431,6154," 4,477",5524
"Sep 02, 2024",, Black ,short, tabby ,green,not required,no,prime,INDOOR,string,lazy,DRY,Recycled Paper,Stray,Arthritis,3296,£14504,17004,£14572,18543,£14256,8761," 5,706",£12436,19174
24/01/2024,MAINE COON,white,medium,spotted,Gold,notRequired,no,JUNIOR,Both,ball,Shy,MIXED,non-Clumping,Friend,none,£18474,15515,18864,6171,11789,£6106," 4,851",5932,-999,£18483
2024-05-01,British Shorthair,Cream,medium,NA,odd-eyed,Unknown,NaN,GERIATRIC,-999,NaN,playful,dry,recycledPaper,Shelter,DENTAL,£12814,6163,4488,£6119,-999,17992,5047,15751,14328,1129
2023-10-16,persian,tortoiseshell,,,gold,OVERDUE,-999,kitten,indoor,missing, SHY ,Dry, Non-Clumping ,ONLINE,NaN,"19,496",£19024,11407,"14,517",£6052,NaN,10005,   981," 7,531",7355
01/10/2022,BRITISH SHORTHAIR,white,missing,BI-COLOUR,GOLD, Not Required ,missing, prime ,indoor,Catnip Mouse,LAZY,NA,Clumping,breeder,allergy,13362,9331,1055,17051,£19722,£15409,5958,1780,4223,685
2021-09-17,NA, calico ,medium,solid,odd-eyed,missing,yes,geriatric,BOTH,catnip_mouse,friendly, WET ,missing,friend,NA,14075,NA,16680,,£18710,19706,NA,£12668,£12836,"16,544"
2023-07-16,sphynx,brown,medium, pointed ,blue,NA,missing,KITTEN,INDOOR,Catnip Mouse,FRIENDLY,wet,non-clumping,shelter,Obesity,NA,"14,275",£7270,£11007,14631,£8614,2018,£3784,4492,8662
02/12/2022,tabby,cream,long,SPOTTED,Blue,UP-TO-DATE,yes,Mature,both, Laser Pointer ,LAZY,mixed,clumping,shelter,Arthritis,"15,127",4637,£13875,"16,099",17851,missing,1762,4567,656," 1,305"
2021-07-26,NaN,WHITE,-999,SPOTTED,odd-eyed,overdue,No,Prime,Outdoor, string ,lazy,dry,silica,friend,arthritis,10772,-999,3009,4097,£10145,16394,13959,"16,167",-999,16137
2023-01-28,SIAMESE,CREAM,long,pointed,Odd-Eyed,up-to-date,no,senior,indoor,laser pointer,,Dry,NON-CLUMPING,shelter,none,4839,"11,543",1042,6898,15124,9686,18119,4469,10013,8693
15/05/2023,Bengal,ORANGE,long,Pointed,ODD-EYED,-999,yes,JUNIOR,Indoor,laser pointer,Friendly,mixed,non-Clumping,FRIEND,none,12643,"10,524",3578,17882,17617,," 1,065",16615,19593,6747
,British Shorthair,tortoiseshell,medium,spotted,ODD-EYED,unknown, no ,prime,outdoor,ball,friendly,wet,clumping,friend,Arthritis,12019,12311," 2,368",missing,16942,5791,13421,1092,19003,£10561
14/06/2022,bengal,WHITE,long,SOLID,Odd-Eyed,-999,yes,NA,indoor,laser_pointer,aggressive,wet,silica,stray,Obesity,7501,11222,2226,17024,-999,£10208,5175,£1785,15156,17419
18/09/2022,sphynx,Tortoiseshell,Long,tabby,odd-Eyed,not required,-999,NaN,Indoor,-999,playful,wet, silica ,Friend,Obesity,10205,NA,2714,£5378,4737,154,£4672,,11531,
2023-04-08,tabby,,LONG,tabby,Gold,not_required,NO,prime,missing,ball,Playful,dry,SILICA,breeder, dental ,NaN," 2,453",11619,3030,16437,19905,16852,11127,6875,6726
2023-07-06,PERSIAN,Cream,short,spotted, BLUE ,up-to-date,no,mature,OUTDOOR,string,aggressive,MIXED,clumping,BREEDER,ARTHRITIS,314,18517,NaN,731,3692,4461,£649,16845,9932,1145
16/09/2023,tabby,,LONG,Solid,NA,not_required,no,Geriatric,Outdoor,String,SHY,raw,non-clumping,friend, dental ,15642,"10,962",   714,£11425,18285,NA,16109,missing,13534,18308
17/01/2023,British Shorthair,white,medium,tabby,Blue,unknown,,MATURE,Indoor,ball,Lazy,wet,silica,STRAY,NONE,7569,"10,685",4688,£6059,NaN,17334,£10122,1994,16187,12243
"Aug 31, 2021",bengal,white,medium,solid,COPPER,overdue,no,SENIOR,indoor,missing,NA,MIXED,SILICA,friend,missing,2015,£14636,£3399,NA," 7,632",-999,10768,3107,3665,missing
"Jul 06, 2023",NA,cream,Medium,bi-colour,Copper,overdue,yes,JUNIOR,BOTH,featherWand,Aggressive,raw,clumping, Friend , None ,£8597,17408,14870,7532,16755,3754,12351,2054,-999,2349
2022-07-17,Bengal,black,MEDIUM,spotted,GREEN,OVERDUE,YES,senior,Both,CATNIP MOUSE,LAZY,,recycledPaper,,none,NA,£486,10957,2302,NA,"10,128",£16179,NA,14241,16938
2023-01-03,persian,black,SHORT, solid ,gold,NA,yes,senior,indoor,catnip_mouse,lazy,raw,recycledPaper,breeder,NONE,NA,"14,432","15,945",2735," 5,718",NA,19560,15430,£2021,3741
"Aug 06, 2023",-999,missing,-999,tabby,gold,overdue,no,junior,both,NA,PLAYFUL,dry,Recycled Paper,FRIEND,ARTHRITIS,£12430,11906,17116,£7412,19472," 6,264",2885,14785," 1,630",
04/12/2022,sphynx,grey,medium,POINTED,missing, up-to-date ,yes,JUNIOR,both,string,FRIENDLY,MIXED,recycled paper,NA,DENTAL,9604,11182,£11200,"15,997",£2819,13989,NaN,,8648,5535
10/10/2023,maine coon,NA,long,solid,NaN,unknown,no,Prime, both ,Ball,friendly,wet,silica,friend,Arthritis,£4856,2660,6900,"14,754",£13427,,12229," 8,680",£11181,17052
"Oct 05, 2023",British Shorthair,Orange,-999,TABBY,blue,unknown,yes,PRIME,Indoor,BALL,Friendly,mixed,clumping,breeder,,NA,£5882,2630,2037,16593,6772,7022,14073,19203,NaN
2023-10-02,britishShorthair,tortoiseshell,hairless, solid ,GREEN,UNKNOWN,No,kitten,outdoor,laser pointer,Shy,dry,NaN,friend,arthritis," 6,621"," 1,016"," 7,836",£13658,8577,512,2659,12195,£15769,9840
21/12/2021,ragdoll,Tortoiseshell,LONG,tabby,Copper, UP-TO-DATE ,yes,Junior,indoor,catnip mouse, Shy ,wet, recycled_paper ,stray,-999,NA,9416,12515,£5292,5173,18626,12446,£18749,10741,9619
2024-08-21,tabby,tortoiseshell,short,pointed,odd-eyed,not_required,No,kitten,OUTDOOR,ball,shy,Wet,CLUMPING,online,allergy," 3,794",13085,1625," 1,449",£15440,10983,NaN,NaN,11241,3292
2024-11-27,persian,Grey,Hairless,,missing,,no,JUNIOR,INDOOR,STRING,Friendly,RAW,clumping,breeder,DENTAL,7861,4087,2882,NaN,£14743,NA,NA,-999,14343,
2022-03-01,Sphynx,missing,LONG,pointed,blue,UNKNOWN,NO,mature,OUTDOOR,ball,Shy,raw,non-Clumping,stray,allergy,17400,   637,"13,244",18804,"15,073",,19452,17230,£3919,8030
2022-04-18,-999, black ,long,tabby,gold,not_required,yes,NaN,outdoor,STRING, lazy ,wet,Recycled Paper,Stray,dental,4205,4590,18824,9144,932,37,"14,500",7092,817," 5,445"
01/05/2024,missing,Brown,medium,tabby,NA,Unknown,No,prime,-999,String,NaN,Wet,silica,Stray,obesity,1196,12035,£1604,missing,-999,14356,13502,9018," 8,565",17759
-999,Ragdoll,white,Medium,solid,gold,Unknown,no, MATURE ,Both, ball ,PLAYFUL,dry,non-clumping,breeder,arthritis,,15258,8246,NA,17121,8483,989,6861,19789,NaN
20/10/2023,tabby,white,long,BI-COLOUR,gold,UNKNOWN,no,geriatric,outdoor,laser_pointer, lazy ,RAW,silica,friend,-999,13324," 8,283","17,376",13392,£14616,"17,002",£19503,NaN,12196,1461
"Sep 14, 2021",British Shorthair,black, hairless ,spotted, odd-eyed ,overdue, no ,kitten,outdoor,string,friendly,mixed,clumping,online,Arthritis,8351,15194,2871,£14009,2610,£16823,1678,19509,"15,658",16905
2022-06-11,maine coon, Orange , hairless ,pointed,green,Up-To-Date,No,prime,-999,catnip mouse,lazy,mixed,recycled_paper,friend,obesity,£10206,£16152,6650,-999,£13405,,4083,13409,£12534,15900
13/10/2024, SPHYNX ,missing,long,Solid,ODD-EYED,up-To-Date,yes,Senior,both,catnip mouse,playful,Mixed,non-clumping,STRAY,Obesity,missing,6401,"10,038",£7195," 5,325",1140,3377," 4,121","17,621",5008
2021-02-05,british_shorthair,White, medium ,SOLID,GREEN,-999,yes,junior,Indoor,LASER POINTER,lazy,raw,recycledPaper,Online,dental,3775,13000,£9645,12548,"15,166",NA,,19250,£17216,14077
-999,bengal,,SHORT,BI-COLOUR, blue ,Up-To-Date,yes,mature,Outdoor,STRING,friendly,raw,recycledPaper,SHELTER,OBESITY,£8693,missing,£8330,missing,NA,,£11379,£9323,"16,848",6358
,sphynx,GREY,-999,Tabby,ODD-EYED,Overdue,no,-999,Both,Ball,playful,Dry,Non-Clumping,-999,OBESITY,"10,909",7351,   746,14655,7189,18488," 7,180",8750,,NaN
16/06/2023,British Shorthair,calico,SHORT,Pointed,BLUE,Up-To-Date,NO,-999,-999,-999,lazy,Mixed,Clumping,breeder,none,missing,9420,12590,7283,18267,12682,"11,410",13907," 6,971",3317
21/03/2022,tabby,cream,hairless,pointed,odd-Eyed,up-to-date,missing,senior, both ,catnipMouse,FRIENDLY,Mixed,recycledPaper,-999,NONE,10863,NaN,£1708,-999,"11,767",13838,£12619,"11,296",2495,19156
2022-08-21,missing,tortoiseshell,long,solid,gold,overdue,Yes,-999,outdoor,STRING,NaN,Dry,RECYCLED PAPER,STRAY, allergy ,£19248,2206,NA,2030,19390," 4,542",   689,"14,247",2928,NA
2021-10-21,tabby,tortoiseshell,long,missing,Odd-Eyed,overdue,no, geriatric ,outdoor,missing,friendly,raw,SILICA,shelter,ALLERGY,13604,-999,17750,,NA,4986,£10093,NA,1101,11032
19/12/2021,siamese,tortoiseshell,hairless,NA,odd-eyed,overdue,Yes,senior,Outdoor, Feather Wand ,Lazy, RAW ,CLUMPING,-999,Arthritis," 9,331",1332,17455,,9214,1434,NA,5781,9436,19393
17/08/2023, maine_coon ,cream,SHORT,pointed,odd-eyed,not_required,NA,MATURE,Outdoor,ball,Shy,NaN,clumping,SHELTER, obesity ,14827,£13071,£3754,12579,12554,"14,995",9216,9848,847,£5455
2023-10-23, maineCoon ,Black,short,spotted,blue,UP-TO-DATE,NO,Mature,indoor,missing,PLAYFUL,raw, non-clumping ,Shelter,none,13554,18778,"16,817",1215,NA," 2,206",NaN," 7,981",£10686,6186
2022-01-04, British Shorthair ,cream,NaN,Tabby,blue,unknown,yes,junior,OUTDOOR, Laser Pointer ,friendly,wet,Recycled Paper,online,arthritis,16818,2787,303,1314,2680," 7,249",16421,£415,13411,14748
2021-05-13,PERSIAN,grey,medium,bi-colour,Blue,unknown,NA,prime,BOTH, Ball ,lazy,NA, clumping , Breeder ,NA,19988,   995," 6,262"," 5,711",15847,8868,4007,12236,621,3230
2023-12-01,tabby,CREAM,missing,Spotted,Gold,up-To-Date,NO,mature,outdoor,catnip mouse,Lazy,mixed,silica,missing,none,NaN,18601,£19795,7674," 4,437",18322,£15924,18013,"17,013",6895
2022-02-11,persian,missing,hairless,spotted,copper,Overdue,no,prime,both,ball,shy,mixed,-999,BREEDER,DENTAL,£7000,3752,5148,3309,6503,8573,£17672," 5,207"," 2,711",18557
2021-08-05, british shorthair ,CALICO,missing,Pointed,GREEN,up-to-date,NO,senior,outdoor,string, lazy ,MIXED,NON-CLUMPING,NaN,NaN,1645,NA,missing,2332,£9688,10729,,missing,14647,"17,708"
2024-01-27,Tabby,grey,medium,solid,Blue, unknown , yes ,PRIME,Outdoor,ball,AGGRESSIVE,missing, Non-Clumping ,Shelter,allergy,,"15,675",£2364,,15155,,19770,18060,5059,
NA,PERSIAN,grey,long,pointed,copper,NOT REQUIRED,no,Senior,outdoor, LASER POINTER ,Lazy,wet,NON-CLUMPING,online,none,NA,£17812,1708,-999,2657,6829,19169,9707,12608,13889
