DATE,sport, surface ,competition_level, Gender Cat ,SEASON,weatherCond,Venue Type,team_name,coach, League /,equipment brand, scoringMethod ,Time Slot,official count,broadcast net, attendance ,ticket £?,Game Time Min/,Possession %, Fouls ,shots,pass_accuracy_%,Yards,ERRORS,sponsorship £k/
"Jun 26, 2024",Football,Synthetic,Pro,-999, playoffs ,dry,outdoor,missing,interim,c-league,-999,sets,,5,espn,"17,670",£1238,5145,£5859,87,10322,£9304,19995,£19213,5505
2023-06-17,RUGBY,indoor,Pro,women,REGULAR,windy,INDOOR,tigers,interim, a-league , ADIDAS ,POINTS,Morning,3,missing,13667,£6475,322,14760,13215,£4213,18549,14540,292,1946
"Sep 09, 2023",NA,clay,INTERNATIONAL,mixed,-999,windy,outdoor,wolves,-999,c-League, puma ,goals,evening,2,espn,NA,NA,£9398,11053,NaN,missing,£656,3595,10728,5755
2022-12-28,tennis,CLAY,PRO,Women,PRE-SEASON,,indoor,bears,interim,B-League,NA,sets,night,5,NaN,15119,5537,8739," 3,574",14753,5732,7049,-999,8142,11792
05/12/2022,running, SYNTHETIC ,AMATEUR,men,regular,WINDY,indoor,BEARS, rookie ,a-league,missing,points,evening,4, nbc ,11613,£3160,18923,,"17,810",5508,£184,NaN,17854,14805
25/03/2023,cricket,INDOOR,PRO,,NA,wet,-999,missing,interim,B-LEAGUE,ADIDAS,runs,Morning, 1 ,NA,"10,179",£16790,£14900,9572,13334,missing,7072,19701,"13,714","11,335"
06/11/2023,cricket,clay,pro,men,REGULAR,WINDY,indoor,NA,Interim,c-league, Adidas ,Points,morning,missing,nbc,£6001,3937,13353,500,"11,416",£13166,8297,"10,502","18,779",
"Dec 24, 2023",tennis, grass ,Amateur,mixed,pre-season,Dry,NaN,wolves,veteran, a-League ,wilson,runs,evening,4,nbc,3685,"16,941","16,506",missing,"14,182",15007,17339,17773,10158,"11,006"
14/09/2021,basketball,road,PRO,women,Regular,Snowy,indoor,Wolves,interim,,ADIDAS,goals, afternoon ,4,SKY,18344,11358,£15446,NaN,NA,10380,14451,9554,19331,missing
01/09/2022,football,synthetic,semi-Pro,women,REGULAR,SNOWY,INDOOR, bears ,ROOKIE,b-league,nike,points,MORNING,1,missing,£8594,4806,11382,   386,3782,4763,"16,760",NA,3412,missing
16/10/2022,RUNNING,SYNTHETIC,amateur,men,PRE-SEASON,Dry,,NA,missing,c-league,puma,Runs,afternoon,NaN,ESPN,16239,£3820,,NA,10340,1923,3766,2880,14549,5787
2024-05-10,running,hardcourt,International,WOMEN, REGULAR ,windy,Indoor,EAGLES, rookie ,NaN,nike,goals,evening,4,sky," 5,117",11238,3884,NA,16159,£11038,19069,19478,9398,12544
"Apr 25, 2023", cricket ,NA,amateur,men,playoffs,NA,Indoor, TIGERS ,veteran,C-LEAGUE,puma,NA,morning,5,Bbc,11187,3623,5817,£11583,NaN," 7,415",1703,£19677," 7,315",£15130
2021-04-30, basketball ,Hardcourt,amateur,men,Pre-Season,Dry,indoor,bears,Rookie,c-League,nike,missing,afternoon,4,BBC,NA,9993,14505,,"11,501",3557,"17,132",5447,NaN,19832
15/01/2023,Cricket,clay,INTERNATIONAL,WOMEN,Pre-Season,wet,outdoor,lions,Rookie,C-LEAGUE,puma,-999,evening,4,sky,,12395,3420,13619,9670,14382,15776,4552,7438,3930
10/07/2022,running,-999,Semi-Pro,NA,REGULAR,Dry,Indoor,BEARS,veteran,a-league,wilson,GOALS,night,4,missing,2797," 7,087",10110," 4,431",NaN,1455,£11875,£15112,NA,15117
2021-07-07,BASKETBALL,GRASS,SEMI-PRO,mixed,PRE-SEASON,windy,outdoor,bears,ROOKIE,A-LEAGUE,NaN,Sets,night,3, Espn ,10786,12909,6894,13871,13551,£17922,   565,4709," 9,170",2527
"Sep 24, 2024",Rugby,hardcourt,semi-Pro,men,pre-season,,INDOOR,sharks,NA,b-League,wilson,Runs,morning,1,missing,£9321,12089," 2,591"," 3,897","14,276",14293,£6224,2198,"14,322",6399
"Sep 25, 2021",football,INDOOR,International,WOMEN,playoffs,snowy,indoor,tigers,interim,B-LEAGUE, nike ,SETS,morning,1,Bbc,,17343,17635," 7,752",4238,9332,11284,"13,221","12,572",17333
"Dec 08, 2024",cricket, Synthetic ,amateur, mixed ,playoffs,dry,indoor,Lions,rookie,NaN,nike,,EVENING,3,nbc,11005,15482,16597,£10415,NA,£15367,14990,4850,NA,£18737
NA,Running,synthetic,international,women,REGULAR,windy,INDOOR,,rookie,c-league,puma, Goals ,evening,-999,missing,17046,9710,15512,7905,£3839,"12,871",-999,10355,NA,NaN
2021-05-29,tennis,grass,SEMI-PRO,MEN,NA,snowy,INDOOR,,NA,B-League,Adidas, Sets ,evening,3,bbc,£3743,14362,8934," 3,231",-999,-999,2387,12359,,227
2023-12-09,TENNIS, hardcourt ,semi-pro,women, regular ,NA,INDOOR,tigers,Interim,missing,Puma,sets,afternoon,1, espn ,"18,085",564,19315,,7777," 6,109",missing,11003,17253,1156
2022-08-06,missing,clay,international,men, Playoffs ,Hot,outdoor, eagles ,rookie,C-LEAGUE,nike,,afternoon,5,espn,16393,NaN,14490,,17795,£16179,2124,4704,6429,£4853
2023-01-02,rugby, Clay ,pro,mixed,Pre-Season,hot,Outdoor,Lions,INTERIM,a-League,WILSON, runs ,NIGHT,1,NaN,11641,5759,missing,3882,19562," 1,436",16633,3691,£16867,286
12/03/2023,Basketball,-999, international ,Mixed,pre-season,SNOWY,NA,WOLVES,veteran, a-league , Nike ,goals,evening,5,sky,,15270,£9002," 7,869",£5919," 1,784",2778,"12,409",,£9105
24/03/2024,cricket, GRASS ,semi-Pro,women,Pre-Season,Windy,NA,eagles,rookie,B-LEAGUE,nike,sets,afternoon,NA,Nbc,£6553,4911,£1977,16497,£17547," 3,552",16147,£16192,"13,682",NaN
16/10/2021,basketball,Road,-999,MEN,PRE-SEASON,Hot,NA,Wolves,veteran,b-League,puma,runs,afternoon,,SKY,18115,13135,11113,£4101,£2797,18975,15029,15768,12511,1701
15/05/2023,football,synthetic,semi-Pro,MEN,playoffs,windy,indoor,tigers, interim ,c-league, adidas ,RUNS,evening,2,Nbc,570,18725,£3624,19915,5549,8867,£19707,2180,4092,11011
07/01/2022,basketball,road,SEMI-PRO,-999,Regular,SNOWY,Indoor,Wolves,ROOKIE,C-League,nike,Sets,MORNING,NA,bbc,14829,7266,1672,NA,5513,-999,,14996,£1038,4240
2021-05-29,cricket,synthetic,-999,NaN,pre-season,wet,outdoor,sharks,rookie,NA,wilson,sets,night,3,sky,12830,13772,13447,698,£7993,15073,13890,2991,NaN,"11,007"
2023-07-09,cricket,Grass,SEMI-PRO,women,regular,windy,indoor,eagles,Interim,b-League,Wilson,missing,EVENING,2,espn,£9241,1164," 3,732",16504,17245,,£10821,NA,£1641,13978
09/11/2023, cricket ,Indoor,semi-pro,MIXED,Regular,Hot,indoor, tigers , rookie ,B-LEAGUE,puma,points,Morning,2,NA,832," 8,331",4000,-999," 4,622",12544,£17514,"11,592",NaN,2609
25/02/2021,CRICKET,clay,SEMI-PRO,mixed,Regular,NaN,indoor,Tigers,rookie,missing,NaN, Runs ,night,5,Bbc,,-999,missing,NA,"10,831",2940,18433,14709,," 5,406"
2023-06-19,tennis,hardcourt,semi-pro,Mixed,PLAYOFFS,wet,indoor, Sharks ,Rookie,B-LEAGUE, puma ,SETS,morning,1,sky,19298,£10734,3101,missing,6691,6928,NaN," 4,827",missing,12471
"Mar 03, 2024",rugby,grass,amateur,mixed,pre-Season,Wet,missing, Wolves ,Interim,missing,nike,missing, Morning ,1,ESPN,11948,NaN,19208,3603,12151,15189,1577,missing,-999,3200
2022-05-15,rugby,-999,semi-pro,Mixed,,wet,Outdoor,wolves,VETERAN,c-league,NIKE,points,Evening,2,espn,"16,854",£2001,£14924,9345,7459,7184,-999,-999,8182,18394
26/05/2024,rugby,clay,pro,women,Pre-Season,SNOWY,indoor,Sharks,missing, A-League ,puma,Sets,evening,1,Nbc,3692,8690,"15,601",18058,11476,14490,£15976,NaN,14351,13313
"Feb 13, 2023",rugby, clay ,,WOMEN,missing, wet , INDOOR ,sharks,Rookie,c-League,wilson,NA,afternoon,2,Nbc,5650,£17807,17397,4618,9527,17500,£7583,£17485,3612,13993
2022-06-07,running,indoor,pro,mixed,-999,DRY,indoor,SHARKS,rookie,C-League,PUMA,RUNS,AFTERNOON,, nbc ,,4901,5597,£2593,395,6788,18724,£7887,"14,407",108
-999,running,hardcourt,NaN,women,pre-season, snowy ,indoor,bears,veteran,c-league,nike,runs,AFTERNOON,1,nbc,6887,2158,15579,£14277,,7106,19535,1328,6651,3860
30/01/2023,rugby,Road,international,,NA,snowy,outdoor,Bears,rookie,A-League,wilson,points,morning,3,bbc,"10,827"," 9,596",16336,2004,   489,15723,8513,6276,£13287,3927
18/10/2021,NA,INDOOR,amateur,women,NA,DRY,Indoor, tigers ,rookie,B-League,,Goals,evening,1,espn,10517,NA,16617,£6059,10623,8876,14046,£14142,14560,14576
23/10/2024,missing,road,pro,mixed,Pre-Season,Wet,OUTDOOR,Lions,rookie,a-league,puma, runs ,afternoon,3,-999,"18,473",459,272,13469,16259,£8163,"11,536",17976,14574,2682
28/08/2024,basketball,hardcourt,Pro,Men,pre-Season, wet ,Indoor,wolves,veteran,NaN,NIKE,GOALS,-999,1,Nbc,5319,£15794,2232,11964,6322,£8128,missing,£1425,£10404,7266
23/01/2023,tennis,grass,international,NaN,Regular,snowy,missing,tigers,Rookie,a-League,Adidas,sets,evening,1,-999,6579,"13,134"," 1,141",8133,19525,9265,11027,17425,,16161
2023-03-20,running,road,,men,pre-season,DRY, Indoor ,sharks,Veteran,c-league,wilson,SETS,Morning,4,bbc,£19685,5049,missing,19826,16109,"14,849","11,167",£13336,15617,3737
"Apr 27, 2022",CRICKET,indoor,Amateur,mixed,playoffs,Hot,outdoor,bears,rookie,B-League,NaN, Points ,EVENING,4,BBC,5616,3626,11464,9768,£668,£2503,£12465,3821,15750,1721
2021-04-21,Cricket,CLAY,NA,Mixed,Playoffs,hot,outdoor,bears,Veteran,a-league,puma,Goals,morning,4,sky,11725,-999,10621,4092,1737,"15,161",7628,3625,-999,
2022-11-30,Cricket,grass,international,mixed,PLAYOFFS,dry,INDOOR,LIONS,rookie,B-League,nike, runs ,Afternoon,1,nbc,NaN,missing,6948,16058,6472,13266,£18435,9399,12273,8688
"Nov 20, 2023",RUGBY, Road ,-999,MIXED,playoffs,missing,outdoor,lions,Rookie, a-league ,adidas,goals,morning,4,nbc,6924,8302,£18825,17366,3164,18171,£1325," 6,905",7823,£18677
21/09/2024,rugby,synthetic,NaN,men,REGULAR,NA,outdoor,Wolves,interim,b-League,WILSON,-999,evening,3,sky,£15815,12997,661,6383,,10411,19935,12768,1536,18270
26/07/2021,Basketball,indoor,semi-Pro,mixed,Pre-Season,NaN,indoor,sharks,veteran,A-League,adidas,runs,afternoon,4, espn ,NA,5100,4326," 1,707",2753,1911,14377,NA," 5,799",3622
2023-03-21,BASKETBALL,indoor,international,Mixed,Pre-Season,windy,NA,BEARS,interim,A-League,ADIDAS,Goals,night,2,BBC,11597,18799,6668,-999,18018,18976,10131,£9023,£11854,NA
2024-05-06,Basketball, CLAY ,,-999,REGULAR,Wet, indoor ,NaN,VETERAN,b-League,Wilson,goals, afternoon ,1,espn,"18,776",2055,10308,10117,6830,10296," 3,029",15052,£16828,7977
"Apr 09, 2023",Running,CLAY,semi-Pro,women,regular,Hot,indoor, wolves ,VETERAN,C-LEAGUE,wilson,Runs, Evening ,NaN,,"14,345",16261,1962,£9244,367,NaN,1143,10767,18193,15604
2023-10-09,-999,Clay,Semi-Pro, MEN ,pre-season,Wet,outdoor,Sharks,veteran,C-League,NIKE,points,morning,2,SKY,1608,£13975,7366,6166,14410,6696,18869," 7,725",19068,NaN
22/12/2023,tennis,road,pro,mixed,pre-season,hot,outdoor,bears,interim, a-league ,nike,Goals,night,2,Bbc," 3,048",13429," 2,420",£925,1780,-999,2932,-999,"11,877"," 5,115"
2022-09-21,tennis,INDOOR,amateur, Mixed ,pre-Season,missing,outdoor,sharks,Rookie,b-league,Nike,points,evening,5,sky,19078,12365,missing,"12,672",7940,£6829,-999,,"16,248",NaN
2023-12-21,CRICKET,road,Pro,MEN,regular,HOT,indoor,eagles,veteran,a-league,wilson,Runs,EVENING,NA,NBC,12226,19915,11246,,19271,-999,14947,6311,11573,£11004
"Aug 11, 2023",Running,grass,PRO,mixed,pre-season,,OUTDOOR, bears ,INTERIM,a-league,Adidas,points,NaN,2,bbc,8891,3957,£2617,5160,4113,5506,£13297,   988,"17,366",13131
29/08/2024,football,indoor,international,mixed,regular,Windy,outdoor,NA,interim,C-LEAGUE,wilson,Points,night,3,espn,," 8,363",6975,6393,15541,£405,3868,£4532,17258,2189
2024-03-03,cricket, Synthetic ,amateur,Men,playoffs,Hot,indoor,,NaN,a-league,puma,goals,NaN, 2 ,NA," 5,439",9529,17434,17123,14409,1101,-999,1256,2270,4364
2021-04-21,running,-999,amateur,women,playoffs,snowy, outdoor ,sharks,Veteran,C-League,adidas,points, Morning ,1,Espn,"16,002","14,259",NA,,NA,4159,2844,14248,"16,225",2925
13/01/2022,NA, indoor ,international,MEN,Playoffs,windy,outdoor,bears,ROOKIE,b-league,Adidas,Sets,night,1, SKY ,924,727,5183,13837," 3,081",£13454,£14523,"12,495",36,13063
18/08/2022,football,Synthetic,Amateur,mixed,Regular,Wet, INDOOR ,Tigers,interim,a-league, ADIDAS ,points, Afternoon ,5, Nbc ,16414,8881," 8,315",,NA,NA," 2,914",11235,937,17282
2023-08-26,running,synthetic,pro,men,missing,-999,Outdoor,NaN, ROOKIE ,b-League,PUMA,points,morning,1,SKY,£15352," 1,815",14352,13177," 1,637",11143,£19450,2115,7082," 4,785"
28/11/2021,rugby,grass,PRO,women,playoffs,snowy,outdoor,eagles,Interim,b-league,Nike,missing,EVENING,2,NA,15232,NaN,18598,2919,£17184," 9,201",8876,"15,252",2354,NA
2024-01-04,running,missing,amateur,mixed,playoffs,snowy,indoor,eagles,NaN,c-league,adidas,Points,Afternoon,5,nbc,8024,£3623,,11817,£14433,12920,5857,£9217,NaN,"11,030"
2021-08-16,Running, synthetic ,semi-pro,Mixed,playoffs,windy,indoor, SHARKS ,interim,a-league,nike,goals,afternoon,4,sky,9648,£5404,6542,16647,19384,missing,£6954,5880,4532,NaN
03/08/2021,basketball,Indoor,pro,WOMEN,-999, hot ,indoor,wolves,rookie,A-LEAGUE,ADIDAS,runs,afternoon,2,,16525,2199," 5,969",£17575,4782,10175,1133," 5,304",£13339," 4,713"
"Feb 02, 2023",RUGBY,missing,Pro,MIXED,pre-season,Hot,indoor,Wolves,veteran,C-LEAGUE,WILSON,goals,EVENING,-999,espn,3512,£7960,-999,17959,"18,088",NaN,£17253,"18,762",£12273,1766
25/12/2021,rugby,road,amateur,WOMEN,pre-Season,Dry,missing,bears,NaN,B-League,adidas,NA,morning,3,NaN,19230,,2513,"13,302",missing,-999,7847,-999,7389,15131
2023-04-13,football,road,amateur,MIXED,Regular,wet,INDOOR,lions,,c-league,adidas,SETS,night,5,SKY,16350,18692,NaN,11670,,-999,"10,248",2844,-999,9380
-999,-999,Synthetic,semi-Pro,men,playoffs,windy,NA,Eagles, veteran ,A-LEAGUE,nike,points,afternoon, 3 ,Sky,13825,"19,673",£19111," 2,640",£13209," 1,778"," 5,591",2501,16304,2263
10/09/2024,Cricket,synthetic,amateur,MIXED,playoffs, Wet ,Indoor, WOLVES ,-999,c-league,NIKE,SETS,afternoon,1,Sky,11631,,19067,14041,8059,7246,7264,399,£10713,6900
27/08/2021, rugby ,clay,INTERNATIONAL,mixed,PRE-SEASON,Dry,Outdoor,bears,interim,NaN, nike ,runs,morning,3,espn,17970," 1,423",11826,10434,10775,14668,£15944,17628,1246,11120
-999, Football ,grass,-999,MIXED, pre-season ,Wet,Outdoor,sharks,veteran,C-LEAGUE,nike,Runs, Afternoon ,4,sky,"19,987",14698,8465,4333,15449,1473,3220," 6,653",12388,£19454
09/04/2022,Football, grass ,PRO,missing,regular,HOT,indoor,eagles,interim,B-League,Nike,sets,NIGHT,,bbc,NA,£12788," 1,950",18758,missing,9950,1675,15159,"16,993"," 9,044"
11/04/2021,Basketball,grass,pro,mixed,regular,wet, outdoor ,-999,rookie,b-League,wilson,goals, Morning ,1,NA,16183,11808,,£10293,14843,1419,3851,17007,   439,2939
2024-09-04,football,hardcourt,NaN,men,pre-Season, HOT ,outdoor, sharks ,VETERAN,c-League,puma,Sets,evening,5,nbc,   221,10750,8883,"16,480",3146,£4048,7265," 9,974"," 3,995",4830
2022-03-24,running,clay,NA, men ,PLAYOFFS,HOT,outdoor,wolves,interim,c-League,puma,runs,Evening,3,nbc,10725,£2343,£10578,8768,9467,16520,5305,,19737,151
"Apr 21, 2021",football,hardcourt,Semi-Pro, Men ,pre-Season,hot,indoor, sharks , rookie ,B-LEAGUE,NIKE,-999, Afternoon ,1,nbc," 1,528",11471,£9157,£5674,6482,4611,403,£15405,11177,"11,181"
21/08/2022,tennis,clay,semi-Pro,Men,pre-season,DRY,outdoor,lions,rookie,c-League,adidas,POINTS,afternoon,4,espn,£29,15451,missing,14904," 7,303",14899,£4879,19114,£8470,6386
12/02/2024,NaN,clay,international,,regular,wet,Outdoor,sharks,Interim,B-LEAGUE,Nike,points,-999,4,NaN,12718,9488,3631,15148,5389,NA,"13,356",17461,6468,2592
"May 21, 2022",running,Road,amateur,MEN,PLAYOFFS,windy,INDOOR,SHARKS,veteran,missing,ADIDAS,points,EVENING,4,ESPN,"17,898",18544,£7633,19933,9216,7654,8173,10299,-999,3910
NA,basketball,ROAD,-999,-999,PRE-SEASON,snowy,OUTDOOR,bears,INTERIM,c-League,Nike,runs,AFTERNOON,1,ESPN,£18667,7218,17134,1328,NaN,12567,4634,16251,,£19044
2022-11-02,CRICKET,clay,international,Women,Playoffs,dry,NA,EAGLES,ROOKIE, b-league ,puma,,evening, 3 ,bbc,5980,11999,17180," 7,880","17,283"," 1,136"," 8,960",14648,-999,
"May 13, 2022",BASKETBALL,GRASS,amateur,men,pre-season,dry,indoor,lions,ROOKIE,B-League,Puma,Points,Afternoon,4,-999,12572,   669,£4951,,16990,13061,19753,12446,2399,2212
"Oct 22, 2023",tennis,hardcourt, pro ,women,missing, wet ,indoor,WOLVES,veteran,a-League,-999,Points,Evening,4,espn,,14090,16458,£13742,1335,5607,6025,7446,£15533,19759
NaN,Football,clay,amateur,WOMEN, playoffs , DRY ,indoor,LIONS,ROOKIE,B-League,NA,Sets,MORNING, 3 , nbc ,19505,17188,missing,£9034,-999,14132," 5,799",£4796,15463,"17,320"
NA,Cricket,hardcourt,SEMI-PRO,MEN,REGULAR,,,lions,Rookie,a-League,puma,sets,missing,3,nbc,7994,8751,-999,5334,"18,669",4042,£13199," 2,299",,11762
"Sep 15, 2024",tennis,indoor,semi-Pro,women,PRE-SEASON,WET,outdoor,wolves,rookie,B-LEAGUE,PUMA,points,MORNING,1,Espn,,18847,16118,960,15591,£1578,"11,040",NaN,5083,   736
2022-06-20,Rugby,indoor,amateur,WOMEN,pre-Season,snowy,OUTDOOR, eagles ,Rookie,c-League,wilson,goals,morning,5,espn,," 7,889",3668,19819,3088,"16,795",5315,2232,£7710,£730
04/02/2021,TENNIS,synthetic,INTERNATIONAL,Mixed,pre-season,snowy,NaN,sharks,rookie, a-League ,Wilson,GOALS,evening,5,sky,NA,NaN,£12352,1256,"14,142",8769,9242,12738,9877,12477
17/08/2021,running,Synthetic,International,Men,REGULAR,hot,,NA,-999,b-league,puma,sets,afternoon,4,nbc," 8,008","15,691",6553,11550,16983,7997,8566,16151,7246,"17,928"
30/09/2021,running,Road,pro,MEN,PRE-SEASON,NaN,indoor,Sharks,,b-league,Puma,points,AFTERNOON,4,BBC,£7237,15360,13499,14298,9463,NaN,8242,£11739,18028,£15742
06/01/2023,Running,road,Pro,Women,REGULAR,Wet,indoor,bears,NaN,B-League,adidas,Points,evening,4, ESPN ,15785,£15919,"13,825",missing,£10241,981," 8,915",2954,£1870," 8,244"
"Jul 07, 2022",Tennis,grass,pro,women,Regular,dry,indoor,bears,Veteran,c-league,wilson,Points,Afternoon,4,-999,4034,£2991,£1533,NaN,£6694," 8,541",£2829,297,18090,10845
2023-11-19,Tennis,hardcourt,pro,women,PRE-SEASON,Windy,NaN,Sharks,,c-league,adidas,Goals,morning,1,espn,10470,14012,missing,13851,NA,"19,268",16282,18490,5513,£16614
02/05/2022, cricket ,GRASS,semi-pro,mixed,regular,Wet,NA,WOLVES,veteran, c-League ,nike,sets,morning,NA,bbc,NA,15252,16345,"16,700",£14311,1390,,15804,17842,18376
2022-06-07,basketball, GRASS ,Pro,MIXED,-999,snowy,indoor,wolves,rookie,b-League,nike,SETS,missing,5,nbc,1513,£18496,-999,£10689,11070,15429,7901,£2696,£10963,£8565
2023-06-22,football,SYNTHETIC,NaN,mixed,regular,hot,Outdoor, eagles ,-999,c-league,Wilson,RUNS,Afternoon,3,-999,11432,9869,10979,17974,19872,£16542,16140,£16946,£12072,
21/11/2023,,hardcourt, amateur ,missing,Playoffs,wet,outdoor,tigers,VETERAN,a-league,wilson,sets,AFTERNOON,3,sky,7426,NaN,15090,15522,14220,£5682,224,9997,NaN,£6983
2023-01-17,football,synthetic,Pro,Women,PLAYOFFS, Wet ,outdoor,tigers,NaN,b-league,adidas,Goals,night, 2 ,bbc,6730,,4654,14920,£8921,£17677,£14328,19717,-999,10570
07/10/2023,tennis,Indoor,international,MIXED,playoffs,windy,INDOOR,Eagles,veteran,b-league,puma,POINTS,Evening,4,BBC,£258,306," 6,118",,14277,£3553,4881," 4,842",13298,8758
27/02/2022,running, grass ,Pro,MIXED,pre-season, hot ,indoor, eagles ,INTERIM,c-League,NIKE,runs,-999,5,missing,1022,£9438,5773,13568,NA,"12,155",18256,5097,10511,6655
15/10/2022,running,Indoor,amateur,women,REGULAR,NA,-999,tigers,interim,c-league,wilson, SETS ,evening,5,sky," 6,493",£11729,13365,13821,NA,"17,790",£10912,£19728,702,8769
2024-04-22,FOOTBALL,indoor, International ,men,Regular,dry,outdoor,lions,rookie,NA,missing,missing,evening,2,Nbc,£17780,17868,missing,£13946,5987,12575,15628," 2,966",£5262,13659
2024-05-05,RUNNING,grass,INTERNATIONAL,mixed,playoffs,DRY,indoor,Lions,interim, c-league ,-999, points ,NA,1,espn,,£15815,£9998,17501,8227,£16253," 5,098",3796," 5,671",4491
21/04/2021, Football ,hardcourt,pro,NaN,pre-season,dry,INDOOR,sharks,rookie,c-League,missing,runs,Evening,2,NA,"13,177",14281,14375,£15826,   650,NaN,11171,£10995," 2,094","12,183"
"Apr 19, 2023",Rugby,NA,international,MIXED,playoffs,wet, outdoor ,sharks,rookie,b-League,wilson,points,NIGHT,3,espn," 1,436",11201,£14189,12881,£12101," 7,585",3082,missing,,£13823
NaN,tennis,SYNTHETIC,INTERNATIONAL,MEN,PLAYOFFS,SNOWY,OUTDOOR,,ROOKIE,c-league,wilson,Goals,afternoon,5, bbc ,5715,£15498,13265,£15786," 9,531",,15454,19292,9012,£8952
