Event_Date,Group,Subgroup,Value,X,Y
2024-04-15,,Alpha,30,85,108
2024-04-15,,Alpha,40,86,111.2
2024-04-15,,Alpha,,87,
2024-04-15,,Alpha,1000,88,305.6
2024-04-15,,Beta,-10,89,104.8
2024-04-15,,Beta,0,90,108
2024-04-15,,Beta,10,91,111.2
2024-04-15,,Beta,20,92,114.39999999999999
2024-04-15,,Beta,30,93,117.6
2024-04-15,,Beta,40,94,120.8
2024-04-15,,Beta,,95,
2024-04-15,,Beta,1000,96,315.2
2024-07-15,0012,Alpha,-10,97,114.39999999999999
2024-07-15,0012,Alpha,0,98,117.6
2024-07-15,0012,Alpha,12,99,120.8
2024-07-15,0012,Alpha,22,100,124
2024-07-15,0012,Alpha,32,101,127.19999999999999
2024-07-15,0012,Alpha,42,102,130.39999999999998
2024-07-15,0012,Alpha,,103,
2024-07-15,0012,Alpha,1002,104,324.8
2024-07-15,0012,Beta,-10,105,124
2024-07-15,0012,Beta,0,106,127.19999999999999
2024-07-15,0012,Beta,12,107,130.4
2024-07-15,0012,Beta,22,108,133.6
2024-07-15,0012,Beta,32,109,136.79999999999998
2024-07-15,0012,Beta,42,110,140
2024-07-15,0012,Beta,,111,
2024-07-15,0012,Beta,1002,112,334.4
2024-07-15,East,Alpha,-10,113,133.6
2024-07-15,East,Alpha,0,114,136.79999999999998
2024-07-15,East,Alpha,17,115,140
2024-07-15,East,Alpha,27,116,143.2
2024-07-15,East,Alpha,37,117,146.4
2024-07-15,East,Alpha,47,118,149.6
2024-07-15,East,Alpha,,119,
2024-07-15,East,Alpha,1007,120,344
2024-07-15,East,Beta,-10,121,143.2
2024-07-15,East,Beta,0,122,146.4
2024-07-15,East,Beta,17,123,149.6
2024-07-15,East,Beta,27,124,152.79999999999998
2024-07-15,East,Beta,37,125,156
2024-07-15,East,Beta,47,126,159.2
2024-07-15,East,Beta,,127,
2024-07-15,East,Beta,1007,128,353.6
2024-07-15,West,Alpha,-10,129,152.79999999999998
2024-07-15,West,Alpha,0,130,156
2024-07-15,West,Alpha,22,131,159.2
2024-07-15,West,Alpha,32,132,162.4
2024-07-15,West,Alpha,42,133,165.6
2024-07-15,West,Alpha,52,134,168.79999999999998
2024-07-15,West,Alpha,,135,
2024-07-15,West,Alpha,1012,136,363.2
2024-07-15,West,Beta,-10,137,162.4
2024-07-15,West,Beta,0,138,165.6
2024-07-15,West,Beta,22,139,168.79999999999998
2024-07-15,West,Beta,32,140,172
2024-07-15,West,Beta,42,141,175.2
2024-07-15,West,Beta,52,142,178.4
2024-07-15,West,Beta,,143,
2024-07-15,West,Beta,1012,144,372.79999999999995
2024-07-15,Other group,Alpha,-10,145,172
2024-07-15,Other group,Alpha,0,146,175.2
2024-07-15,Other group,Alpha,27,147,178.4
2024-07-15,Other group,Alpha,37,148,181.6
2024-07-15,Other group,Alpha,47,149,184.79999999999998
2024-07-15,Other group,Alpha,57,150,188
2024-07-15,Other group,Alpha,,151,
2024-07-15,Other group,Alpha,1017,152,382.4
2024-07-15,Other group,Beta,-10,153,181.6
2024-07-15,Other group,Beta,0,154,184.79999999999998
2024-07-15,Other group,Beta,27,155,188
2024-07-15,Other group,Beta,37,156,191.2
2024-07-15,Other group,Beta,47,157,194.4
2024-07-15,Other group,Beta,57,158,197.6
2024-07-15,Other group,Beta,,159,
2024-07-15,Other group,Beta,1017,160,392
2024-07-15,NA team,Alpha,-10,161,191.2
2024-07-15,NA team,Alpha,0,162,194.4
2024-07-15,NA team,Alpha,32,163,197.6
2024-07-15,NA team,Alpha,42,164,200.79999999999998
2024-07-15,NA team,Alpha,52,165,204
2024-07-15,NA team,Alpha,62,166,207.2
2024-07-15,NA team,Alpha,,167,
2024-07-15,NA team,Alpha,1022,168,401.6
2024-07-15,NA team,Beta,-10,169,200.79999999999998
2024-07-15,NA team,Beta,0,170,204
2024-07-15,NA team,Beta,32,171,207.2
2024-07-15,NA team,Beta,42,172,210.4
2024-07-15,NA team,Beta,52,173,213.6
2024-07-15,NA team,Beta,62,174,216.79999999999998
2024-07-15,NA team,Beta,,175,
2024-07-15,NA team,Beta,1022,176,411.2
2024-07-15,,Alpha,-10,177,210.4
2024-07-15,,Alpha,0,178,213.6
2024-07-15,,Alpha,12,179,216.79999999999998
2024-07-15,,Alpha,22,180,220
2024-07-15,,Alpha,32,181,223.2
2024-07-15,,Alpha,42,182,226.4
2024-07-15,,Alpha,,183,
2024-07-15,,Alpha,1002,184,420.79999999999995
2024-07-15,,Beta,-10,185,220
2024-07-15,,Beta,0,186,223.2
2024-07-15,,Beta,12,187,226.4
2024-07-15,,Beta,22,188,229.6
2024-07-15,,Beta,32,189,232.79999999999998
2024-07-15,,Beta,42,190,236
2024-07-15,,Beta,,191,
2024-07-15,,Beta,1002,192,430.4
2024-10-15,0012,Alpha,-10,193,229.6
2024-10-15,0012,Alpha,0,194,232.79999999999998
2024-10-15,0012,Alpha,14,195,236
2024-10-15,0012,Alpha,24,196,239.2
2024-10-15,0012,Alpha,34,197,242.39999999999998
2024-10-15,0012,Alpha,44,198,245.6
2024-10-15,0012,Alpha,,199,
2024-10-15,0012,Alpha,1004,200,440
2024-10-15,0012,Beta,-10,201,239.2
2024-10-15,0012,Beta,0,202,242.39999999999998
2024-10-15,0012,Beta,14,203,245.6
2024-10-15,0012,Beta,24,204,248.79999999999998
2024-10-15,0012,Beta,34,205,252
2024-10-15,0012,Beta,44,206,255.2
2024-10-15,0012,Beta,,207,
2024-10-15,0012,Beta,1004,208,449.6
2024-10-15,East,Alpha,-10,209,248.79999999999998
2024-10-15,East,Alpha,0,210,252
2024-10-15,East,Alpha,19,211,255.2
2024-10-15,East,Alpha,29,212,258.4
2024-10-15,East,Alpha,39,213,261.6
2024-10-15,East,Alpha,49,214,264.8
2024-10-15,East,Alpha,,215,
2024-10-15,East,Alpha,1009,216,459.2
2024-10-15,East,Beta,-10,217,258.4
2024-10-15,East,Beta,0,218,261.59999999999997
2024-10-15,East,Beta,19,219,264.8
2024-10-15,East,Beta,29,220,268
2024-10-15,East,Beta,39,221,271.2
2024-10-15,East,Beta,49,222,274.4
2024-10-15,East,Beta,,223,
2024-10-15,East,Beta,1009,224,468.8
2024-10-15,West,Alpha,-10,225,268
2024-10-15,West,Alpha,0,226,271.2
2024-10-15,West,Alpha,24,227,274.4
2024-10-15,West,Alpha,34,228,277.59999999999997
2024-10-15,West,Alpha,44,229,280.8
2024-10-15,West,Alpha,54,230,284
2024-10-15,West,Alpha,,231,
2024-10-15,West,Alpha,1014,232,478.4
2024-10-15,West,Beta,-10,233,277.59999999999997
2024-10-15,West,Beta,0,234,280.8
2024-10-15,West,Beta,24,235,284
2024-10-15,West,Beta,34,236,287.2
2024-10-15,West,Beta,44,237,290.4
2024-10-15,West,Beta,54,238,293.59999999999997
2024-10-15,West,Beta,,239,
2024-10-15,West,Beta,1014,240,488
2024-10-15,Other group,Alpha,-10,241,287.2
2024-10-15,Other group,Alpha,0,242,290.4
2024-10-15,Other group,Alpha,29,243,293.59999999999997
2024-10-15,Other group,Alpha,39,244,296.8
2024-10-15,Other group,Alpha,49,245,300
2024-10-15,Other group,Alpha,59,246,303.2
2024-10-15,Other group,Alpha,,247,
2024-10-15,Other group,Alpha,1019,248,497.59999999999997
2024-10-15,Other group,Beta,-10,249,296.8
2024-10-15,Other group,Beta,0,250,300
2024-10-15,Other group,Beta,29,251,303.2
2024-10-15,Other group,Beta,39,252,306.4
2024-10-15,Other group,Beta,49,253,309.59999999999997
2024-10-15,Other group,Beta,59,254,312.8
2024-10-15,Other group,Beta,,255,
2024-10-15,Other group,Beta,1019,256,507.2
2024-10-15,NA team,Alpha,-10,257,306.4
2024-10-15,NA team,Alpha,0,258,309.59999999999997
2024-10-15,NA team,Alpha,34,259,312.8
2024-10-15,NA team,Alpha,44,260,316
2024-10-15,NA team,Alpha,54,261,319.2
2024-10-15,NA team,Alpha,64,262,322.4
2024-10-15,NA team,Alpha,,263,
2024-10-15,NA team,Alpha,1024,264,516.8
2024-10-15,NA team,Beta,-10,265,316
2024-10-15,NA team,Beta,0,266,319.2
2024-10-15,NA team,Beta,34,267,322.4
2024-10-15,NA team,Beta,44,268,325.59999999999997
2024-10-15,NA team,Beta,54,269,328.8
2024-10-15,NA team,Beta,64,270,332
2024-10-15,NA team,Beta,,271,
2024-10-15,NA team,Beta,1024,272,526.4
2024-10-15,,Alpha,-10,273,325.59999999999997
2024-10-15,,Alpha,0,274,328.8
2024-10-15,,Alpha,14,275,332
2024-10-15,,Alpha,24,276,335.2
2024-10-15,,Alpha,34,277,338.4
2024-10-15,,Alpha,44,278,341.59999999999997
2024-10-15,,Alpha,,279,
2024-10-15,,Alpha,1004,280,536
2024-10-15,,Beta,-10,281,335.2
2024-10-15,,Beta,0,282,338.4
2024-10-15,,Beta,14,283,341.59999999999997
2024-10-15,,Beta,24,284,344.8
2024-10-15,,Beta,34,285,348
2024-10-15,,Beta,44,286,351.2
2024-10-15,,Beta,,287,
2024-10-15,,Beta,1004,288,545.5999999999999
2025-03-15,0012,Alpha,-10,289,344.8
2025-03-15,0012,Alpha,0,290,348
2025-03-15,0012,Alpha,16,291,351.2
2025-03-15,0012,Alpha,26,292,354.4
2025-03-15,0012,Alpha,36,293,357.59999999999997
2025-03-15,0012,Alpha,46,294,360.8
2025-03-15,0012,Alpha,,295,
2025-03-15,0012,Alpha,1006,296,555.2
2025-03-15,0012,Beta,-10,297,354.4
2025-03-15,0012,Beta,0,298,357.59999999999997
2025-03-15,0012,Beta,16,299,360.8
2025-03-15,0012,Beta,26,300,364
2025-03-15,0012,Beta,36,301,367.2
2025-03-15,0012,Beta,46,302,370.4
2025-03-15,0012,Beta,,303,
2025-03-15,0012,Beta,1006,304,564.8
2025-03-15,East,Alpha,-10,305,364
2025-03-15,East,Alpha,0,306,367.2
2025-03-15,East,Alpha,21,307,370.4
2025-03-15,East,Alpha,31,308,373.59999999999997
2025-03-15,East,Alpha,41,309,376.8
2025-03-15,East,Alpha,51,310,380
2025-03-15,East,Alpha,,311,
2025-03-15,East,Alpha,1011,312,574.4
2025-03-15,East,Beta,-10,313,373.59999999999997
2025-03-15,East,Beta,0,314,376.8
2025-03-15,East,Beta,21,315,380
2025-03-15,East,Beta,31,316,383.2
2025-03-15,East,Beta,41,317,386.4
2025-03-15,East,Beta,51,318,389.59999999999997
2025-03-15,East,Beta,,319,
2025-03-15,East,Beta,1011,320,584
2025-03-15,West,Alpha,-10,321,383.2
2025-03-15,West,Alpha,0,322,386.4
2025-03-15,West,Alpha,26,323,389.59999999999997
2025-03-15,West,Alpha,36,324,392.8
2025-03-15,West,Alpha,46,325,396
2025-03-15,West,Alpha,56,326,399.2
2025-03-15,West,Alpha,,327,
2025-03-15,West,Alpha,1016,328,593.5999999999999
2025-03-15,West,Beta,-10,329,392.8
2025-03-15,West,Beta,0,330,396
2025-03-15,West,Beta,26,331,399.2
2025-03-15,West,Beta,36,332,402.4
2025-03-15,West,Beta,46,333,405.59999999999997
2025-03-15,West,Beta,56,334,408.8
2025-03-15,West,Beta,,335,
2025-03-15,West,Beta,1016,336,603.2
2025-03-15,Other group,Alpha,-10,337,402.4
2025-03-15,Other group,Alpha,0,338,405.59999999999997
2025-03-15,Other group,Alpha,31,339,408.8
2025-03-15,Other group,Alpha,41,340,412
2025-03-15,Other group,Alpha,51,341,415.2
2025-03-15,Other group,Alpha,61,342,418.4
2025-03-15,Other group,Alpha,,343,
2025-03-15,Other group,Alpha,1021,344,612.8
2025-03-15,Other group,Beta,-10,345,412
2025-03-15,Other group,Beta,0,346,415.2
2025-03-15,Other group,Beta,31,347,418.4
2025-03-15,Other group,Beta,41,348,421.59999999999997
2025-03-15,Other group,Beta,51,349,424.8
2025-03-15,Other group,Beta,61,350,428
2025-03-15,Other group,Beta,,351,
2025-03-15,Other group,Beta,1021,352,622.4
2025-03-15,NA team,Alpha,-10,353,421.59999999999997
2025-03-15,NA team,Alpha,0,354,424.8
2025-03-15,NA team,Alpha,36,355,428
2025-03-15,NA team,Alpha,46,356,431.2
2025-03-15,NA team,Alpha,56,357,434.4
2025-03-15,NA team,Alpha,66,358,437.59999999999997
2025-03-15,NA team,Alpha,,359,
2025-03-15,NA team,Alpha,1026,360,632
2025-03-15,NA team,Beta,-10,361,431.2
2025-03-15,NA team,Beta,0,362,434.4
2025-03-15,NA team,Beta,36,363,437.59999999999997
2025-03-15,NA team,Beta,46,364,440.8
2025-03-15,NA team,Beta,56,365,444
2025-03-15,NA team,Beta,66,366,447.2
2025-03-15,NA team,Beta,,367,
2025-03-15,NA team,Beta,1026,368,641.5999999999999
2025-03-15,,Alpha,-10,369,440.8
2025-03-15,,Alpha,0,370,444
2025-03-15,,Alpha,16,371,447.2
2025-03-15,,Alpha,26,372,450.4
2025-03-15,,Alpha,36,373,453.59999999999997
2025-03-15,,Alpha,46,374,456.8
2025-03-15,,Alpha,,375,
2025-03-15,,Alpha,1006,376,651.2
2025-03-15,,Beta,-10,377,450.4
2025-03-15,,Beta,0,378,453.59999999999997
2025-03-15,,Beta,16,379,456.8
2025-03-15,,Beta,26,380,460
2025-03-15,,Beta,36,381,463.2
2025-03-15,,Beta,46,382,466.4
2025-03-15,,Beta,,383,
2025-03-15,,Beta,1006,384,660.8
